ClassName,Changes,TotalCommits,Insertions,Deletions
Mockito,283,1836,6354,4255
Reporter,151,1653,1532,918
MocksSerializationForAnnotationTest,2,25,57,45
MockHandler,123,1627,1067,1172
MockHandlerImpl,9,132,135,248
Invocation,125,1836,767,1167
MockMaker,15,221,129,71
AdditionalAnswers,10,151,128,26
InvocationNotifierHandler,18,277,47,126
GenericMetadataSupportTest,4,64,45,63
CreationSettings,8,134,28,20
MockSettingsImpl,44,854,300,176
CglibMockMaker,11,226,40,30
GenericMetadataSupport,3,64,40,49
Matchers,84,1819,1882,1938
ReturnsGenericDeepStubsTest,3,65,44,26
MockUtil,84,1836,458,527
RegisteredInvocationsAll,2,44,0,60
RegisteredInvocationsAllTest,2,44,0,34
RegisteredInvocationsStubOnly,2,44,0,51
MockSettingsInfo,10,223,40,79
MockitoCore,41,942,306,251
InvocationNotifierHandlerTest,12,277,29,162
InjectingAnnotationEngine,22,521,176,195
MockSettings,34,854,577,377
ReturnsDeepStubs,21,528,185,131
InjectMocks,19,499,185,88
InvocationListenerCallbackTest,11,290,251,208
FieldInitializer,14,375,244,89
NotifiedMethodInvocationReport,10,277,98,95
VerboseMockInvocationLoggerTest,10,278,83,63
FailingOnPurposeBecauseIncorrectAnnotationUsage,1,29,0,0
FailingOnPurposeBecauseWrongStubbingSyntaxInConfigurationMethod,1,29,0,0
FailingOnPurposeBecauseIncorrectStubbingSyntax,1,29,0,0
InvocationContainerImplTest,14,419,167,110
MockingDetails,7,213,34,53
InvocationTest,60,1836,347,709
PropertyAndSetterInjection,10,309,113,62
InvocationContainerImpl,19,597,202,177
InvocationMatcher,53,1683,312,286
DescribedInvocation,5,161,17,3
MockHandlerFactory,3,98,11,4
ThreadsRunAllTestsHalfManualTest,40,1309,450,471
InternalMockHandler,4,131,2,17
VerboseMockitoJUnitRunner,31,1018,98,516
VarargCapturingMatcher,1,33,0,0
VarargCapturingMatcherTest,1,33,0,0
TestBase,45,1516,328,225
Stubber,50,1685,252,314
InvocationsFinder,52,1760,391,228
InvocationImpl,5,170,8,11
BasicStubbingTest,54,1836,309,496
IMethods,54,1836,387,529
Fields,6,205,57,19
ReturnsSmartNulls,24,823,87,154
MockNameImpl,4,138,7,5
SpyAnnotationEngine,15,521,65,43
Spy,15,524,161,89
DescriptiveMessagesWhenVerificationFailsTest,48,1692,470,365
MockingDetailsTest,6,213,34,95
MultiThreadedTest,48,1706,201,520
ReturnsArgumentAtTest,4,143,0,76
ReturnsArgumentAt,4,143,0,107
MockitoDebuggerImpl,17,608,125,95
VerboseLoggingOfInvocationsOnMockTest,8,290,249,184
ReturnsElementsOf,13,479,32,45
MethodInterceptorFilterTest,19,701,185,106
Incubating,6,222,15,31
MockInjectionTest,14,521,105,304
DefaultInjectionEngine,14,521,132,199
MockitoInvocationHandler,16,601,29,104
MockitoTest,48,1807,96,115
ReturnsIdentity,4,151,56,126
StubbingWithAdditionalAnswers,4,151,15,4
NonGreedyNumberOfInvocationsInOrderChecker,6,230,11,11
MockitoConfiguration,37,1426,240,306
CannotVerifyStubOnlyMock,1,39,0,0
MethodInvocationReport,7,277,23,15
InvocationContainerImplStubbingTest,1,40,0,0
Issue353InjectionMightNotHappenInCertainConfigurationTest,2,80,0,0
Answers,13,521,66,14
PrintSettings,20,806,99,105
Captor,13,524,65,55
MockitoBehavior,45,1836,548,690
VerifyingRecorder,41,1677,160,365
MocksSerializationTest,17,704,663,338
MockingProgressImpl,40,1674,168,195
SingleRegisteredInvocation,1,42,0,0
MockSettingsImplTest,20,852,215,118
Location,23,986,71,82
NumberOfInvocationsVerifier,39,1676,138,188
NumberOfInvocationsVerifierTest,39,1676,379,457
DefaultRegisteredInvocations,1,43,0,0
DefaultRegisteredInvocationsTest,1,43,0,0
ClassCacheVersusClassReloadingTest,6,259,69,37
LocationImpl,4,173,9,8
OnlyTest,10,433,29,90
ObjectMethodsGuru,16,699,44,19
MockInjectionUsingConstructorTest,7,308,68,25
DeepStubbingTest,12,528,346,245
MockHandlerImplTest,3,132,0,107
OngoingStubbing,38,1675,278,238
MissingInvocationVerifier,38,1676,128,205
MethodInfoTest,4,177,4,4
PublicInvocation,4,177,4,32
MockControl,41,1836,208,943
ArgumentCaptor,20,898,241,87
DefaultMockingDetails,4,180,9,9
WarningsFinder,12,541,41,34
FinalMockCandidateFilter,8,361,26,63
OngoingStubbingImpl,19,862,59,44
MatchersTest,40,1820,513,1324
IMockitoConfiguration,23,1048,81,57
VerificationMode,36,1655,125,269
ParentClassNotPublicVeryWeirdBugTest,9,414,39,19
PlaygroundTest,24,1111,242,161
InvalidStateDetectionTest,37,1728,315,791
MockitoAnnotations,33,1543,182,117
BDDMockito,23,1076,180,246
IncorectBindingPuzzleFixedTest,38,1791,260,378
SmartPrinter,17,805,31,64
SpyAnnotationTest,11,521,131,91
InvalidUsageTest,38,1805,282,430
InjectionByTypeShouldFirstLookForExactTypeThenAncestorTest,7,337,47,24
InOrderContextImpl,10,483,24,23
NullResultGuardian,2,97,4,0
MockHandlerFactoryTest,2,97,4,0
VerificationInOrderTest,37,1796,494,556
RegisteredInvocations,36,1760,141,249
WarningsFinderTest,11,538,31,35
LocationImplTest,3,148,5,5
LocalizedMatcher,22,1086,88,83
MockitoMethod,13,642,9,5
CustomMatchersTest,32,1584,241,145
ScenarioPrinterTest,9,446,37,23
InvocationsFinderTest,32,1597,240,213
MockHandlerInterface,12,599,41,65
ReturnsIdentityTest,3,151,21,123
GenericMaster,9,454,140,131
MethodInterceptorFilter,32,1619,129,117
StubInfo,12,608,37,37
UsingVarargsTest,36,1824,177,501
MockingProgress,33,1674,56,66
StubbingWithDelegate,4,203,21,4
MockHandlerTest,32,1627,525,567
InvocationMatcherTest,33,1683,271,203
DefaultAnnotationEngine,20,1020,199,136
StubbingWithThrowablesTest,36,1836,272,421
ClassImposterizer,23,1181,108,79
BeanPropertySetter,7,360,44,44
ReturnsEmptyValues,16,823,28,143
PluginStackTraceFilteringTest,1,52,0,0
MyStackTraceCleanerProvider,1,52,0,0
Timeout,9,468,217,178
MockitoAfterTestNGMethod,4,208,18,13
TimeoutTest,9,468,52,26
ArrayUtils,11,576,16,37
DefaultMockitoConfiguration,20,1050,61,47
ExtraMatchers,34,1806,370,383
