ClassName,Changes,TotalCommits,Insertions,Deletions
ArrayGenerationTest,1,5,0,0
RawValueWithSurrogatesTest,1,6,0,0
UTF8StreamJsonParser,104,980,2027,1299
FilteringParserDelegate,21,246,766,170
FilteringGeneratorDelegate,23,279,1189,1069
ByteQuadsCanonicalizer,27,333,883,534
ReaderBasedJsonParser,78,980,1905,972
TokenFilterContext,18,278,313,135
JsonGenerator,58,980,1269,643
JsonParser,54,980,794,534
JsonFactory,51,980,1317,669
UTF8JsonGenerator,48,980,917,643
TestSymbolTables,36,884,635,343
GeneratorBase,39,980,439,463
ParserBase,37,980,311,213
ParserMinimalBase,37,980,450,438
TokenFilter,10,279,404,149
BasicFilteringTest,9,258,161,235
JsonPointerParserFilteringTest,8,231,41,11
LocationInArrayTest,4,119,9,66
BytesToNameCanonicalizer,32,980,883,1851
JsonPointer,22,692,285,160
WriterBasedJsonGenerator,31,980,461,396
BasicGeneratorFilteringTest,7,248,187,67
JsonGeneratorDelegate,27,980,891,743
CharsToNameCanonicalizer,26,980,553,343
LocationInObjectTest,3,119,0,99
TestVersions,18,731,2,44
TestNumericValues,24,976,321,462
JsonPointerGeneratorFilteringTest,6,248,40,5
VersionUtil,21,980,354,252
TestJsonParser,20,976,267,203
TestJsonPointer,14,685,114,5
JsonWriteContext,20,980,161,98
DefaultPrettyPrinter,20,980,349,245
JsonParserDelegate,19,980,297,310
SymbolsViaParserTest,3,166,44,13
TestParserSymbols,8,447,24,10
JsonPointerBasedFilter,4,248,5,95
TestJsonParserSymbols,15,976,22,272
TestJsonGenerator,15,976,184,640
TextBuffer,15,980,171,138
BasicParserFilteringTest,3,206,34,3
BaseTest,14,976,102,456
Version,14,980,93,39
JsonReadContext,14,980,158,101
TreeNode,13,949,246,17
TestNextXxx,13,976,478,55
TestByteBasedSymbols,13,976,61,181
ByteSourceJsonBootstrapper,13,980,43,63
ObjectCodec,13,980,86,59
IOContext,13,980,167,125
TestDefaultPrettyPrinter,5,402,124,40
TestJDKSerializability,9,731,53,106
package-info,12,980,5,9
TestBase64Parsing,11,976,82,162
TestJsonGeneratorFeatures,11,976,162,146
BufferRecycler,11,980,139,91
JsonStringEncoder,11,980,117,132
TestSymbolsWithMediaItem,3,272,4,10
FormatFeature,2,192,1,1
TypeReferenceTest,2,193,2,2
TestHashCollision,5,483,61,202
TestComments,10,976,206,139
TestCustomEscaping,10,976,14,12
TestVersionUtil,10,976,23,5
TestJsonFactory,10,976,8,185
SerializedString,10,980,215,58
JsonToken,10,980,127,87
JsonParseException,10,980,73,15
DefaultIndenter,4,402,55,16
TestCharEscaping,9,976,25,152
CharTypes,9,980,90,67
Surrogate223Test,1,115,0,0
TestExceptions,7,846,32,37
JsonGeneratorImpl,7,847,40,8
NumberInput,8,980,169,165
TestBase64Generation,7,895,33,128
TestGeneratorDupHandling,5,651,53,23
TestWithTonsaSymbols,7,976,8,124
TestPrettyPrinter,7,976,146,17
TestParserNonStandard,7,976,66,10
TestUtf8Generator,7,976,47,12
TestValueConversions,7,976,5,197
TestDelegates,7,976,108,41
TestGeneratorMisc,7,976,22,21
TypeReference,7,980,18,20
MinimalPrettyPrinter,7,980,28,27
NumberOutput,7,980,190,190
ManualReadPerfWithMedia,4,566,8,10
TestHashCollisionChars,3,475,5,1
TestLocation,4,648,35,7
TestUnicode,6,976,3,40
TestJsonParserBinary,6,976,6,157
ResolvedType,6,977,49,2
TestParserDupHandling,4,653,53,18
UTF32Reader,6,980,137,83
InputAccessor,6,980,44,23
SerializableString,6,980,136,34
JsonNode,6,980,100,768
JsonGenerationException,6,980,58,12
Base64Variant,6,980,221,28
JsonProcessingException,6,980,91,43
InternCache,6,980,49,32
SymbolTableMergingTest,1,166,0,0
ByteArrayBuilderTest,1,193,0,0
ParserSequenceTest,1,193,0,0
TestRawStringWriting,5,976,49,8
TestJsonStringEncoder,5,976,28,2
TestStringGeneration,5,976,14,239
TestGeneratorWithSerializedString,5,976,5,100
TestTextBuffer,5,976,53,4
TestGeneratorObject,5,976,9,8
TestUtf8Parser,5,976,33,5
TestCharTypes,5,976,2,4
TestParserFeatures,5,976,24,19
TestBase64Codec,5,976,3,61
DataFormatDetector,5,980,44,18
Base64Variants,5,980,34,13
OutputDecorator,5,980,6,8
CharacterEscapes,5,980,7,8
JsonLocation,5,980,12,12
JsonStreamContext,5,980,32,21
ByteArrayBuilder,5,980,20,70
SegmentedStringWriter,5,980,15,32
Name1,5,980,13,28
PrettyPrinter,5,980,30,19
GeneratorBasicTest,1,197,0,0
SegmentedStringWriterTest,1,197,0,0
UTF8WriterTest,1,197,0,0
StringGenerationTest,1,199,0,0
TestRootValues,3,647,24,1
JsonFactoryTest,1,216,0,0
DupDetector,3,653,27,13
TreeCodec,3,684,2,7
TestParserOverrides,4,942,6,5
TestParserErrorHandling,3,718,36,2
CollisionGenerator,2,483,0,66
TestNumberParsing,4,976,42,4
TestScopeMatching,4,976,9,5
TestGeneratorClosing,4,976,25,26
TestParserClosing,4,976,12,10
TestGeneratorArray,4,976,6,5
TestParserWithObjects,4,976,5,5
TestDecorators,4,976,7,6
BaseReader,4,980,2,118
Versioned,4,980,6,3
JsonParserSequence,4,980,3,8
NameN,4,980,75,43
InputDecorator,4,980,7,6
JsonEncoding,4,980,19,9
FormatSchema,4,980,6,3
TestJDKSerializable,3,787,2,1
PackageVersion,3,806,11,20
ParserTestBase,2,566,1,1
ConcurrencyReadTest,3,872,2,1
TestUTF8Writer,3,976,1,61
TestGeneratorCopy,3,976,6,7
TestParserLinefeeds,3,976,2,3
TestArrayParsing,3,976,8,9
TestNumberPrinting,3,976,2,2
Name2,3,980,9,17
UTF8Writer,3,980,26,26
JavaType,3,980,2,434
DataFormatMatcher,3,980,14,7
Name3,3,980,13,16
JsonTokenId,2,657,58,1
TestRootValueParsing,2,664,0,52
GeneratorFailTest,1,349,0,0
EnumByBytesLookup,1,350,0,0
TestPackageVersion,2,806,0,14
TestSerializability,2,838,0,80
Instantiatable,2,868,1,1
CollGenerator,2,881,0,265
TestSerializedString,2,960,1,1
CoreVersion,2,969,0,14
ModuleVersion,2,970,0,12
TestIOContext,2,976,1,1
TestMergedStream,2,976,1,1
TestJsonFormatDetection,2,976,1,1
Name,2,980,7,2
TokenBuffer,2,980,0,1219
MergedStream,2,980,37,61
MatchStrength,2,980,0,2
MediaItem,1,566,0,0
ManualCharAccessTest,1,588,0,0
