ClassName,Changes,TotalCommits,Insertions,Deletions
ExceptionFromCustomEnumKeyDeserializerTest,1,11,0,0
ObjectMapper,189,2514,2846,1836
BasicDeserializerFactory,119,2514,2808,1774
BeanDeserializerBase,88,2275,1084,483
BeanSerializerBase,97,2514,1316,850
BasicSerializerFactory,96,2514,1382,1065
BeanDeserializer,96,2514,1289,1938
BeanSerializerFactory,88,2514,574,572
JacksonAnnotationIntrospector,87,2514,995,736
CaseInsensitiveDeser,1,30,0,0
BeanDeserializerFactory,83,2514,988,1566
TestCustomEnumKeyDeserializer,2,63,22,26
Bean,2,64,0,39
TestCustomKeyDeserializer,2,64,0,56
TestEnumDeserializer,2,64,0,29
TestEnumKeyDeserializer,2,64,0,21
TestEnumKeySerializer,2,64,0,23
TestEnumMixin,2,64,0,11
TestEnumModule,2,64,0,27
TestEnumSerializer,2,64,0,36
ModuleVersion,2,64,0,28
KeyEnum,2,64,0,10
TestEnum,2,64,0,42
ImplicitNameMatch792Test,7,228,30,122
ObjectReader,76,2514,2006,1131
DeserializationContext,76,2514,1504,735
MapSerializer,75,2514,881,419
SerializerProvider,69,2514,1790,1082
RecursiveType938Test,2,73,3,2
DelegatingCreatorImplicitNames1001Test,1,37,0,0
AnnotationIntrospector,67,2514,1070,1412
BeanPropertyWriter,66,2514,1027,616
POJOPropertiesCollector,63,2514,822,465
EnumCreatorTest929,2,80,2,2
DefaultSerializerProvider,57,2294,734,387
MapDeserializer,60,2514,727,456
FormatFeaturesTest,4,174,45,14
ObjectWriter,57,2514,1733,887
DeserializationConfig,52,2312,477,676
POJOPropertyBuilder,56,2514,1094,519
StdDeserializer,53,2514,722,869
SettableBeanProperty,51,2514,518,778
SerializationConfig,46,2312,419,561
AsArraySerializerBase,49,2514,400,248
TestObjectIdReference836,2,104,0,197
CollectionDeserializer,48,2514,351,229
TestCreatorsWithIdentity,2,108,42,43
EnumMapSerializer,46,2514,353,195
ObjectArraySerializer,46,2514,328,198
DeserializerCache,41,2313,180,599
TokenBuffer,44,2512,1009,350
ObjectNode,42,2514,788,1341
TestExceptionHandlingWithJsonCreatorDeserialization,4,255,71,1
TypeFactory,39,2514,538,393
DateSerializationTest,4,260,14,10
JSOGDeserialize622Test,11,727,192,519
JsonValueSerializer,38,2514,288,168
package-info,37,2514,71,67
StringCollectionDeserializer,37,2514,187,155
BeanDeserializerBuilder,37,2514,300,156
PolymorphicListTest936,1,69,0,0
EnumSerializer,36,2514,317,171
StdSerializer,34,2416,228,111
BasicBeanDescription,35,2514,519,422
BeanPropertyMap,35,2514,1894,1604
TestJdkTypes,34,2505,770,242
StdArraySerializers,34,2514,818,545
UntypedObjectDeserializer,34,2514,688,272
ReadWriteOnlyProp935Test,1,75,0,0
CompactStringObjectMap,6,452,207,270
AnnotationIntrospectorPair,26,1967,318,377
ArrayNode,33,2514,546,1236
BeanPropertyDefinition,33,2514,261,215
ObjectMapperTest,5,385,85,4
VirtualBeanPropertyWriter,9,696,144,57
StringArraySerializer,30,2328,193,97
JsonNode,30,2357,497,276
TestObjectIdDeserialization,29,2281,500,618
StdDelegatingSerializer,24,1916,257,146
ManualReadPerfUntyped,14,1118,98,80
TestPolymorphicDeserialization676,6,483,114,265
DefaultDeserializationContext,28,2293,393,142
SerializationFeature,28,2312,307,138
AnnotatedClass,30,2514,530,418
StdJdkSerializers,30,2514,209,258
PropertyBuilder,30,2514,139,254
JdkDeserializers,29,2494,427,648
EnumMapDeserializer,29,2514,261,158
MapperConfig,29,2514,503,1819
EnumDeserializer,29,2514,269,161
DateTimeSerializerBase,26,2261,200,124
NumberSerializers,27,2415,401,358
TestBeanDeserializer,28,2505,338,139
BeanSerializer,28,2514,184,141
StringCollectionSerializer,28,2514,162,280
TypeDeserializerBase,28,2514,244,120
ObjectId825Test,2,183,3,1
DeserializationFeature,25,2312,268,51
IndexedStringListSerializer,27,2514,192,310
BuilderBasedDeserializer,24,2275,138,428
NumberSerTest,1,95,0,0
NumberDeserTest,1,95,0,0
MultiArgConstructorTest,5,476,37,112
TestMapDeserialization,26,2505,288,91
TestMapSerialization,26,2505,324,76
SimpleBeanPropertyFilter,26,2514,595,380
JsonNodeDeserializer,26,2514,334,240
JsonDeserializer,26,2514,297,96
MapperConfigBase,25,2437,585,183
AttributePropertyWriter,7,687,55,53
NumberDeserializers,25,2494,522,342
TestEnumSerialization,25,2505,344,159
ObjectArrayDeserializer,25,2514,127,71
CreatorProperty,25,2514,168,242
UnwrappingBeanPropertyWriter,25,2514,214,91
BuilderSimpleTest,2,205,33,11
BeanPropertyMapTest,1,104,0,0
TestConfig,24,2505,209,85
TestObjectId,19,1987,90,228
JsonSerializer,24,2514,204,47
SerializableSerializer,24,2514,286,267
StdDelegatingDeserializer,18,1912,133,44
RaceCondition738Test,5,535,13,149
TestScalaLikeImplicitProperties,10,1083,142,214
ToStringSerializer,23,2514,77,61
TestPropertyConflicts,14,1548,121,87
TestPolymorphicWithDefaultImpl,6,680,82,12
TestEnumDeserialization,22,2505,396,112
EnumSetDeserializer,22,2514,116,67
StaticListSerializerBase,22,2514,143,55
StdValueInstantiator,22,2514,139,129
ImplicitParamsForCreator806Test,2,232,1,1
