ClassName,Changes,TotalCommits,Insertions,Deletions
MapperCopyTest,4,13,0,38
Issue274PropertyNameTest,2,15,6,5
ListDeser294Test,1,9,0,0
BuilderWithJAXB291Test,1,10,0,0
CaseInsensitiveDeser273Test,3,32,20,5
BuilderSimpleTest,1,11,0,0
CaseInsensitiveDeserTest,3,36,4,19
DeserErrorHandling236Test,4,54,1,34
FromXmlParser,49,770,682,1813
ToXmlGenerator,42,770,641,1895
NullConversionsGenericTest,1,19,0,0
NullConversionsSkipTest,1,19,0,0
XmlFactory,40,770,775,848
EmptyStringValueTest,3,60,13,3
XmlBeanSerializer,36,770,426,744
XmlSerializerProvider,34,770,406,384
PolymorphicIssue4Test,2,46,6,20
XmlTokenStream,33,770,461,675
XmlMapper,32,770,281,188
TestPolymorphic,30,771,170,691
TypeAttributeOrder242Test,2,54,1,1
JacksonXmlAnnotationIntrospector,26,770,333,456
XmlStringDeserializer,1,30,0,0
TestDeserialization,22,771,126,263
TestTypeAttributeOrder,2,72,0,56
TestEnums,20,728,37,234
XmlTestBase,21,771,135,248
TestTextValue,18,672,215,487
XmlJaxbAnnotationIntrospector,20,768,183,403
TestWithJAXBAnnotations,19,770,153,399
DefaultXmlPrettyPrinter,19,770,634,269
JacksonXmlModule,18,760,129,201
XmlBeanPropertyWriter,18,770,107,328
TestSerialization,18,771,168,613
FailingDelegatingCreator254Test,1,44,0,0
XmlBeanSerializerModifier,17,752,69,279
TestVersions,16,713,62,152
EnumIssue9Test,1,46,0,0
NestedUnwrappedLists180Test,5,233,7,82
WrapperHandlingDeserializer,13,618,147,79
XmlAnnotationIntrospector,16,770,232,196
TestIndentation,16,771,156,253
TestListRoundtrip,11,533,81,534
XmlBeanSerializerBase,9,438,101,52
XmlBeanDeserializerModifier,14,682,149,65
TestStringValues162,5,251,44,154
TestListDeserialization,13,697,136,538
DTDSupportTest,1,54,0,0
TestXmlParser,14,771,43,788
TestViews,13,725,81,226
ExceptionDeserializationTest,1,56,0,0
XmlTypeResolverBuilder,13,751,42,245
JAXBObjectId170Test,4,234,22,147
TestStringValues,10,590,70,211
TestElementWrapper,11,658,81,201
SimpleStringValuesTest,1,60,0,0
ListDeser191Test,3,190,0,41
XmlRootNameLookup,12,770,109,179
TestAdapterIssue37,8,533,6,364
TestXmlGenerator,11,771,23,320
NestedUnwrappedListsTest,6,422,8,199
XmlParserTest,6,422,101,82
TestXMLFormatDetection,10,735,71,448
package-info,10,770,0,22
DeserializePolyList178Test,3,234,0,80
TestUnwrappedLists,8,636,72,214
TestRootListHandling,6,493,90,388
VersionInfoTest,5,413,31,77
UnwrappingWithXMLTest,5,413,7,11
SupportDTDDefaultsTest,2,167,0,23
TestJDKSerializability,7,586,40,124
UnwrappedListWithEmptyCData129Test,4,340,2,47
TestXmlTokenStream,9,771,3,271
MixedContentTreeRead226Test,1,86,0,0
TestNestedUnwrappedLists,7,604,105,209
TestListsUnwrapped,7,611,89,310
XmlReadContext,7,625,73,32
TestUnwrappedDeserIssue86,5,455,53,70
TestComplex,7,645,15,45
TestXmlText,5,464,8,71
JacksonXmlProperty,8,770,1,48
TestXmlDeclaration,8,771,5,65
TestSerializationAttr,7,680,50,108
TestListSerialization,7,697,2,225
AttributeIssue108Test,4,411,0,78
ListAsObjectTest,4,412,0,73
RoundtripContentTest,4,413,13,16
TextValueTest,4,420,8,8
XmlTokenStreamTest,4,422,9,99
PolymorphicTypesTest,4,422,3,130
Issue97Test,4,423,1,72
Issue43Test,4,423,0,94
TestSerializationManual,5,537,9,56
UnwrappingXmlBeanSerializer,4,437,10,8
JacksonXmlElementWrapper,7,770,20,57
StaxUtil,7,770,102,42
EmptyElement167Test,2,238,0,29
JacksonXmlRootElement,6,738,0,41
EmptyPolymorphicTest,2,247,1,1
RootNameTest,1,124,0,0
EmptyListDeserTest,2,261,4,0
EmptyList177Test,2,262,0,43
ListWithAttributes,3,409,33,1
AnnotationUtil,5,682,45,16
TestUntypedListSerialization,5,697,29,31
XmlTextTest,3,420,56,4
UnwrappedListsTest,3,422,0,180
TestSerializerCustom,4,563,2,93
Issue101UnwrappedListAttributesTest,3,423,0,106
ListAnnotationSharingTest,3,423,2,2
ObjectId104Test,3,423,0,44
TestUnwrappingWithXML,3,437,1,137
TestIssue104,3,438,0,46
TestSerializationOrdering,3,443,0,30
XmlInfo,5,760,8,22
TypeUtil,4,615,11,5
XmlBeanSerializerFactory,5,770,5,527
XmlTextDeserializer,3,482,25,34
TestBinaryData,4,646,1,44
TestIssue64Lists,3,488,5,54
TestArrayConversions,3,490,57,258
EmptyListDeser124Test,1,171,0,0
XmlParserNextXxxTest,1,173,0,0
XmlPrettyPrinter,4,698,30,2
ModuleVersion,4,713,0,24
TestIssue47Attribute,3,551,0,34
PolymorphicList97Test,1,188,0,0
PartialReadTest,2,388,35,0
TestUnwrappedRootList,3,583,28,108
AttributeIssue99Test,2,410,0,36
ElementWrapper,3,615,53,2
AttributesWithJAXBTest,2,420,28,18
ListSerializationTest,2,421,0,2
ListRoundtripTest,2,421,1,1
ListDeserializationTest,2,421,1,1
FormatDetectionTest,2,422,4,4
XmlGeneratorTest,2,422,115,1
RootListHandlingTest,2,423,2,2
AttributeFailIssue108Test,2,426,0,39
TestWrappedLists,2,436,0,41
TestNamespaces,3,656,0,41
TestIssue97,2,438,0,96
TestOrderingIssue91,2,445,0,30
TestIssue86,2,464,0,96
Issue76Test,2,468,0,66
TestListAnnotationSharing,2,527,0,54
TestIssue43,2,529,0,47
TestAttributes,2,603,0,48
MediaItem,2,645,1,1
JacksonXmlText,2,672,5,5
NodeTest,1,349,0,0
JacksonXmlCData,1,360,0,0
IncrementalWritingTest,1,388,0,0
ArrayConversionsTest,1,420,0,0
ElementWrapperTest,1,420,0,0
WithJAXBAnnotationsTest,1,420,0,0
WrappedListsTest,1,423,0,0
Issue37AdapterTest,1,423,0,0
TestEmptyContent,1,489,0,0
TestConflictingGetters,1,637,0,0
