ClassName,Changes,TotalCommits,Insertions,Deletions
ParserTest,66,52,0,0
ConnectIT,1,3,0,0
ConnectTest,22,168,580,126
Element,160,1242,2149,711
HttpConnection,112,989,1601,670
HtmlParserTest,69,802,733,132
ElementTest,105,1232,1580,142
Node,98,1242,1117,429
FileServlet,2,26,6,2
UrlConnectTest,71,1132,1039,443
Connection,59,989,969,293
Parser,72,1242,951,1092
Document,71,1242,812,218
DataUtil,59,1143,567,426
HtmlTreeBuilderState,41,802,523,478
HtmlTreeBuilder,41,802,314,252
Selector,62,1220,703,654
Tag,63,1243,705,638
SelectorTest,59,1220,915,153
Entities,45,1011,678,4789
TokeniserState,38,858,370,405
Elements,50,1217,744,177
TokenQueue,48,1225,471,210
CharacterReader,32,858,613,272
Tokeniser,32,858,192,127
Evaluator,42,1158,812,619
TextNode,44,1242,292,166
Attributes,44,1242,721,283
TokeniserTest,5,145,148,2
DocumentTest,41,1205,631,180
Token,28,858,240,94
CleanerTest,37,1183,321,142
SlowRider,5,165,29,11
Attribute,37,1239,255,83
Whitelist,35,1185,678,152
ElementsTest,35,1216,1061,692
XmlTreeBuilder,22,802,113,73
XmlTreeBuilderTest,21,802,242,17
StringUtil,26,997,255,351
W3CDom,14,548,84,35
TreeBuilder,21,858,137,738
EchoServlet,4,166,45,5
TokeniserStateTest,3,125,29,2
TestServer,4,168,6,4
EntitiesTest,23,1011,188,80
ConstrainableInputStream,5,231,99,13
QueryParser,19,889,170,61
ParseTest,25,1202,266,114
NodeTest,25,1203,316,28
Jsoup,25,1227,352,114
Cleaner,21,1185,223,53
Comment,22,1242,107,43
HttpConnectionTest,17,971,256,24
DataUtilTest,17,1030,211,61
W3CDomTest,9,548,157,49
DocumentType,14,858,105,35
XmlDeclaration,19,1226,146,76
ParseSettings,5,337,14,9
PseudoTextElement,2,138,2,4
TokenisetStateTest,2,141,0,25
AndSelector,13,928,53,137
RedirectServlet,1,74,0,0
FormElement,9,673,30,11
NodeUtils,1,75,0,0
CharacterReaderTest,11,830,261,13
DataNode,16,1209,65,30
EntitiesData,2,153,11,3
UncheckedIOException,3,231,5,1
HtmlTreeBuilderStateTest,2,155,5,1
CombiningEvaluator,11,883,45,13
BaseServlet,2,168,12,1
NodeTraversor,12,1039,116,14
Normalizer,3,263,8,4
TraversorTest,2,179,18,8
HtmlToPlainText,9,809,47,19
NodeFilter,2,181,1,1
OrSelector,10,922,25,96
FormElementTest,7,673,64,6
InterruptedServlet,1,97,0,0
StringUtilTest,10,997,79,123
Collector,12,1224,83,21
AttributeParseTest,12,1226,78,20
NotSelector,9,928,21,72
LeafNode,2,214,4,1
BuildEntities,3,323,15,14
Deflateservlet,1,111,0,0
package-info,10,1127,4,3
CDataNode,1,115,0,0
ParentSelector,8,923,19,84
TokenQueueTest,9,1048,110,40
TextNodeTest,9,1096,71,11
TreeBuilderState,7,858,8,1490
AttributesTest,8,984,149,28
ImmediateParentSelector,7,923,11,61
MultiLocaleRule,2,264,1,0
ElementSelector,7,928,18,57
DescendableLinkedList,6,838,16,88
Wikipedia,1,147,0,0
StructuralEvaluator,6,883,16,4
HasSelector,6,909,8,71
BasicSelector,6,928,7,57
HtmlTreeBuilderTest,1,155,0,0
TextUtil,7,1134,10,7
DocumentTypeTest,5,829,39,10
HelloServlet,1,168,0,0
ParserSettingsTest,2,337,33,10
ConstrainableInputStreamTest,1,170,0,0
ParseError,5,858,31,36
RootSelector,5,901,5,36
PreviousSequentSiblingSelector,5,917,11,42
PrevSiblingSelector,5,917,12,35
SelectorNGTest,5,919,52,658
SelectMatch,5,928,55,113
AttributeTest,5,974,39,2
BooleanAttribute,2,430,2,1
ImmediatePreviousSiblingSelector,4,896,0,69
TagTest,5,1243,28,36
Validate,4,997,30,3
QueryParserTest,3,775,15,7
NodeVisitor,4,1039,24,4
ChangeNotifyingArrayList,1,264,0,0
SerializationException,2,559,0,0
ParserSelectorNG,3,908,2,606
ElementContainerSelector,3,914,2,40
ElementList,4,1220,8,76
AttrSelector,3,927,17,113
ListSelector,3,928,7,37
StartTag,4,1242,19,44
TokenStream,4,1245,158,166
TokenStreamTest,4,1245,15,23
CssTest,2,738,12,5
ListLinks,3,1111,6,7
ParseErrorList,2,787,3,3
ElementListTest,3,1218,1,22
AttributeParser,3,1242,77,92
Position,3,1245,77,85
ParserRuntimeException,3,1245,12,20
PreviousSiblingSelector,2,889,0,40
PrevioustSiblingSelector,2,896,0,46
NextSiblingSelector,2,923,0,23
SequentSiblingSelector,2,923,0,31
ClassSelector,2,928,0,25
IdSelector,2,928,0,25
TagSelector,2,928,0,23
AttributeParserTest,2,1239,0,52
TokenTest,2,1242,0,78
HttpStatusException,1,724,0,0
UnsupportedMimeTypeException,1,724,0,0
Benchmark,1,1160,0,0
