ClassName,Changes,TotalCommits,Insertions,Deletions
package-info,194,898,466,2088
DerivativeStructureTest,17,83,543,2
UnknownParameterException,1,5,0,0
DerivativeStructure,15,83,308,16
RealVectorAbstractTest,47,295,2799,1053
DSCompiler,10,83,554,52
NewtonRaphsonSolver,2,26,5,2
FastMath,88,1804,15042,17977
MathUtils,169,4073,4720,6946
UnivariateDifferentiableSolver,1,26,0,0
NewtonRaphsonSolverTest,1,26,0,0
AbstractUnivariateDifferentiableSolver,1,26,0,0
LegendreHighPrecisionRuleFactory,7,184,15,2
LegendreRuleFactory,7,184,15,5
LocalizedFormats,70,1869,170,1170
BOBYQAOptimizer,40,1106,2860,6353
MultivariateNormalDistribution,3,84,52,23
RandomDataGenerator,1,30,0,0
RealVectorTest,35,1054,324,732
OrderedCrossover,3,98,17,1
CycleCrossover,3,100,17,1
MathUtilsTest,119,4073,3669,5556
RealMatrixFormatAbstractTest,4,139,123,121
SymmLQ,23,804,1903,3089
UnivariateDifferentiable,1,36,0,0
MessagesResources_fr,90,3282,1008,2101
BaseRuleFactory,5,184,29,7
ArrayRealVectorTest,62,2343,1071,4715
CMAESOptimizer,36,1446,489,1808
MultivariateNormalDistributionTest,2,82,4,5
UnivariateDifferential,2,83,0,61
UnivariateDifferentiator,2,83,1,1
AbstractMultivariateRealDistribution,2,84,10,8
MultivariateRealDistribution,2,84,15,15
RandomDataTest,96,4118,2816,4578
RandomDataImpl,95,4118,2795,5097
SparseRealVectorTest,60,2621,1852,4996
AbstractLeastSquaresOptimizer,58,2578,473,1111
GaussIntegratorFactory,4,184,7,8
RealMatrixFormat,3,139,81,37
ArrayRealVector,49,2343,994,3743
EigenDecompositionImpl,54,2595,635,6125
RealMatrixImpl,86,4133,3780,5559
SingularValueDecompositionImpl,52,2595,1056,2411
AbstractRealDistribution,13,661,176,318
TestUtils,74,3943,1151,2244
FastFourierTransformer,61,3297,1879,3355
QRDecompositionImpl,48,2595,66,1428
OpenMapRealVector,45,2438,603,3205
FastMathTest,33,1790,984,1884
PowellOptimizer,34,1846,352,869
SchurTransformer,6,326,35,29
Precision,15,832,258,520
Frequency,71,3943,934,1705
AbstractRealMatrix,49,2724,1073,2881
Complex,70,3943,2087,3368
GraggBulirschStoerIntegrator,58,3282,433,4472
