ClassName,Changes,TotalCommits,Insertions,Deletions
TestAll,153,1441,273,2402
LocalDate,49,683,990,6190
LocalDateTime,43,683,1054,7107
LocalTime,37,682,538,4874
TestDateTimeZoneCutover,25,476,669,4623
TimeOfDay,68,1476,1280,5028
GwtTestAll,12,266,0,433
DateTimeFormatterBuilder,73,1659,2873,10365
DateTime,70,1659,2631,7225
MonthDay,11,262,104,1811
TestLocalDate_Basics,28,676,345,4362
YearMonthDay,56,1432,899,4111
DateTimeZone,62,1659,1353,4394
MutableDateTime,58,1659,1515,5396
DateMidnight,48,1390,1056,4509
IllegalInstantException,2,58,17,0
YearMonth,11,319,127,1877
TestMonthDay_Constructors,9,262,19,835
TestLocalTime_Constructors,22,680,378,3110
PeriodFormatterBuilder,42,1302,1285,6533
PersistentInstant,11,349,142,395
Period,41,1302,1596,5008
TestDateTime_Basics,44,1412,1085,5427
TestLocalDateTime_Basics,20,649,250,3861
DateTimeParserBucket,32,1065,232,1576
TestDuration_Basics,40,1335,1337,3807
PersistentInstantAsBigInt,9,304,130,393
TestInterval_Basics,38,1291,1377,5604
TestLocalDateTime_Constructors,19,647,303,2907
PersistentLocalDateTime,11,375,183,446
AbstractInterval,47,1617,1051,2920
TestLocalDate_Constructors,19,658,292,2220
TestPeriod_Constructors,37,1306,1274,5907
TestDateTimeZone,39,1386,756,4248
TestMonths,16,570,76,1383
TestDays,16,570,98,1651
DateTimeFormat,45,1659,1395,3549
TestDateTimeFormatter,27,1005,534,3170
DateTimeUtils,40,1491,703,1594
TestDateMidnight_Basics,37,1389,711,4479
AbstractDuration,44,1653,1011,2952
DateTimeFormatter,44,1659,1155,3060
TestLenientChronology,13,491,119,698
TestLocalTime_Basics,18,680,81,3318
TestSeconds,15,570,68,1526
TestYears,15,570,48,1310
TestWeeks,15,570,64,1642
TestHours,15,570,64,1630
TestMinutes,15,570,64,1562
TestStringConvert,5,192,8,209
TestPeriod_Basics,34,1306,1624,6567
TestDateTimeUtils,35,1348,581,2120
AbstractInstant,43,1659,748,2413
TestStringConverter,34,1343,472,2544
BasePartial,31,1236,236,1189
TestYearMonth_Constructors,8,319,17,837
TestYearMonthDay_Basics,29,1167,494,3537
StringConverter,41,1653,425,1030
AbstractDateTime,41,1659,707,2415
PersistentLocalDate,13,527,208,458
TestBaseSingleFieldPeriod,14,570,33,1364
Partial,22,897,115,3115
GJChronology,40,1659,537,4323
TestUnsupportedDateTimeField,12,504,15,2651
IslamicChronology,18,760,69,1648
TestInterval_Constructors,31,1312,695,3030
TestSerialization,22,933,357,1938
TestGJChronology,39,1659,323,3628
ISODateTimeFormat,39,1659,2457,6186
Interval,38,1617,747,1846
TestDateTime_Properties,33,1412,1641,6278
TestTimeOfDay_Constructors,27,1167,332,3203
TestMonthDay_Basics,6,262,86,1316
TestMonthDay_Properties,6,262,6,687
TestLocalDate_Properties,15,656,130,2297
TestISODateTimeFormatParsing,14,613,536,3352
Years,13,570,47,1091
Months,13,570,46,1198
Minutes,13,570,45,1419
BaseSingleFieldPeriod,13,570,20,1048
Weeks,13,570,45,1437
Days,13,570,45,1479
Hours,13,570,46,1477
Seconds,13,570,45,1419
PersistentLocalTimeExact,12,527,210,464
PersistentLocalTimeAsTime,12,527,215,479
PersistentLocalTimeAsString,12,527,210,464
CopticChronology,35,1538,270,1078
BasePeriod,28,1252,574,2623
TestConverterManager,30,1343,780,4390
TestMutableInterval_Basics,28,1286,259,2196
TestDateTimeFormat,36,1659,1012,5215
TestReadableIntervalConverter,29,1340,155,885
MutablePeriod,28,1302,722,3425
AbstractPeriod,28,1302,255,3336
TestTimeOfDay_Basics,25,1167,488,3818
TestPeriodFormatterBuilder,26,1214,918,4016
TestNullConverter,30,1410,174,916
BaseDateTimeField,31,1463,514,3175
ZonedChronology,35,1659,820,2480
MockZone,10,477,4,228
PeriodType,27,1303,1077,3989
TestMutablePeriod_Updates,27,1306,1165,6563
Duration,34,1653,802,1848
PersistentInterval,11,535,51,350
TestGregorianChronology,34,1659,110,1996
AbstractPartial,29,1423,370,2675
AbstractStringBasedJodaType,10,494,127,309
TestPeriodFormat,18,894,385,772
TestFixedDateTimeZone,14,696,52,466
TestLocalDateTime_Properties,13,647,189,4501
TestMutablePeriod_Constructors,26,1306,684,4341
Chronology,33,1659,1091,2810
TestReadableDurationConverter,28,1410,130,627
TestMutableDateTime_Basics,27,1361,315,3193
TestDuration_Constructors,26,1335,543,2034
Instant,32,1659,409,1243
JulianChronology,32,1659,176,1218
TestPeriodType,25,1302,871,4550
MutableInterval,31,1617,576,1558
TestLocalTime_Properties,13,680,171,3311
BasicChronology,14,734,52,2352
AbstractPartialFieldProperty,28,1476,196,1865
TestYearMonth_Properties,6,319,7,727
TestLongConverter,27,1439,97,614
TestJulianChronology,31,1659,99,2088
TestInstant_Basics,26,1412,317,2557
TestYearMonthDay_Properties,21,1167,129,2294
TestEthiopicChronology,14,783,214,2240
TestCopticChronology,22,1232,383,2299
BaseChronology,22,1235,342,2266
BuddhistChronology,29,1659,468,1432
DateTimeZoneBuilder,29,1659,691,5686
DateTimeFieldType,21,1202,547,2106
TestPersistentInstantAsBigInt,5,291,1,161
TestMutableInterval_Constructors,22,1286,202,2885
TestIslamicChronology,13,760,55,2874
BaseGJChronology,21,1235,321,1168
ConverterManager,28,1653,468,1964
UnsupportedDateTimeField,28,1653,222,2181
TestMutablePeriod_Basics,22,1306,436,2309
TestPartial_Basics,15,897,68,3711
EthiopicChronology,13,783,13,812
TestDateMidnight_Properties,23,1387,311,2326
TestISOPeriodFormat,20,1212,213,903
TestISODateTimeFormat,19,1152,267,2594
TestReadableInstantConverter,23,1410,91,697
TestYearMonthDay_Constructors,19,1167,189,1995
DateTimeField,27,1659,536,2580
ZoneInfoCompiler,27,1659,285,2663
GregorianChronology,27,1659,102,982
TestFieldUtils,13,800,148,819
PersistentDuration,8,493,58,131
PersistentPeriod,8,493,59,131
TestMutableDateTime_Adds,22,1361,113,1174
TestMutableDateTime_Sets,22,1361,162,2489
PersistentDateTimeTZ,15,930,53,425
TestPartial_Match,14,885,85,730
PersistentDateTime,15,949,129,519
TestISOChronology,20,1267,257,1793
BasicMonthOfYearDateTimeField,12,761,49,1103
TestYearMonth_Basics,5,319,0,1310
ReadableInstant,26,1659,229,803
ISOChronology,26,1659,158,1038
BasicFixedMonthChronology,12,766,17,506
FieldUtils,24,1538,226,1102
TestCalendarConverter,22,1410,107,870
TestPeriodFormatParsing,17,1092,93,631
PersistentYearMonthDay,14,903,83,494
ReadablePartial,22,1423,144,984
LongConverter,25,1653,86,354
DelegatedDateTimeField,25,1653,124,1162
IllegalFieldValueException,14,927,127,1016
TestBuddhistChronology,25,1659,206,1856
TestTextFields,16,1069,58,699
TestPersistentInterval,8,535,22,273
TestAbstractPartial,18,1207,123,998
TestDateConverter,21,1410,82,592
TestDateTime_Constructors,21,1412,366,2843
ReadableInterval,24,1617,325,1214
AbstractReadableInstantFieldProperty,23,1562,234,1904
TestMillisDurationField,17,1156,52,954
TestReadablePartialConverter,17,1159,50,670
TestISOPeriodFormatParsing,16,1092,99,953
TestBuilder,15,1024,106,1354
TestChronology,18,1235,280,1368
TestTimeOfDay_Properties,17,1167,204,3035
TestReadablePeriodConverter,19,1306,79,577
AbstractConverter,24,1653,157,644
ReadableDuration,24,1653,198,799
TestDateTimeComparator,24,1659,289,4900
BasicGJChronology,11,766,5,618
PersistentTimeOfDay,12,836,161,439
TestDateTimeFieldType,17,1186,245,1576
TestPersistentInstant,5,349,1,161
TestTimeOfDay,21,1476,687,3433
TestPeriodFormatter,14,991,52,978
TestIllegalFieldValueException,13,927,28,1372
BaseLocal,7,501,0,186
TestBaseDateTimeField,16,1147,162,2548
LimitChronology,23,1653,218,2260
DateTimeComparator,23,1659,294,1015
GJMonthOfYearDateTimeField,23,1659,128,995
NullConverter,20,1443,101,397
ReadableIntervalConverter,22,1616,133,466
TestInstant_Constructors,19,1412,90,751
TestPartial_Constructors,12,897,23,1872
TestPartial_Properties,12,897,31,1681
TestMutableInterval_Updates,17,1271,71,1695
TestISODateTimeFormat_Fields,12,898,61,4620
TestPersistentLocalDateTime,5,375,2,160
TestMutableDateTime_Properties,18,1351,147,3220
DurationFieldType,16,1202,267,1213
