Version,Strategy,Accuracy,FDR
1,Total,0.0,0
1,Mean,0.0,0
1,Max,0.0,0
1,Min,0.0,0
2,Total,0.0,0
2,Mean,0.0,0
2,Max,0.0,0
2,Min,0.0,0
3,Total,1.0,1
3,Mean,0.0,0
3,Max,0.0,0
3,Min,0.0,0
4,Total,0.0,0
4,Mean,0.9,1
4,Max,0.1,1
4,Min,0.9,1
5,Total,0.0,0
5,Mean,0.0,0
5,Max,0.0,0
5,Min,0.0,0
6,Total,0.0,0
6,Mean,0.0,0
6,Max,0.0,0
6,Min,0.0,0
7,Total,0.0,0
7,Mean,0.0,0
7,Max,0.0,0
7,Min,0.0,0
8,Total,0.0,0
8,Mean,0.0,0
8,Max,0.0,0
8,Min,1.0,1
9,Total,0.0,0
9,Mean,0.0,0
9,Max,0.0,0
9,Min,1.0,1
10,Total,0.0,0
10,Mean,1.0,1
10,Max,1.0,1
10,Min,1.0,1
11,Total,0.0,0
11,Mean,0.0,0
11,Max,0.0,0
11,Min,0.0,0
12,Total,0.0,0
12,Mean,0.0,0
12,Max,0.0,0
12,Min,0.0,0
13,Total,0.0,0
13,Mean,1.0,1
13,Max,1.0,1
13,Min,1.0,1
14,Total,0.0,0
14,Mean,1.0,1
14,Max,0.0,0
14,Min,1.0,1
15,Total,0.0,0
15,Mean,1.0,1
15,Max,1.0,1
15,Min,0.0,0
16,Total,0.0,0
16,Mean,0.0,0
16,Max,0.0,0
16,Min,0.0,0
17,Total,1.0,1
17,Mean,1.0,1
17,Max,1.0,1
17,Min,1.0,1
18,Total,1.0,1
18,Mean,1.0,1
18,Max,1.0,1
18,Min,1.0,1
19,Total,1.0,1
19,Mean,1.0,1
19,Max,1.0,1
19,Min,1.0,1
20,Total,0.0,0
20,Mean,0.0,0
20,Max,0.0,0
20,Min,0.0,0
21,Total,0.0,0
21,Mean,0.0,0
21,Max,0.0,0
21,Min,1.0,1
22,Total,0.0,0
22,Mean,0.0,0
22,Max,0.0,0
22,Min,0.0,0
23,Total,1.0,1
23,Mean,1.0,1
23,Max,1.0,1
23,Min,1.0,1
24,Total,0.0,0
24,Mean,0.0,0
24,Max,0.0,0
24,Min,0.0,0
25,Total,1.0,1
25,Mean,1.0,1
25,Max,1.0,1
25,Min,0.0,0
26,Total,0.0,0
26,Mean,0.0,0
26,Max,0.0,0
26,Min,0.0,0
27,Total,0.0,0
27,Mean,0.0,0
27,Max,0.0,0
27,Min,0.0,0
28,Total,1.0,1
28,Mean,0.0,0
28,Max,0.0,0
28,Min,0.0,0
29,Total,0.0,0
29,Mean,0.0,0
29,Max,0.0,0
29,Min,0.0,0
30,Total,0.0,0
30,Mean,0.0,0
30,Max,0.0,0
30,Min,0.0,0
31,Total,0.0,0
31,Mean,0.0,0
31,Max,0.0,0
31,Min,0.5,1
32,Total,1.0,1
32,Mean,1.0,1
32,Max,1.0,1
32,Min,1.0,1
33,Total,0.0,0
33,Mean,0.0,0
33,Max,0.0,0
33,Min,0.0,0
34,Total,0.0,0
34,Mean,0.0,0
34,Max,0.0,0
34,Min,0.0,0
35,Total,0.0,0
35,Mean,0.0,0
35,Max,0.0,0
35,Min,0.0,0
36,Total,1.0,1
36,Mean,1.0,1
36,Max,1.0,1
36,Min,1.0,1
37,Total,1.0,1
37,Mean,1.0,1
37,Max,1.0,1
37,Min,1.0,1
38,Total,1.0,1
38,Mean,1.0,1
38,Max,1.0,1
38,Min,1.0,1
39,Total,0.0,0
39,Mean,0.0,0
39,Max,0.0,0
39,Min,0.0,0
40,Total,0.0,0
40,Mean,1.0,1
40,Max,0.0,0
40,Min,1.0,1
41,Total,0.5,1
41,Mean,0.5,1
41,Max,1.0,1
41,Min,0.5,1
42,Total,1.0,1
42,Mean,1.0,1
42,Max,1.0,1
42,Min,1.0,1
43,Total,1.0,1
43,Mean,1.0,1
43,Max,1.0,1
43,Min,0.0,0
44,Total,0.0,0
44,Mean,0.0,0
44,Max,0.0,0
44,Min,1.0,1
45,Total,0.0,0
45,Mean,0.0,0
45,Max,0.0,0
45,Min,0.0,0
46,Total,0.0,0
46,Mean,0.0,0
46,Max,0.0,0
46,Min,0.0,0
47,Total,1.0,1
47,Mean,1.0,1
47,Max,1.0,1
47,Min,0.0,0
