Version,Strategy,Accuracy,FDR
1,Total,0.0,0
1,Mean,1.0,1
1,Max,1.0,1
1,Min,1.0,1
2,Total,0.0,0
2,Mean,0.0,0
2,Max,0.0,0
2,Min,0.0,0
3,Total,0.0,0
3,Mean,1.0,1
3,Max,0.0,0
3,Min,1.0,1
4,Total,0.3333333333333333,1
4,Mean,0.6666666666666666,1
4,Max,0.6666666666666666,1
4,Min,0.6666666666666666,1
5,Total,0.0,0
5,Mean,0.0,0
5,Max,0.0,0
5,Min,0.0,0
6,Total,0.5,1
6,Mean,1.0,1
6,Max,1.0,1
6,Min,1.0,1
7,Total,0.3333333333333333,1
7,Mean,1.0,1
7,Max,0.3333333333333333,1
7,Min,1.0,1
8,Total,0.0,0
8,Mean,0.0,0
8,Max,0.0,0
8,Min,0.0,0
9,Total,0.0,0
9,Mean,0.0,0
9,Max,0.0,0
9,Min,0.0,0
10,Total,0.0,0
10,Mean,1.0,1
10,Max,0.0,0
10,Min,1.0,1
11,Total,0.0,0
11,Mean,1.0,1
11,Max,1.0,1
11,Min,0.0,0
12,Total,0.0,0
12,Mean,0.0,0
12,Max,0.0,0
12,Min,0.0,0
13,Total,0.0,0
13,Mean,1.0,1
13,Max,0.0,0
13,Min,1.0,1
14,Total,0.0,0
14,Mean,0.42857142857142855,1
14,Max,0.0,0
14,Min,0.42857142857142855,1
15,Total,0.0,0
15,Mean,0.0,0
15,Max,0.0,0
15,Min,0.0,0
16,Total,1.0,1
16,Mean,1.0,1
16,Max,0.0,0
16,Min,1.0,1
17,Total,0.0,0
17,Mean,0.0,0
17,Max,0.0,0
17,Min,0.0,0
18,Total,0.0,0
18,Mean,0.0,0
18,Max,0.0,0
18,Min,0.0,0
