Version,Strategy,Accuracy,FDR
1,Total,1.0,1
1,Mean,1.0,1
1,Max,1.0,1
1,Min,0.0,0
1,TotalLines,1.0,1
1,MeanLines,1.0,1
1,MaxLines,1.0,1
1,MinLines,0.0,0
2,Total,1.0,1
2,Mean,1.0,1
2,Max,1.0,1
2,Min,0.0,0
2,TotalLines,1.0,1
2,MeanLines,1.0,1
2,MaxLines,1.0,1
2,MinLines,0.0,0
3,Total,0.3333333333333333,1
3,Mean,0.3333333333333333,1
3,Max,0.3333333333333333,1
3,Min,0.3333333333333333,1
3,TotalLines,0.3333333333333333,1
3,MeanLines,0.3333333333333333,1
3,MaxLines,0.3333333333333333,1
3,MinLines,0.3333333333333333,1
4,Total,0.5,1
4,Mean,0.5,1
4,Max,0.5,1
4,Min,1.0,1
4,TotalLines,1.0,1
4,MeanLines,1.0,1
4,MaxLines,1.0,1
4,MinLines,1.0,1
5,Total,0.0,0
5,Mean,0.0,0
5,Max,0.0,0
5,Min,0.0,0
5,TotalLines,0.0,0
5,MeanLines,0.0,0
5,MaxLines,0.0,0
5,MinLines,0.0,0
6,Total,0.0,0
6,Mean,0.0,0
6,Max,0.0,0
6,Min,0.0,0
6,TotalLines,0.0,0
6,MeanLines,0.0,0
6,MaxLines,0.0,0
6,MinLines,0.5,1
7,Total,1.0,1
7,Mean,1.0,1
7,Max,1.0,1
7,Min,1.0,1
7,TotalLines,1.0,1
7,MeanLines,1.0,1
7,MaxLines,1.0,1
7,MinLines,1.0,1
8,Total,0.0,0
8,Mean,0.0,0
8,Max,0.0,0
8,Min,0.0,0
8,TotalLines,0.0,0
8,MeanLines,0.0,0
8,MaxLines,0.0,0
8,MinLines,0.0,0
9,Total,0.0,0
9,Mean,0.0,0
9,Max,0.0,0
9,Min,0.0,0
9,TotalLines,0.0,0
9,MeanLines,0.0,0
9,MaxLines,0.0,0
9,MinLines,0.0,0
10,Total,1.0,1
10,Mean,1.0,1
10,Max,1.0,1
10,Min,1.0,1
10,TotalLines,1.0,1
10,MeanLines,0.0,0
10,MaxLines,1.0,1
10,MinLines,1.0,1
11,Total,0.0,0
11,Mean,0.0,0
11,Max,0.0,0
11,Min,0.5,1
11,TotalLines,0.0,0
11,MeanLines,0.0,0
11,MaxLines,0.0,0
11,MinLines,0.5,1
12,Total,0.0,0
12,Mean,0.0,0
12,Max,0.0,0
12,Min,1.0,1
12,TotalLines,0.0,0
12,MeanLines,0.0,0
12,MaxLines,0.0,0
12,MinLines,1.0,1
13,Total,0.0,0
13,Mean,0.0,0
13,Max,0.0,0
13,Min,0.0,0
13,TotalLines,0.0,0
13,MeanLines,0.0,0
13,MaxLines,0.0,0
13,MinLines,0.0,0
14,Total,1.0,1
14,Mean,1.0,1
14,Max,1.0,1
14,Min,1.0,1
14,TotalLines,1.0,1
14,MeanLines,1.0,1
14,MaxLines,1.0,1
14,MinLines,1.0,1
15,Total,1.0,1
15,Mean,1.0,1
15,Max,1.0,1
15,Min,1.0,1
15,TotalLines,1.0,1
15,MeanLines,1.0,1
15,MaxLines,1.0,1
15,MinLines,1.0,1
16,Total,0.0,0
16,Mean,0.5,1
16,Max,0.5,1
16,Min,0.5,1
16,TotalLines,0.0,0
16,MeanLines,0.5,1
16,MaxLines,0.5,1
16,MinLines,0.5,1
17,Total,1.0,1
17,Mean,0.0,0
17,Max,0.0,0
17,Min,0.0,0
17,TotalLines,1.0,1
17,MeanLines,0.0,0
17,MaxLines,0.0,0
17,MinLines,0.0,0
18,Total,0.3333333333333333,1
18,Mean,0.3333333333333333,1
18,Max,0.3333333333333333,1
18,Min,0.3333333333333333,1
18,TotalLines,0.3333333333333333,1
18,MeanLines,0.3333333333333333,1
18,MaxLines,0.3333333333333333,1
18,MinLines,0.3333333333333333,1
19,Total,0.0,0
19,Mean,0.0,0
19,Max,0.0,0
19,Min,0.0,0
19,TotalLines,1.0,1
19,MeanLines,0.0,0
19,MaxLines,0.0,0
19,MinLines,0.0,0
20,Total,0.0,0
20,Mean,0.0,0
20,Max,0.0,0
20,Min,0.0,0
20,TotalLines,0.0,0
20,MeanLines,0.0,0
20,MaxLines,0.0,0
20,MinLines,0.0,0
21,Total,0.0,0
21,Mean,0.0,0
21,Max,0.0,0
21,Min,0.0,0
21,TotalLines,0.0,0
21,MeanLines,0.0,0
21,MaxLines,0.0,0
21,MinLines,0.0,0
22,Total,0.0,0
22,Mean,0.0,0
22,Max,0.0,0
22,Min,0.0,0
22,TotalLines,0.0,0
22,MeanLines,0.0,0
22,MaxLines,0.0,0
22,MinLines,0.0,0
23,Total,0.0,0
23,Mean,1.0,1
23,Max,1.0,1
23,Min,1.0,1
23,TotalLines,1.0,1
23,MeanLines,0.0,0
23,MaxLines,1.0,1
23,MinLines,1.0,1
24,Total,0.0,0
24,Mean,0.0,0
24,Max,0.0,0
24,Min,0.0,0
24,TotalLines,0.0,0
24,MeanLines,0.0,0
24,MaxLines,0.0,0
24,MinLines,0.0,0
25,Total,1.0,1
25,Mean,1.0,1
25,Max,1.0,1
25,Min,0.0,0
25,TotalLines,1.0,1
25,MeanLines,0.0,0
25,MaxLines,1.0,1
25,MinLines,0.0,0
26,Total,0.0,0
26,Mean,0.0,0
26,Max,0.0,0
26,Min,0.0,0
26,TotalLines,0.0,0
26,MeanLines,0.0,0
26,MaxLines,0.0,0
26,MinLines,0.0,0
27,Total,0.0,0
27,Mean,0.0,0
27,Max,0.0,0
27,Min,0.0,0
27,TotalLines,0.0,0
27,MeanLines,0.0,0
27,MaxLines,0.0,0
27,MinLines,0.0,0
28,Total,0.0,0
28,Mean,0.0,0
28,Max,0.0,0
28,Min,0.0,0
28,TotalLines,0.0,0
28,MeanLines,0.0,0
28,MaxLines,0.0,0
28,MinLines,0.0,0
29,Total,0.0,0
29,Mean,0.0,0
29,Max,0.0,0
29,Min,0.0,0
29,TotalLines,0.0,0
29,MeanLines,0.0,0
29,MaxLines,0.0,0
29,MinLines,0.0,0
30,Total,0.0,0
30,Mean,1.0,1
30,Max,1.0,1
30,Min,1.0,1
30,TotalLines,0.0,0
30,MeanLines,0.0,0
30,MaxLines,0.0,0
30,MinLines,1.0,1
31,Total,0.0,0
31,Mean,0.0,0
31,Max,0.0,0
31,Min,0.0,0
31,TotalLines,0.0,0
31,MeanLines,0.0,0
31,MaxLines,0.0,0
31,MinLines,0.0,0
32,Total,1.0,1
32,Mean,0.0,0
32,Max,0.0,0
32,Min,0.0,0
32,TotalLines,1.0,1
32,MeanLines,1.0,1
32,MaxLines,1.0,1
32,MinLines,0.0,0
33,Total,0.0,0
33,Mean,1.0,1
33,Max,0.0,0
33,Min,1.0,1
33,TotalLines,0.0,0
33,MeanLines,1.0,1
33,MaxLines,1.0,1
33,MinLines,1.0,1
34,Total,0.5,1
34,Mean,0.5,1
34,Max,0.5,1
34,Min,0.5,1
34,TotalLines,0.5,1
34,MeanLines,0.5,1
34,MaxLines,0.5,1
34,MinLines,0.5,1
35,Total,1.0,1
35,Mean,1.0,1
35,Max,1.0,1
35,Min,1.0,1
35,TotalLines,1.0,1
35,MeanLines,1.0,1
35,MaxLines,1.0,1
35,MinLines,1.0,1
36,Total,0.0,0
36,Mean,0.0,0
36,Max,0.0,0
36,Min,0.0,0
36,TotalLines,0.0,0
36,MeanLines,0.0,0
36,MaxLines,0.0,0
36,MinLines,0.0,0
37,Total,1.0,1
