Version,Strategy,Accuracy,FDR
1,Total,1.0,1
1,Mean,1.0,1
1,Max,0.0,0
1,Min,1.0,1
1,TotalLines,0.0,0
1,MeanLines,0.0,0
1,MaxLines,0.0,0
1,MinLines,0.0,0
2,Total,0.0,0
2,Mean,0.0,0
2,Max,0.0,0
2,Min,0.0,0
2,TotalLines,0.0,0
2,MeanLines,0.0,0
2,MaxLines,0.0,0
2,MinLines,0.0,0
3,Total,1.0,1
3,Mean,0.6666666666666666,1
3,Max,0.6666666666666666,1
3,Min,0.6666666666666666,1
3,TotalLines,1.0,1
3,MeanLines,0.6666666666666666,1
3,MaxLines,0.6666666666666666,1
3,MinLines,0.6666666666666666,1
4,Total,0.0,0
4,Mean,1.0,1
4,Max,1.0,1
4,Min,1.0,1
4,TotalLines,0.0,0
4,MeanLines,0.0,0
4,MaxLines,0.0,0
4,MinLines,0.0,0
5,Total,0.0,0
5,Mean,0.0,0
5,Max,0.0,0
5,Min,1.0,1
5,TotalLines,0.0,0
5,MeanLines,0.0,0
5,MaxLines,0.0,0
5,MinLines,0.0,0
6,Total,0.0,0
6,Mean,0.0,0
6,Max,0.0,0
6,Min,0.0,0
6,TotalLines,0.0,0
6,MeanLines,0.0,0
6,MaxLines,0.0,0
6,MinLines,0.0,0
7,Total,1.0,1
7,Mean,0.0,0
7,Max,0.0,0
7,Min,0.0,0
7,TotalLines,1.0,1
7,MeanLines,0.0,0
7,MaxLines,0.0,0
7,MinLines,0.0,0
8,Total,0.0,0
8,Mean,0.0,0
8,Max,0.0,0
8,Min,0.0,0
8,TotalLines,1.0,1
8,MeanLines,1.0,1
8,MaxLines,1.0,1
8,MinLines,1.0,1
9,Total,1.0,1
9,Mean,0.0,0
9,Max,0.0,0
9,Min,0.0,0
9,TotalLines,1.0,1
9,MeanLines,0.0,0
9,MaxLines,0.0,0
9,MinLines,0.0,0
10,Total,1.0,1
10,Mean,0.0,0
10,Max,0.0,0
10,Min,0.0,0
10,TotalLines,1.0,1
10,MeanLines,0.0,0
10,MaxLines,0.0,0
10,MinLines,0.0,0
11,Total,1.0,1
11,Mean,0.0,0
11,Max,0.0,0
11,Min,0.0,0
11,TotalLines,1.0,1
11,MeanLines,0.0,0
11,MaxLines,0.0,0
11,MinLines,0.0,0
12,Total,1.0,1
12,Mean,0.0,0
12,Max,0.0,0
12,Min,0.0,0
12,TotalLines,0.0,0
12,MeanLines,0.0,0
12,MaxLines,0.0,0
12,MinLines,0.0,0
13,Total,0.5,1
13,Mean,1.0,1
13,Max,0.5,1
13,Min,1.0,1
13,TotalLines,0.5,1
13,MeanLines,0.5,1
13,MaxLines,0.5,1
13,MinLines,0.5,1
14,Total,0.8333333333333334,1
14,Mean,0.0,0
14,Max,0.3333333333333333,1
14,Min,0.0,0
14,TotalLines,1.0,1
14,MeanLines,1.0,1
14,MaxLines,0.8333333333333334,1
14,MinLines,0.8333333333333334,1
15,Total,0.0,0
15,Mean,0.0,0
15,Max,0.0,0
15,Min,1.0,1
15,TotalLines,0.0,0
15,MeanLines,0.0,0
15,MaxLines,0.0,0
15,MinLines,0.0,0
16,Total,0.0,0
16,Mean,0.0,0
16,Max,1.0,1
16,Min,0.0,0
16,TotalLines,0.0,0
16,MeanLines,0.0,0
16,MaxLines,1.0,1
16,MinLines,0.0,0
