Project,Accuracy_Min,FDR_Min,Accuracy_Max,FDR_Max,Accuracy_Mean,FDR_Mean,Accuracy_Total,FDR_Total,Accuracy_Min_Lines,FDR_Min_Lines,Accuracy_Max_Lines,FDR_Max_Lines,Accuracy_Mean_Lines,FDR_Mean_Lines,Accuracy_Total_Lines,FDR_Total_Lines
jsoup,0.5089605734767024,0.5806451612903226,0.5564516129032258,0.6021505376344086,0.5358422939068099,0.5806451612903226,0.5355862775217614,0.5698924731182796,0.4498207885304659,0.4946236559139785,0.5313620071684587,0.5698924731182796,0.4408602150537634,0.4731182795698925,0.4507168458781361,0.4838709677419355
chart,0.5830419580419581,0.6153846153846154,0.5830419580419581,0.6153846153846154,0.5830419580419581,0.6153846153846154,0.5454545454545454,0.5769230769230769,0.5830419580419581,0.6153846153846154,0.5830419580419581,0.6153846153846154,0.5830419580419581,0.6153846153846154,0.5454545454545454,0.5769230769230769
gson,0.6481481481481481,0.6666666666666666,0.4444444444444444,0.5,0.7037037037037037,0.7222222222222222,0.6481481481481481,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.4047619047619047,0.5,0.537037037037037,0.5555555555555556,0.48148148148148145,0.5
csv,0.625,0.625,0.6041666666666667,0.6875,0.6770833333333333,0.75,0.6458333333333333,0.6875,0.5625,0.5625,0.7291666666666667,0.8125,0.7083333333333333,0.75,0.7708333333333333,0.8125
cli,0.6094276094276094,0.6666666666666666,0.6851851851851851,0.7272727272727273,0.7306397306397306,0.7878787878787878,0.7154882154882155,0.7878787878787878,0.367003367003367,0.42424242424242425,0.6666666666666666,0.696969696969697,0.5942760942760943,0.6666666666666666,0.7575757575757576,0.8181818181818182
math,0.2638888888888889,0.3055555555555556,0.2777777777777778,0.3333333333333333,0.3194444444444444,0.3888888888888889,0.2222222222222222,0.25,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.2638888888888889,0.3333333333333333,0.2638888888888889,0.3055555555555556
codec,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6157407407407408,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.7222222222222222,0.7222222222222222,0.6898148148148149,0.7222222222222222,0.6944444444444444,0.7222222222222222
mockito,0.46620879120879116,0.5526315789473685,0.4463048647259174,0.5526315789473685,0.4594627594627595,0.5526315789473685,0.4374204742625796,0.5263157894736842,0.20203875072296126,0.2631578947368421,0.43051539104170683,0.5263157894736842,0.29705674442516544,0.39473684210526316,0.32952573742047425,0.39473684210526316
lang,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
compress,0.7212765957446808,0.723404255319149,0.6808510638297872,0.6808510638297872,0.7021276595744681,0.7021276595744681,0.7276595744680852,0.7446808510638298,0.6893617021276596,0.723404255319149,0.5787234042553191,0.5957446808510638,0.6361702127659574,0.6382978723404256,0.6170212765957447,0.6170212765957447
