ClassName,Changes,TotalCommits
CLI2Converter,3,576
CLI2ConverterTest,3,576
Argument,3,723
ArgumentBuilder,6,723
CommandBuilder,5,723
DefaultOptionBuilder,6,723
GroupBuilder,3,723
PatternBuilder,3,723
SwitchBuilder,7,723
CommandLineImpl,3,723
DefaultingCommandLine,2,723
CommandLine,2,723
Parser,9,723
PreferencesCommandLine,2,723
PropertiesCommandLine,2,723
WriteableCommandLineImpl,5,723
DisplaySetting,3,723
Group,2,723
HelpLine,2,723
ArgumentImpl,10,723
Command,6,723
DefaultOption,7,723
OptionException,4,723
GroupImpl,11,723
HelpLineImpl,2,723
Option,6,723
OptionImpl,7,723
ParentImpl,6,723
PropertyOption,5,723
SourceDestArgument,5,723
Switch,9,723
Parent,2,723
ResourceConstants,3,617
ResourceHelper,8,723
Comparators,3,723
HelpFormatter,9,723
ClassValidator,6,723
DateValidator,9,723
EnumValidator,9,723
FileValidator,5,723
InvalidArgumentException,3,723
NumberValidator,7,723
UrlValidator,6,723
Validator,3,723
WriteableCommandLine,3,723
AlreadySelectedException,13,832
AmbiguousOptionException,3,256
AbstractParserControl,2,657
CLArgsParser,2,657
CLOptionDescriptor,2,657
CLOption,2,657
CLUtil,2,657
ParserControl,2,657
Token,2,657
BasicParser,11,796
CLI2Converter,2,723
CommandLine,33,832
CommandLineParserFactory,5,821
CommandLineParser,15,829
DefaultParser,4,235
GnuParser,23,828
HelpFormatter,43,832
MissingArgumentException,12,832
MissingOptionException,12,832
OptionBuilder,23,808
OptionGroup,18,832
Option,40,832
Options,31,832
OptionValidator,10,758
ParseException,11,832
Parser,39,796
PatternOptionBuilder,21,832
PosixParser,30,829
TypeHandler,22,832
UnrecognizedOptionException,12,832
Util,12,758
AlreadySelectedException,3,213
AmbiguousOptionException,8,213
BasicParser,5,213
CommandLine,13,213
CommandLineParser,2,213
DefaultParser,14,213
GnuParser,7,213
HelpFormatter,26,213
MissingArgumentException,3,213
MissingOptionException,7,213
OptionBuilder,17,213
OptionGroup,8,213
Option,29,213
Options,20,213
OptionValidator,9,213
package-info,2,102
ParseException,3,213
Parser,16,213
PatternOptionBuilder,9,213
PosixParser,10,213
TypeHandler,7,213
UnrecognizedOptionException,3,213
Util,6,213
ApplicationTest,4,215
ArgumentIsOptionTest,4,215
BasicParserTest,5,215
BugCLI133Test,3,215
BugCLI13Test,3,215
BugCLI148Test,4,215
BugCLI162Test,4,215
BugCLI18Test,2,215
BugCLI252Test,4,25
BugCLI265Test,1,4
BugCLI266Test,2,11
BugCLI71Test,6,215
BugsTest,2,53
BugsTest,7,215
CommandLineTest,5,215
DefaultParserTest,3,215
GnuParserTest,5,215
HelpFormatterTest,10,215
OptionBuilderTest,7,215
OptionGroupTest,6,215
OptionsTest,5,215
OptionTest,7,215
ParserTestCase,8,215
PatternOptionBuilderTest,4,215
PosixParserTest,5,215
UtilTest,2,215
ValuesTest,4,215
ValueTest,5,215
AntTest,2,723
CpTest,4,723
CvsTest,2,723
LsTest,2,723
Bug13886Test,2,723
Bug13935Test,2,723
Bug15046Test,2,723
Bug15648Test,2,723
Bug27575Test,2,723
Bug28005Test,3,723
Bug32533Test,3,669
BugCLI122Test,0,0
BugCLI123Test,0,0
BugCLI126Test,0,0
BugCLI12Test,0,0
BugCLI144Test,0,0
BugCLI145Test,0,0
BugCLI150Test,0,0
BugCLI158Test,0,0
BugCLI159Test,0,0
BugCLI18Test,2,582
BugCLI80Test,0,0
BugLoopingOptionLookAlikeTest,3,658
ArgumentBuilderTest,2,614
DefaultOptionBuilderTest,4,723
CLITestCase,3,723
DefaultingCommandLineTest,6,723
CommandLineDefaultsTest,2,699
ParserTest,2,651
PreferencesCommandLineTest,4,723
PropertiesCommandLineTest,5,723
CommandLineTestCase,6,723
WriteableCommandLineImplTest,3,723
DocumentationTest,7,723
JDependTest,4,723
ArgumentTestCase,2,723
ArgumentTest,9,723
CommandTest,5,723
DefaultOptionTest,4,723
GroupTestCase,3,723
GroupTest,6,723
NestedGroupTest,3,669
OptionTestCase,2,723
ParentTestCase,2,723
ParentTest,5,723
PropertyOptionTest,4,723
SwitchTest,6,723
PrecedenceTest,6,723
ResourceHelperTest,2,611
ComparatorsTest,3,723
HelpFormatterTest,10,723
ClassValidatorTest,4,723
DateValidatorTest,12,723
EnumValidatorTest,5,723
FileValidatorTest,9,723
NumberValidatorTest,5,723
ProtectedClass,3,723
TimeZoneTestSuite,2,644
UrlValidatorTest,5,723
WriteableCommandLineTestCase,4,723
ApplicationTest,22,828
ArgumentIsOptionTest,7,681
ClutilTestCase,2,657
BasicParserTest,8,498
BugCLI133Test,3,551
BugCLI138Test,0,0
BugCLI13Test,3,570
BugCLI148Test,5,519
BugCLI162Test,11,433
BugCLI18Test,4,582
BugCLI51Test,0,0
BugCLI71Test,4,568
BugsTest,30,800
BuildTest,5,832
CLI2ConverterTest,2,723
CommandLineTest,2,475
DefaultParserTest,2,235
GnuParserTest,12,483
GnuParseTest,5,821
HelpFormatterExamples,4,832
HelpFormatterTest,16,549
LongOptionWithShort,2,681
OptionBuilderTest,10,808
OptionGroupTest,16,832
OptionsTest,15,757
OptionTest,7,568
ParseRequiredTest,14,832
ParserTestCase,11,442
ParseTest,8,832
PatternOptionBuilderTest,18,832
PosixParserTest,15,507
TestHelpFormatter,8,832
UtilTest,6,551
ValuesTest,16,832
ValueTest,16,832
