ClassName,Changes,TotalCommits
Base64,9,464
Base64InputStream,5,44
Base64,47,464
Base64OutputStream,3,44
BinaryCodec,9,245
Binary,9,294
BinaryDecoder,16,464
BinaryEncoder,16,464
Hex,23,464
DecoderException,17,464
Decoder,15,464
DigestUtils,16,386
EncoderException,18,464
Encoder,15,464
Caverphone,5,69
DoubleMetaphone,32,433
Metaphone,33,464
RefinedSoundex,31,464
Soundex,38,464
SoundexUtils,12,317
BCodec,17,250
CharacterEncodingNames,6,183
QCodec,18,250
QuotedPrintableCodec,20,263
RFC1522Codec,9,250
StringEncodings,3,251
URLCodec,28,426
StringDecoder,14,426
StringEncoderComparator,22,464
StringEncoder,15,464
Base64Test,5,464
Base64InputStreamTest,2,44
Base64OutputStreamTest,2,44
Base64TestData,2,44
Base64Test,35,464
BinaryCodecTest,6,245
BinaryTest,10,294
BinaryEncoderAbstractTest,17,464
HexTest,18,464
DigestUtilsTest,18,386
AllTests,10,357
CaverphoneTest,4,69
DoubleMetaphoneTest,18,391
MetaphoneTest,24,464
RefinedSoundexTest,23,464
SoundexTest,32,464
BCodecTest,7,246
QCodecTest,8,246
QuotedPrintableCodecTest,7,263
RFC1522CodecTest,9,239
URLCodecTest,20,424
StringEncoderAbstractTest,18,464
StringEncoderComparatorTest,19,464
