ClassName,Changes,TotalCommits
Bzip2Compress,4,1872
BZip2Example,0,0
Bzip2Uncompress,4,1872
TarExample,0,0
ZipExample,0,0
AbstractArchive,0,0
AbstractCompressor,0,0
ArchiveEntry,0,0
ArchiveException,0,0
Archive,0,0
ArchiverFactory,0,0
TarArchive,0,0
TarBuffer,0,0
TarEntry,0,0
TarInputStream,0,0
TarOutputStream,0,0
TarUtils,0,0
AsiExtraField,0,0
ExtraFieldUtils,0,0
UnixStat,0,0
UnrecognizedExtraField,0,0
ZipArchive,0,0
ZipEntry,0,0
ZipExtraField,0,0
ZipLong,0,0
ZipOutputStream,0,0
ZipShort,0,0
BZip2Constants,4,1908
CBZip2InputStream,6,1908
CBZip2OutputStream,4,1908
CRC,4,1908
CompressException,0,0
CompressorFactory,0,0
Compressor,0,0
BZip2Compressor,0,0
BZip2Constants,0,0
BZip2InputStream,0,0
BZip2OutputStream,0,0
CRC,0,0
CompressUtils,0,0
PackableObjectException,0,0
PackableObject,0,0
TarBuffer,6,1912
TarConstants,5,1912
TarEntry,5,1912
TarInputStream,6,1912
TarOutputStream,5,1912
TarUtils,5,1912
UnpackException,0,0
AsiExtraField,5,1912
ExtraFieldUtils,5,1912
UnixStat,5,1912
UnrecognizedExtraField,5,1912
ZipEntry,5,1912
ZipExtraField,5,1912
ZipLong,5,1912
ZipOutputStream,5,1912
ZipShort,5,1912
ArArchiveEntry,34,1910
ArArchiveInputStream,46,1910
ArArchiveOutputStream,33,1910
ArchiveEntry,11,1910
ArchiveException,5,1910
ArchiveInputStream,21,1910
ArchiveOutputStream,25,1910
ArchiveStreamFactory,53,1910
ArjArchiveEntry,12,710
ArjArchiveInputStream,22,710
LocalFileHeader,3,710
MainHeader,1,710
CpioArchiveEntry,38,1781
CpioArchiveInputStream,46,1781
CpioArchiveOutputStream,53,1781
CpioConstants,9,1781
CpioUtil,8,1671
Dirent,7,1068
DumpArchiveConstants,4,1068
DumpArchiveEntry,18,1068
DumpArchiveException,4,1068
DumpArchiveInputStream,32,1068
DumpArchiveSummary,9,1068
DumpArchiveUtil,10,1068
InvalidFormatException,2,1068
ShortFileException,1,1068
TapeInputStream,12,1068
UnrecognizedFormatException,1,1068
UnsupportedCompressionAlgorithmException,2,1068
JarArchiveEntry,19,1910
JarArchiveInputStream,17,1910
JarArchiveOutputStream,16,1910
Lister,11,1254
AES256SHA256Decoder,10,439
Archive,4,729
BindPair,2,729
BoundedRandomAccessFileInputStream,4,728
CLI,10,360
CoderBase,6,439
Coder,1,729
Coders,34,728
DeltaDecoder,7,427
Folder,9,729
LZMA2Decoder,17,631
NID,1,729
PasswordRequiredException,4,259
SevenZArchiveEntry,17,729
SevenZFile,59,729
SevenZMethodConfiguration,7,454
SevenZMethod,13,634
SevenZOutputFile,35,690
StartHeader,2,729
StreamMap,2,729
SubStreamsInfo,2,729
StreamingNotSupportedException,4,461
TarArchiveEntry,76,1910
TarArchiveInputStream,79,1755
TarArchiveOutputStream,70,1755
TarArchiveSparseEntry,3,1200
TarBuffer,15,1910
TarConstants,21,1910
TarInputStream,8,1910
TarOutputStream,11,1910
TarUtils,45,1910
AbstractUnicodeExtraField,17,1742
AsiExtraField,15,1910
BinaryTree,4,534
BitStream,5,534
CircularBuffer,4,534
ExplodingInputStream,4,534
ExtraFieldUtils,34,1910
FallbackZipEncoding,12,1713
FileBasedScatterGatherBackingStore,5,300
GeneralPurposeBit,15,1339
InputStreamSupplier,4,298
JarMarker,6,1779
NioZipEncoding,6,1713
ParallelScatterZipCreator,22,298
PKWareExtraHeader,11,151
ScatterGatherBackingStore,4,300
ScatterGatherBackingStoreSupplier,3,298
ScatterStatistics,2,250
ScatterZipOutputStream,19,312
Simple8BitZipEncoding,15,1712
Simple8BitZipEnoding,2,1713
StreamCompressor,14,312
UnicodeCommentExtraField,13,1742
UnicodePathExtraField,13,1742
UnixStat,4,1910
UnparseableExtraFieldData,9,1354
UnrecognizedExtraField,13,1910
UnshrinkingInputStream,12,573
UnsupportedZipFeatureException,12,1314
X000A_NTFS,6,147
X0014_X509Certificates,7,151
X0015_CertificateIdForFile,7,151
X0016_CertificateIdForCentralDirectory,7,151
X0017_StrongEncryptionHeader,10,151
X0019_EncryptionRecipientCertificateList,6,151
X5455_ExtendedTimestamp,8,804
X7875_NewUnix,10,807
Zip64ExtendedInformationExtraField,20,1208
Zip64Mode,2,1088
Zip64RequiredException,4,1088
ZipArchiveEntry,74,1766
ZipArchiveEntryPredicate,2,314
ZipArchiveEntryRequest,4,260
ZipArchiveInputStream,100,1910
ZipArchiveOutputStream,127,1764
ZipConstants,6,1184
ZipEightByteInteger,10,1212
ZipEncodingHelper,23,1742
ZipEncoding,5,1713
ZipEntry,7,1910
ZipExtraField,8,1910
ZipFile,93,1779
ZipLong,26,1910
ZipMethod,11,847
ZipOutputStream,7,1910
ZipShort,17,1910
ZipUtil,25,1671
Change,15,1910
ChangeSet,28,1910
ChangeSetPerformer,21,1505
ChangeSetResults,10,1455
ChangeWorker,2,1910
DeleteChange,3,1910
BlockSort,14,879
BZip2CompressorInputStream,38,1910
BZip2CompressorOutputStream,48,1910
BZip2Constants,6,1910
BZip2Utils,9,1385
CRC,8,1910
Rand,2,1466
CompressorException,4,1910
CompressorInputStream,12,1910
CompressorOutputStream,5,1910
CompressorStreamFactory,39,1910
DeflateCompressorInputStream,8,375
DeflateCompressorOutputStream,6,375
DeflateParameters,4,375
FileNameUtil,8,990
GzipCompressorInputStream,29,1910
GzipCompressorOutputStream,19,1910
GzipParameters,2,550
GzipUtils,9,1517
LZMACompressorInputStream,5,688
LZMAUtils,5,186
LZWInputStream,8,326
InMemoryCachingStreamBridge,3,1033
InMemoryStreamSwitcher,2,1036
Pack200CompressorInputStream,11,1036
Pack200CompressorOutputStream,10,1036
Pack200Strategy,3,1033
Pack200Utils,9,1031
StreamBridge,3,1033
StreamMode,2,1036
StreamSwitcher,2,1036
TempFileCachingStreamBridge,3,1033
TempFileStreamSwitcher,2,1036
FramedSnappyCompressorInputStream,17,591
FramedSnappyDialect,2,41
PureJavaCrc32C,8,527
SnappyCompressorInputStream,13,591
SnappyDecompressor,3,593
XZCompressorInputStream,8,995
XZCompressorOutputStream,7,995
XZUtils,15,993
AbstractLZWInputStream,4,553
InternalLZWInputStream,4,504
ZCompressorInputStream,20,586
package-info,2,245
PasswordRequiredException,2,248
FileBasedScatterGatherBackingStore,3,247
InputStreamSupplier,1,247
ScatterGatherBackingStore,3,247
ScatterGatherBackingStoreSupplier,3,247
PasswordRequiredException,3,241
ArchiveUtils,20,1526
BitInputStream,12,326
BoundedInputStream,5,710
CharsetNames,4,897
Charsets,9,897
ChecksumVerifyingInputStream,4,565
CompressUtils,2,1910
CountingInputStream,8,1020
CountingOutputStream,7,1020
CRC32VerifyingInputStream,10,729
IOUtils,19,1910
PureJavaCrc32C,2,565
ReflectionUtils,2,1910
AbstractTestCase,60,1908
ArchiveReadTest,8,197
ArchiveReadTests,11,1535
ArArchiveInputStreamTest,8,1205
ArArchiveOutputStreamTest,6,1089
ArchiveOutputStreamTest,11,1442
ArchiveStreamFactoryTest,13,959
ArjArchiveInputStreamTest,6,677
ArTestCase,14,1908
CompressTestCase,0,0
CpioArchiveInputStreamTest,9,1652
CpioArchiveOutputStreamTest,5,997
CpioUtilTest,2,997
CpioTestCase,15,1781
DumpArchiveEntryTest,3,999
DumpArchiveInputStreamTest,8,997
DumpArchiveUtilTest,2,1000
DumpTestCase,9,1053
ExceptionMessageTest,7,1364
JarArchiveOutputStreamTest,7,1741
JarTestCase,10,1908
LongPathTest,26,1264
LongSymLinkTest,8,195
MemoryArchiveEntry,8,1910
MemoryArchiveInputStream,4,1910
MemoryArchiveTestCase,5,1910
SevenZArchiveEntryTest,1,605
SevenZFileTest,31,729
SevenZMethodConfigurationTest,2,454
SevenZNativeHeapTest,3,70
SevenZOutputFileTest,21,610
SevenZTestCase,6,690
BigFilesIT,6,970
SparseFilesTest,7,1195
TarArchiveEntryTest,18,1679
TarArchiveInputStreamTest,31,966
