ClassName,Changes,TotalCommits
CharBuffer,8,740
CSVParser,29,781
CSVPrinter,11,781
CSVStrategy,14,761
CSVUtils,7,756
ExtendedBufferedReader,10,781
CSVConfigGuesser,6,771
CSVConfig,6,771
CSVField,5,771
CSVWriter,8,771
Assertions,4,86
CharBuffer,7,654
Constants,16,414
CSVFormat,167,644
CSVLexer,55,574
CSVParser,118,654
CSVPrinter,71,654
CSVRecord,45,570
CSVStrategy,5,654
CSVUtils,7,654
ExtendedBufferedReader,32,654
Lexer,53,108
package-info,9,463
Quote,6,372
Token,17,549
UnicodeUnescapeReader,6,616
CSVConfigGuesser,2,654
CSVConfig,4,654
CSVField,2,654
CSVWriter,2,654
AllTests,4,739
FormatTests,1,782
AssertionsTest,2,86
CharBufferTest,5,654
CSVFileParserTest,24,517
CSVFormatBuilderTest,16,313
CSVFormatTest,49,644
CSVLexer130663,2,485
CSVLexer1306663,14,481
CSVLexer1306667,14,471
CSVLexer1,17,542
CSVLexer3,10,495
CSVLexerTest,61,614
CSVParserTest,101,654
CSVPrinterTest,50,654
CSVRecordBooleanTest,4,127
CSVRecordIntTest,2,123
CSVRecordLongTest,2,124
CSVRecordTest,13,215
CSVStrategyTest,4,654
CSVUtilsTest,3,654
ExtendedBufferedReaderTest,22,654
FercGovTest,6,139
LexerTest,2,63
PerformanceTest,20,566
PerformanceTest,16,460
TokenMatchers,4,227
TokenMatchersTest,1,227
Utils,7,479
CSVConfigGuesserTest,2,654
CSVConfigTest,2,654
CSVFieldTest,2,654
CSVWriterTest,2,654
AllTests,4,739
CharBufferTest,5,740
CSVParserTest,18,781
CSVPrinterTest,11,781
CSVStrategyTest,10,761
CSVUtilsTest,5,756
ExtendedBufferedReaderTest,8,781
AllTests,3,739
CSVConfigGuesserTest,5,770
CSVConfigTest,5,770
CSVFieldTest,5,770
CSVWriterTest,6,770
