ClassName,Changes,TotalCommits
CodeGen,1,469
GeneratedTypeAdapter,1,469
GeneratedTypeAdapterProcessor,1,469
JavaWriter,1,469
CodeGenFunctionalTest,2,469
Order,2,469
GsonProguardExampleActivity,2,784
Cart,1,783
LineItem,2,783
RawCollectionsExample,3,815
GraphAdapterBuilder,5,550
GraphTypeAdapterFactory,5,565
Intercept,1,454
InterceptorFactory,1,454
JsonPostDeserializer,1,454
ArrayTypeAdapter,2,794
CollectionTypeAdapter,4,796
MapTypeAdapter,2,795
MiniGson,7,796
ReflectiveTypeAdapter,5,796
StringToValueMapTypeAdapter,2,794
TypeAdapter,4,796
TypeAdapters,2,796
PostConstructAdapterFactory,2,86
RuntimeTypeAdapterFactory,14,699
RuntimeTypeAdapter,5,824
UtcDateTypeAdapter,5,359
GraphAdapterBuilderTest,3,550
GraphTypeAdapterFactoryTest,3,565
InterceptorTest,1,454
MiniGsonTest,6,796
PostConstructAdapterFactoryTest,3,86
RuntimeTypeAdapterFactoryTest,3,699
RuntimeTypeAdapterTest,5,824
UtcDateTypeAdapterTest,5,359
CodeGen,2,495
GeneratedTypeAdapter,2,495
GeneratedTypeAdapterProcessor,2,495
JavaWriter,2,495
CodeGenFunctionalTest,2,494
Order,2,494
Adapt,2,398
Expose,4,1380
JsonAdapter,13,397
SerializedName,5,1380
Since,3,1380
Until,4,1302
AnonymousAndLocalClassExclusionStrategy,6,1274
BaseMapTypeAdapter,6,879
Cache,6,890
CamelCaseSeparatorNamingPolicy,6,1380
CircularReferenceException,3,1173
CompositionFieldNamingPolicy,2,1380
DefaultConstructorAllocator,6,897
DefaultDateTypeAdapter,7,628
DefaultTypeAdapters,87,1380
DelegatingJsonElementVisitor,7,1380
DisjunctionExclusionStrategy,10,1380
Escaper,12,1380
ExclusionStrategy2Adapter,2,944
ExclusionStrategy2,2,944
ExclusionStrategy,11,1380
ExposeAnnotationBasedExclusionStrategy,2,1380
ExposeAnnotationDeserializationExclusionStrategy,6,936
ExposeAnnotationExclusionStrategy,2,944
ExposeAnnotationSerializationExclusionStrategy,6,936
FieldAttributes,34,1153
FieldNamingPolicy,12,1380
FieldNamingStrategy2Adapter,12,1121
FieldNamingStrategy2,7,1121
FieldNamingStrategy,6,1380
GenericArrayTypeImpl,2,1380
GsonBuilder,100,1380
GsonExclusionStrategy,2,626
Gson,191,1380
GsonToMiniGsonTypeAdapterFactory,7,725
GsonToMiniGsonTypeAdapter,6,774
InnerClassExclusionStrategy,7,1380
InstanceCreator,1,1380
$Cache,2,894
$Gson$Preconditions,3,871
$Gson$Types,16,871
$LruCache,2,894
$Pair,2,894
$Preconditions,2,894
$Primitives,2,894
$Types,2,894
$UnsafeAllocator,2,894
Intercept,2,459
JsonPostDeserializer,2,459
package-info,2,459
AdaptAnnotationTypeAdapterFactory,2,398
ArrayTypeAdapter,19,780
BigDecimalTypeAdapter,7,758
BigIntegerTypeAdapter,7,758
CollectionTypeAdapterFactory,13,725
CollectionTypeAdapter,9,780
DateTypeAdapter,9,704
ExcludedTypeAdapterFactory,4,725
FieldTypeAdapterFactory,2,408
GsonCompatibleMapTypeAdapter,4,750
JsonAdapterAnnotationTypeAdapterFactory,16,397
JsonElementReader,9,694
JsonElementWriter,7,690
JsonTreeReader,3,607
JsonTreeWriter,2,564
MapTypeAdapterFactory,23,725
MiniGson,10,780
ObjectTypeAdapter,16,750
Reflection,7,767
ReflectiveTypeAdapterFactory,35,725
ReflectiveTypeAdapter,16,780
SqlDateTypeAdapter,7,701
StringToValueMapTypeAdapterFactory,5,725
StringToValueMapTypeAdapter,4,780
TimeTypeAdapter,7,704
TreeTypeAdapter,2,145
TypeAdapter,7,780
TypeAdapterRuntimeTypeWrapper,9,761
TypeAdapters,61,780
ISO8601Utils,3,243
Cache,2,908
ConstructorConstructor,19,725
Excluder,8,625
GsonInternalAccess,2,563
JsonReaderInternalAccess,1,613
LazilyParsedNumber,8,773
LinkedHashTreeMap,9,415
LinkedTreeMap,13,423
LruCache,2,908
ObjectConstructor,1,725
package-info,1,867
Pair,4,725
ParameterizedTypeHandlerMap,5,725
Preconditions,2,908
Primitives,5,725
Streams,11,773
StringMap,9,539
TypeMap,2,637
Types,3,908
UnsafeAllocator,7,775
JavaFieldNamingPolicy,4,1380
JsonArrayDeserializationVisitor,18,1380
JsonArray,28,1380
JsonCompactFormatter,6,1380
JsonDeserializationContextDefault,12,1380
JsonDeserializationContext,10,1380
JsonDeserializationVisitor,31,1380
JsonDeserializerExceptionWrapper,9,1380
JsonDeserializer,3,1380
JsonElement,21,1380
JsonElementVisitor,2,1380
JsonEscapingVisitor,4,1380
JsonFieldNameValidator,8,1380
JsonFormatter,2,1380
JsonIOException,3,1045
JsonNull,21,1380
JsonObjectDeserializationVisitor,23,1380
JsonObject,40,1380
JsonParseException,2,1380
JsonParserAsync,3,1210
JsonParserConstants,7,1380
JsonParserImplConstants,5,1247
JsonParserImpl,4,1247
JsonParserImplTokenManager,5,1247
JsonParser,29,1380
JsonParserJavaccConstants,4,1223
JsonParserJavacc,5,1223
JsonParserJavaccTokenManager,6,1223
JsonParserTokenManager,7,1380
JsonPrimitiveDeserializationVisitor,5,1380
JsonPrimitive,37,1380
JsonPrintFormatter,12,1380
JsonSerializationContextDefault,14,1380
JsonSerializationContext,8,1380
JsonSerializationVisitor,55,1380
JsonSerializerExceptionWrapper,2,1380
JsonSerializer,2,1380
JsonStreamParser,11,1169
JsonSyntaxException,4,1030
JsonTreeNavigator,8,1380
LazilyParsedNumber,3,829
LongSerializationPolicy,3,1259
LowerCamelCaseSeparatorNamingPolicy,3,1380
LowerCaseNamingPolicy,4,1380
LruCache,9,890
MapAsArrayTypeAdapter,5,952
MappedObjectConstructor,23,1380
MapTypeAdapter,8,915
MemoryRefStack,9,1380
Mode,2,944
ModifierBasedExclusionStrategy,4,1380
ModifyFirstLetterNamingPolicy,12,1380
NullExclusionStrategy,5,1380
ObjectNavigatorFactory,11,1380
ObjectNavigator,38,1380
ObjectTypePair,14,1160
Pair,7,890
ParameterizedTypeHandlerMap,22,1380
ParameterizedTypeImpl,2,1380
ParseException,2,1380
Preconditions,5,1380
Primitives,7,890
