ClassName,Changes,TotalCommits
Connection,20,361
DataUtil,8,515
Entities,2,383
HtmlToPlainText,3,181
ListLinks,3,483
package-info,1,483
DataUtil,18,360
DescendableLinkedList,2,210
HttpConnection,35,361
StringUtil,9,369
Validate,4,369
HttpStatusException,1,96
Jsoup,24,599
Attribute,18,611
Attributes,20,614
Comment,14,614
DataNode,10,581
Document,37,614
DocumentType,4,230
Element,88,614
Entities,21,382
Evaluator,15,530
FormElement,2,45
Node,59,614
package-info,1,499
TextNode,31,614
XmlDeclaration,9,598
package-info,1,499
AttributeParser,3,614
CharacterReader,11,230
HtmlTreeBuilder,9,174
HtmlTreeBuilderState,12,174
package-info,1,499
ParseError,5,230
ParseErrorList,1,159
Parser,58,614
ParserRuntimeException,3,617
Position,3,617
StartTag,4,614
Tag,49,615
Tokeniser,13,230
TokeniserState,17,230
Token,13,230
TokenQueue,33,597
TokenStream,4,617
TreeBuilder,10,230
TreeBuilderState,7,230
XmlTreeBuilder,5,174
Cleaner,14,557
package-info,2,499
Whitelist,17,557
Collector,10,596
CombiningEvaluator,6,255
ElementList,4,592
Elements,33,589
Evaluator,11,261
AndSelector,10,300
AttrSelector,3,299
BasicSelector,4,300
ClassSelector,2,300
ElementContainerSelector,3,286
ElementSelector,7,300
HasSelector,4,281
IdSelector,2,300
ImmediateParentSelector,5,295
ImmediatePreviousSiblingSelector,2,268
ListSelector,3,300
NextSiblingSelector,2,295
NotSelector,7,300
OrSelector,8,294
ParentSelector,6,295
Parser,6,284
PreviousSequentSiblingSelector,5,289
PrevioustSiblingSelector,2,268
PrevSiblingSelector,5,289
RootSelector,3,273
SelectMatch,5,300
Selector,2,300
SequentSiblingSelector,2,295
TagSelector,2,300
NodeTraversor,5,411
NodeVisitor,2,411
package-info,1,499
QueryParser,7,261
Selector,43,592
AndSelector,3,261
BasicSelector,2,261
HasSelector,2,261
ImmediateParentSelector,2,261
ImmediatePreviousSiblingSelector,2,261
NotSelector,2,261
OrSelector,2,261
ParentSelector,2,261
PreviousSiblingSelector,2,261
RootSelector,2,261
StructuralEvaluator,2,255
UnsupportedMimeTypeException,1,96
DataUtilTest,2,402
EntitiesTest,2,383
DataUtilTest,5,360
HttpConnectionTest,4,343
StringUtilTest,5,369
Benchmark,1,532
ParseTest,21,574
UrlConnectTest,22,504
AttributesTest,2,356
AttributeTest,2,346
DocumentTest,15,577
DocumentTypeTest,1,201
ElementTest,54,604
EntitiesTest,13,382
FormElementTest,1,45
NodeTest,18,575
TextNodeTest,7,468
CleanerTest,10,555
AttributeParserTest,2,611
AttributeParseTest,8,598
CharacterReaderTest,5,202
HtmlParserTest,19,174
ParserTest,65,614
TagTest,3,615
TokenQueueTest,4,420
TokenStreamTest,4,617
TokenTest,2,614
XmlTreeBuilderTest,7,174
CleanerTest,14,434
CssTest,1,110
ElementListTest,3,590
ElementsTest,28,588
ParserSelectorNG,3,280
QueryParserTest,1,147
SelectorNGTest,5,291
SelectorTest,40,592
TextUtil,2,506
