ClassName,Changes,TotalCommits
ArrayUtils,2,1760
BitField,2,1760
BooleanUtils,2,1760
CompareToBuilder,2,1760
EqualsBuilder,2,1760
HashCodeBuilder,2,1760
ReflectionToStringBuilder,2,1760
StandardToStringStyle,2,1760
ToStringBuilder,2,1760
ToStringStyle,2,1760
CharEncoding,2,1760
CharRange,2,1760
CharSet,2,1760
CharSetUtils,2,1760
CharUtils,2,1760
ClassUtils,2,1760
Entities,2,1760
Enum,2,1760
EnumUtils,2,1760
Enum,2,1760
EnumUtils,2,1760
ValuedEnum,2,1760
ValuedEnum,2,1760
ExceptionUtils,2,1760
NestableDelegate,2,1760
NestableError,2,1760
NestableException,2,1760
Nestable,2,1760
NestableRuntimeException,2,1760
IllegalClassException,2,1760
IncompleteArgumentException,2,1760
IntHashMap,2,1760
LocaleUtils,2,1760
DoubleRange,2,1760
FloatRange,2,1760
Fraction,2,1760
IntRange,2,1760
JVMRandom,2,1760
LongRange,2,1760
NumberRange,2,1760
NumberUtils,2,1760
RandomUtils,2,1760
Range,2,1760
MutableBoolean,2,1760
MutableByte,2,1760
MutableDouble,2,1760
MutableFloat,2,1760
MutableInt,2,1760
Mutable,2,1760
MutableLong,2,1760
MutableObject,2,1760
MutableShort,2,1760
NotImplementedException,2,1760
NullArgumentException,2,1760
NumberRange,2,1760
NumberUtils,2,1760
ObjectUtils,2,1760
RandomStringUtils,2,1760
SerializationException,2,1760
SerializationUtils,2,1760
StringEscapeUtils,2,1760
StringUtils,2,1760
SystemUtils,2,1760
CompositeFormat,2,1760
StrBuilder,2,1760
StrLookup,2,1760
StrMatcher,2,1760
StrSubstitutor,2,1760
StrTokenizer,2,1760
DateFormatUtils,2,1760
DateUtils,2,1760
DurationFormatUtils,2,1760
FastDateFormat,2,1760
StopWatch,2,1760
UnhandledException,2,1760
Validate,2,1760
WordUtils,2,1760
CalendarUtils,2,1760
CalendarUtilsTest,2,1760
DateFormatter,2,1760
DateFormatterTest,2,1760
AllLangTestSuite,2,1760
