ClassName,Changes,TotalCommits
AbstractDifferenceDerivative,6,1901
BackwardDifferenceDerivative,6,1901
CenterDifferenceDerivative,6,1901
ForwardDifferenceDerivative,6,1901
DerivativeOperatorFactory,4,1903
DerivativeOperatorFactoryTest,5,1903
FunctionOperator,2,1903
UnivariateRealFunctionProxy,6,1901
UnivariateRealFunctionUtils,6,1901
UnivariateRealFunctionUtilsTest,7,1901
Compilable,6,1903
DefaultContext,7,1903
EvaluationContext,6,1903
EvaluationException,7,1903
Evaluation,6,1903
Add,6,1903
Divide,6,1903
Equals,6,1903
Multiply,6,1903
Power,6,1903
Sqrt,6,1903
Subtract,6,1903
Variable,6,1903
CholeskySolver,6,1900
CholeskySolverTest,6,1900
Decomposer,6,1903
DecompositionFactory,5,1903
Decomposition,5,1903
RealVector,4,1903
RecursiveLayoutRealMatrix,3,591
RecursiveLayoutRealMatrixTest,1,591
BeanListUnivariateImpl,4,1687
BeanListUnivariateImplTest,4,1687
BeanTransformer,5,1434
BeanTransformerTest,5,1434
AbstractStoreUnivariate,4,2114
BisectionSolver,26,1931
BrentSolver,33,1931
ConvergenceException,7,1931
CubicSplineFunction,14,1931
DifferentiableMultivariateRealFunction,2,555
DifferentiableMultivariateVectorialFunction,3,555
DifferentiableUnivariateMatrixFunction,2,555
DifferentiableUnivariateRealFunction,5,1801
DifferentiableUnivariateVectorialFunction,2,555
DividedDifferenceInterpolator,9,1339
LegendreGaussIntegrator,4,625
RombergIntegrator,7,637
SimpsonIntegrator,7,637
TrapezoidIntegrator,7,637
UnivariateRealIntegratorImpl,6,637
UnivariateRealIntegrator,5,637
DividedDifferenceInterpolator,3,637
LoessInterpolator,3,318
NevilleInterpolator,3,637
SplineInterpolator,4,637
UnivariateRealInterpolator,2,637
LaguerreSolver,9,1339
BrentMinimizer,3,634
UnivariateRealMinimizerImpl,4,634
UnivariateRealMinimizer,3,634
MullerSolver,9,1339
MultivariateMatrixFunction,3,555
MultivariateRealFunction,3,555
MultivariateVectorialFunction,3,555
NevilleInterpolator,6,1339
NewtonSolver,14,1783
PolynomialFunction,17,1924
PolynomialFunctionLagrangeForm,8,1339
PolynomialFunctionNewtonForm,7,1339
PolynomialSplineFunction,18,1803
PolynomialFunction,8,637
PolynomialFunctionLagrangeForm,5,637
PolynomialFunctionNewtonForm,4,637
PolynomialSplineFunction,4,637
PolynomialsUtils,3,604
QuinticFunction,4,1931
RiddersSolver,7,1339
RombergIntegrator,8,1342
RootFinding,7,1931
SecantSolver,25,1931
SimpsonIntegrator,8,1342
SinFunction,4,1931
BisectionSolver,5,637
BrentSolver,4,637
LaguerreSolver,8,637
MullerSolver,6,637
NewtonSolver,6,637
RiddersSolver,5,637
SecantSolver,5,637
UnivariateRealSolverFactoryImpl,4,637
UnivariateRealSolverFactory,3,637
UnivariateRealSolverImpl,9,637
UnivariateRealSolver,7,637
UnivariateRealSolverUtils,7,637
SplineInterpolator,24,1931
TrapezoidIntegrator,8,1342
UnivariateFunction,5,1931
UnivariateMatrixFunction,3,555
UnivariateRealFunction,19,1931
UnivariateRealIntegratorImpl,6,1342
UnivariateRealIntegrator,6,1342
UnivariateRealInterpolator,14,1931
UnivariateRealSolverFactoryImpl,18,1931
UnivariateRealSolverFactory,24,1931
UnivariateRealSolverImpl,22,1931
UnivariateRealSolver,20,1931
UnivariateRealSolverUtil,5,1931
UnivariateRealSolverUtils,17,1931
UnivariateVectorialFunction,3,555
ArgumentOutsideDomainException,8,1252
BeanListUnivariateImpl,2,2081
BivariateRegression,2,2086
BrentSolver,2,2028
ComplexField,4,479
ComplexFormat,24,1869
Complex,33,1931
ComplexMath,10,1931
ComplexUtils,11,1560
ContinuedFraction,4,2045
ContractableDoubleArray,7,2113
ConvergenceException,25,1931
ConvergingAlgorithmImpl,4,635
ConvergingAlgorithm,4,635
DimensionMismatchException,6,1238
AbstractContinuousDistribution,37,1931
AbstractDiscreteDistribution,19,1931
AbstractDistribution,8,1454
AbstractIntegerDistribution,9,1454
BetaDistributionImpl,5,793
BetaDistribution,3,793
BinomialDistributionImpl,28,1931
BinomialDistribution,16,1931
CauchyDistributionImpl,13,1419
CauchyDistribution,9,1419
ChiSquaredDistributionImpl,28,1931
ChiSquaredDistribution,19,1931
ContinuousDistribution,20,1931
DiscreteDistribution,20,1931
DistributionFactoryImpl,28,1931
DistributionFactory,34,1931
Distribution,5,1454
ExponentialDistributionImpl,28,1931
ExponentialDistribution,17,1931
FDistributionImpl,28,1931
FDistribution,17,1931
GammaDistributionImpl,31,1931
GammaDistribution,20,1931
HasDensity,3,797
HypergeometricDistributionImpl,25,1931
HypergeometricDistribution,15,1931
IntegerDistribution,6,1454
NormalDistributionImpl,25,1730
NormalDistribution,15,1730
PascalDistributionImpl,9,1303
PascalDistribution,6,1304
PoissonDistributionImpl,12,1454
PoissonDistribution,5,1454
TDistributionImpl,27,1931
TDistribution,16,1931
WeibullDistributionImpl,11,1413
WeibullDistribution,7,1413
ZipfDistributionImpl,5,715
ZipfDistribution,3,715
DoubleArray,5,2110
DuplicateSampleAbscissaException,6,1253
EmpiricalDistributionImpl,5,2096
EmpiricalDistribution,5,2096
AbstractEstimator,20,564
EstimatedParameter,9,564
EstimationException,10,564
EstimationProblem,8,564
Estimator,9,564
GaussNewtonEstimator,24,564
LevenbergMarquardtEstimator,16,564
SimpleEstimationProblem,12,564
WeightedMeasurement,11,564
ExpandableDoubleArray,12,2117
FieldElement,3,480
Field,3,480
FixedDoubleArray,5,2108
AbstractFormat,5,535
BigFractionField,4,479
BigFractionFormat,3,535
BigFraction,10,538
FractionConversionException,9,1254
FractionField,4,479
FractionFormat,15,1421
Fraction,30,1421
ProperBigFractionFormat,3,535
ProperFractionFormat,11,1421
Freq,3,2121
FunctionEvaluationException,16,1559
AbstractListChromosome,3,329
BinaryChromosome,3,329
BinaryMutation,3,329
Chromosome,4,910
ChromosomePair,5,910
CrossoverPolicy,5,910
ElitisticListPopulation,3,329
Fitness,5,910
FixedGenerationCount,3,329
GeneticAlgorithm,10,910
InvalidRepresentationException,3,329
ListPopulation,3,329
MutationPolicy,5,910
OnePointCrossover,3,329
PermutationChromosome,3,329
Population,5,910
RandomKey,4,329
RandomKeyMutation,5,329
SelectionPolicy,5,910
StoppingCondition,4,910
TournamentSelection,3,329
CardanEulerSingularityException,8,1236
NotARotationMatrixException,8,1236
Rotation,16,1236
RotationOrder,7,1236
Vector3DFormat,8,822
Vector3D,20,1236
AbstractFieldMatrix,9,478
AbstractRealMatrix,22,712
AnyMatrix,2,432
Array2DRowFieldMatrix,2,331
Array2DRowRealMatrix,2,331
ArrayFieldVector,2,331
ArrayRealVector,2,331
BiDiagonalTransformer,6,358
BigMatrixImpl,39,1665
BigMatrix,17,1665
BlockFieldMatrix,4,333
BlockRealMatrix,4,333
CholeskyDecompositionImpl,7,358
CholeskyDecomposition,4,358
BiDiagonalTransformer,3,583
CholeskyDecompositionImpl,6,583
CholeskyDecomposition,4,583
DecompositionSolver,3,583
EigenDecompositionImpl,5,583
EigenDecomposition,3,583
FieldDecompositionSolver,3,478
FieldLUDecompositionImpl,3,478
FieldLUDecomposition,3,478
LUDecompositionImpl,6,583
LUDecomposition,3,583
NonSquareMatrixException,3,583
NotPositiveDefiniteMatrixException,3,583
NotSymmetricMatrixException,3,583
QRDecompositionImpl,5,583
QRDecomposition,3,583
SingularMatrixException,3,583
SingularValueDecompositionImpl,5,583
SingularValueDecomposition,3,583
DecompositionSolver,11,358
TriDiagonalTransformer,3,583
DefaultFieldMatrixChangingVisitor,3,478
DefaultFieldMatrixPreservingVisitor,3,478
DefaultRealMatrixChangingVisitor,3,658
DefaultRealMatrixPreservingVisitor,3,658
DenseFieldMatrix,6,470
DenseRealMatrix,16,699
EigenDecompositionImpl,18,358
EigenDecomposition,12,358
EigenSolver,4,717
FieldDecompositionSolver,2,358
FieldLUDecompositionImpl,3,358
FieldLUDecomposition,2,358
FieldMatrixChangingVisitor,3,478
FieldMatrixImpl,6,478
FieldMatrix,5,478
FieldMatrixPreservingVisitor,3,478
FieldVectorImpl,5,478
