ClassName,Changes,TotalCommits
AnnotationVisitor,1,392
AnnotationWriter,1,392
Attribute,1,392
ByteVector,1,392
ClassAdapter,1,392
ClassReader,1,392
ClassVisitor,1,392
ClassWriter,1,392
Edge,1,392
FieldVisitor,1,392
FieldWriter,1,392
Frame,1,392
Handler,1,392
Item,1,392
Label,1,392
MethodAdapter,1,392
MethodVisitor,1,392
MethodWriter,1,392
Opcodes,1,392
SignatureReader,1,392
SignatureVisitor,1,392
SignatureWriter,1,392
AbstractInsnNode,1,392
AnalyzerException,1,392
Analyzer,1,392
BasicInterpreter,1,392
BasicValue,1,392
BasicVerifier,1,392
Frame,1,392
Interpreter,1,392
SimpleVerifier,1,392
SmallSet,1,392
SourceInterpreter,1,392
SourceValue,1,392
Subroutine,1,392
Value,1,392
AnnotationNode,1,392
ClassNode,1,392
FieldInsnNode,1,392
FieldNode,1,392
FrameNode,1,392
IincInsnNode,1,392
InnerClassNode,1,392
InsnList,1,392
InsnNode,1,392
IntInsnNode,1,392
JumpInsnNode,1,392
LabelNode,1,392
LdcInsnNode,1,392
LineNumberNode,1,392
LocalVariableNode,1,392
LookupSwitchInsnNode,1,392
MemberNode,1,392
MethodInsnNode,1,392
MethodNode,1,392
MultiANewArrayInsnNode,1,392
TableSwitchInsnNode,1,392
TryCatchBlockNode,1,392
TypeInsnNode,1,392
VarInsnNode,1,392
Type,1,392
AbstractVisitor,1,392
ASMifiable,1,392
ASMifierAbstractVisitor,1,392
ASMifierAnnotationVisitor,1,392
ASMifierClassVisitor,1,392
ASMifierFieldVisitor,1,392
ASMifierMethodVisitor,1,392
CheckAnnotationAdapter,1,392
CheckClassAdapter,1,392
CheckFieldAdapter,1,392
CheckMethodAdapter,1,392
CheckSignatureAdapter,1,392
Traceable,1,392
TraceAbstractVisitor,1,392
TraceAnnotationVisitor,1,392
TraceClassVisitor,1,392
TraceFieldVisitor,1,392
TraceMethodVisitor,1,392
TraceSignatureVisitor,1,392
BeanCopier,1,392
BeanGenerator,1,392
BeanMapEmitter,1,392
BeanMap,1,392
BulkBeanEmitter,1,392
BulkBeanException,1,392
BulkBean,1,392
FixedKeySet,1,392
ImmutableBean,1,392
AbstractClassGenerator,1,392
Block,1,392
ClassEmitter,1,392
ClassesKey,1,392
ClassGenerator,1,392
ClassInfo,1,392
ClassNameReader,1,392
CodeEmitter,1,392
CodeGenerationException,1,392
CollectionUtils,1,392
Constants,1,392
Converter,1,392
Customizer,1,392
DebuggingClassWriter,1,392
DefaultGeneratorStrategy,1,392
DefaultNamingPolicy,1,392
DuplicatesPredicate,1,392
EmitUtils,1,392
GeneratorStrategy,1,392
KeyFactory,1,392
Local,1,392
LocalVariablesSorter,1,392
MethodInfo,1,392
MethodInfoTransformer,1,392
MethodWrapper,1,392
NamingPolicy,1,392
ObjectSwitchCallback,1,392
Predicate,1,392
ProcessArrayCallback,1,392
ProcessSwitchCallback,1,392
ReflectUtils,1,392
RejectModifierPredicate,1,392
Signature,1,392
TinyBitSet,1,392
Transformer,1,392
TypeUtils,1,392
VisibilityPredicate,1,392
CallbackFilter,1,392
CallbackGenerator,1,392
CallbackHelper,1,392
CallbackInfo,1,392
Callback,1,392
DispatcherGenerator,1,392
Dispatcher,1,392
Enhancer,1,392
Factory,1,392
FixedValueGenerator,1,392
FixedValue,1,392
InterfaceMaker,1,392
InvocationHandlerGenerator,1,392
InvocationHandler,1,392
LazyLoaderGenerator,1,392
LazyLoader,1,392
MethodInterceptorGenerator,1,392
MethodInterceptor,1,392
MethodProxy,1,392
MixinBeanEmitter,1,392
MixinEmitter,1,392
MixinEverythingEmitter,1,392
Mixin,1,392
NoOpGenerator,1,392
NoOp,1,392
Proxy,1,392
ProxyRefDispatcher,1,392
UndeclaredThrowableException,1,392
ConstructorDelegate,1,392
FastClassEmitter,1,392
FastClass,1,392
FastConstructor,1,392
FastMember,1,392
FastMethod,1,392
MethodDelegate,1,392
MulticastDelegate,1,392
AbstractClassFilterTransformer,1,392
AbstractClassLoader,1,392
AbstractClassTransformer,1,392
AbstractProcessTask,1,392
AbstractTransformTask,1,392
AnnotationVisitorTee,1,392
