ClassName,Changes,TotalCommits
MainTest,1,83
TestAll,1,83
TestGJChronology,1,83
TestGJDateTimeField,1,83
TestGJDayOfMonthField,1,83
TestGJDayOfWeekField,1,83
TestGJDayOfYearField,1,83
TestGJMonthOfYearField,1,83
TestGJWeekOfWeekyearField,1,83
TestGJWeekyearField,1,83
TestGJYearField,1,83
TestGregorianChronology,1,83
TestJulianChronology,1,83
TestJulianDayOfMonthField,1,83
TestJulianMonthOfYearField,1,83
TestJulianWeekyearField,1,83
TestJulianYearField,1,83
TestAll,1,83
TestBuddhistChronology,2,83
TestCopticChronology,2,83
TestEthiopicChronology,2,83
TestGJChronology,2,83
TestGregorianChronology,2,83
TestIslamicChronology,2,83
TestISOChronology,2,83
TestJulianChronology,2,83
TestLenientChronology,1,83
ClassLoadTest,1,83
MockBadChronology,1,83
MockUnknownCalendar,1,83
MockUnknownTimeZone,1,83
MockZeroNullIntegerConverter,1,83
TestAll,1,83
TestCalendarConverter,2,83
TestConverterManager,2,83
TestConverterSet,2,83
TestDateConverter,2,83
TestLongConverter,2,83
TestNullConverter,2,83
TestReadableDurationConverter,2,83
TestReadableInstantConverter,2,83
TestReadableIntervalConverter,2,83
TestReadablePartialConverter,2,83
TestReadablePeriodConverter,2,83
TestStringConverter,2,83
TestAll,1,83
TestBaseDateTimeField,1,83
TestFieldUtils,1,83
TestMillisDurationField,2,83
TestOffsetDateTimeField,1,83
TestPreciseDateTimeField,1,83
TestPreciseDurationDateTimeField,1,83
TestPreciseDurationField,2,83
TestScaledDurationField,2,83
TestUnsupportedDateTimeField,1,83
TestAll,1,83
TestDateTimeFormat,2,83
TestDateTimeFormatStyle,2,83
TestDateTimeFormatterBuilder,1,83
TestDateTimeFormatter,2,83
TestISODateTimeFormat_Fields,1,83
TestISODateTimeFormat,2,83
TestISODateTimeFormatParsing,2,83
TestISOPeriodFormat,2,83
TestISOPeriodFormatParsing,2,83
TestPeriodFormat,2,83
TestPeriodFormatParsing,2,83
TestPeriodFormatterBuilder,2,83
TestPeriodFormatter,2,83
TestTextFields,2,83
MockNullZoneChronology,1,83
MockPartial,1,83
MockZone,1,83
TestAbstractPartial,1,83
TestAll,1,83
TestAllPackages,1,83
TestBasePartial,1,83
TestBaseSingleFieldPeriod,1,83
TestChronology,2,83
TestDateMidnight_Basics,2,83
TestDateMidnight_Constructors,2,83
TestDateMidnight_Properties,2,83
TestDateTime_Basics,2,83
TestDateTimeComparator,2,83
TestDateTimeConstants,1,83
TestDateTime_Constructors,2,83
TestDateTimeFieldType,2,83
TestDateTime_Properties,2,83
TestDateTimeUtils,2,83
TestDateTimeZoneCutover,1,83
TestDateTimeZone,2,83
TestDays,2,83
TestDuration_Basics,2,83
TestDuration_Constructors,2,83
TestDurationField,1,83
TestDurationFieldType,2,83
TestHours,2,83
TestIllegalFieldValueException,1,83
TestInstant_Basics,2,83
TestInstant_Constructors,2,83
TestInterval_Basics,2,83
TestInterval_Constructors,2,83
TestLocalDate_Basics,2,83
TestLocalDate_Constructors,1,83
TestLocalDate_Properties,1,83
TestLocalDateTime_Basics,2,83
TestLocalDateTime_Constructors,1,83
TestLocalDateTime_Properties,1,83
TestLocalTime_Basics,2,83
TestLocalTime_Constructors,2,83
TestLocalTime_Properties,1,83
TestMinutes,2,83
TestMonths,2,83
TestMutableDateTime_Adds,2,83
TestMutableDateTime_Basics,2,83
TestMutableDateTime_Constructors,2,83
TestMutableDateTime_Properties,2,83
TestMutableDateTime_Sets,2,83
TestMutableInterval_Basics,2,83
TestMutableInterval_Constructors,2,83
TestMutableInterval_Updates,2,83
TestMutablePeriod_Basics,2,83
TestMutablePeriod_Constructors,2,83
TestMutablePeriod_Updates,2,83
TestParseISO,1,83
TestPartial_Basics,2,83
TestPartial_Constructors,1,83
TestPartial_Match,1,83
TestPartial_Properties,1,83
TestPeriod_Basics,2,83
TestPeriod_Constructors,2,83
TestPeriodType,2,83
TestSeconds,2,83
TestSerialization,2,83
TestTimeOfDay_Basics,2,83
TestTimeOfDay_Constructors,2,83
TestTimeOfDay_Properties,1,83
TestWeeks,2,83
TestYearMonthDay_Basics,2,83
TestYearMonthDay_Constructors,1,83
TestYearMonthDay_Properties,1,83
TestYears,2,83
TestAll,1,83
TestBuilder,2,83
TestCompiler,1,83
TestFixedDateTimeZone,1,83
TestUTCProvider,2,83
CharArrayWriter,1,92
DataInput,1,91
DataOutput,1,91
