ClassName,Changes,TotalCommits,Insertions,Deletions
Base64,1,108,17,3
Base64VLQ,1,108,35,35
SourceMapConsumerFactory,2,124,50,42
SourceMapConsumerV2,2,124,21,3
SourceMapConsumerV3,3,108,321,48
SourceMapFormat,1,124,35,1
SourceMapGeneratorFactory,1,124,47,1
SourceMapGenerator,1,124,129,26
SourceMapGeneratorV1,1,124,648,2
SourceMapGeneratorV2,4,124,1103,215
SourceMapGeneratorV3,4,124,999,47
SourceMapLineDecoder,3,124,7,17
SourceMapSection,1,124,121,16
SourceMapSupplier,1,124,38,2
AbstractCommandLineRunner,2,124,3207,1159
AbstractCompiler,3,124,282,74
AnalyzePrototypeProperties,1,124,972,780
AstValidator,3,124,60,38
CheckAccessControls,3,124,261,115
CheckGlobalNames,4,124,228,105
CheckProvides,1,124,39,23
CheckRegExp,1,124,51,12
CheckRequiresForConstructors,1,124,76,52
ClosureOptimizePrimitives,3,99,135,136
CoalesceVariableNames,2,124,363,338
CodeGenerator,3,124,951,531
CodingConvention,1,124,206,82
CollapseProperties,5,124,561,280
CombinedCompilerPass,1,124,48,27
CommandLineRunner,1,124,1525,527
CompilerInput,1,124,322,155
Compiler,8,124,1957,1347
CompilerOptions,6,124,1934,399
ComposeWarningsGuard,2,124,136,69
ControlStructureCheck,1,124,36,148
DataFlowAnalysis,1,124,23,82
DeadAssignmentsElimination,1,124,352,113
DefaultPassConfig,14,124,2505,1260
DiagnosticGroup,1,124,35,9
DiagnosticGroups,3,124,441,238
DiagnosticGroupWarningsGuard,2,124,13,10
DiagnosticType,1,124,20,8
DisambiguateProperties,3,124,395,219
ExternExportsPass,1,124,452,340
FlowSensitiveInlineVariables,2,124,313,127
FunctionArgumentInjector,1,124,143,132
FunctionInjector,2,124,390,334
FunctionToBlockMutator,1,124,229,139
FunctionTypeBuilder,3,124,969,550
GlobalNamespace,3,124,604,292
GlobalVarReferenceMap,1,9,84,21
GraphPruner,1,41,3,0
HotSwapCompilerPass,3,106,21,20
InlineFunctions,2,124,352,191
InlineObjectLiterals,2,72,153,131
InlineVariables,1,124,459,257
JSModuleGraph,1,124,419,177
JsonMLAst,1,124,18,3
MemoizedScopeCreator,1,124,54,4
MessageBundle,1,124,9,19
NameAnalyzer,4,124,745,475
NodeUtil,3,124,2643,1214
OptimizeParameters,1,124,891,697
OptimizeReturns,1,124,72,159
JsDocInfoParser,4,124,1877,1368
PassConfig,2,124,180,160
PassFactory,1,124,22,41
PeepholeFoldConstants,1,124,3191,1672
PeepholeRemoveDeadCode,1,124,1095,518
PeepholeSimplifyRegExp,1,44,2,2
PeepholeSubstituteAlternateSyntax,2,124,1822,1909
PrepareAst,1,124,236,245
ProcessClosurePrimitives,8,124,1361,766
ProcessDefines,1,124,85,46
ReferenceCollectingCallback,1,124,443,161
CaseCanonicalize,2,43,6,4
CharRanges,1,43,2,1
RegExpTree,2,43,126,21
RemoveUnusedVars,2,124,1583,877
RenameLabels,1,124,48,18
RuntimeTypeCheck,1,124,125,128
ScopedAliases,2,124,640,250
Scope,1,124,386,207
ShowByPathWarningsGuard,1,124,50,36
SideEffectsAnalysis,1,124,827,262
SimpleDefinitionFinder,1,124,325,76
SourceFile,3,124,315,89
SourceMap,2,124,776,1152
StrictWarningsGuard,1,124,11,4
SuppressDocWarningsGuard,2,124,31,16
SyntacticScopeCreator,1,124,136,156
TypeCheck,5,124,1440,1047
TypedCodeGenerator,4,124,236,126
TypedScopeCreator,2,124,3300,2384
TypeInference,3,124,1405,908
TypeValidator,3,124,540,341
VarCheck,4,124,329,164
VariableReferenceCheck,1,124,111,55
WarningsGuard,1,124,29,8
JSDocInfoBuilder,1,124,518,87
JSDocInfo,1,124,659,112
FunctionPrototypeType,3,124,44,129
FunctionType,5,124,1367,899
InstanceObjectType,4,124,105,114
ObjectType,3,124,434,229
