ClassName,Changes,TotalCommits,Insertions,Deletions
Sha2CryptTest,2,227,0,13
ApacheModifiedMiGBase64,2,128,0,550
Base32InputStream,6,356,100,15
Base32,20,356,1029,491
Base32OutputStream,5,356,104,15
Base64InputStream,7,356,104,16
Base64,22,356,1213,428
Base64OutputStream,8,356,109,17
BaseNCodecInputStream,16,356,293,82
BaseNCodec,25,356,959,414
BaseNCodecOutputStream,8,356,227,51
BinaryCodec,10,356,342,41
BinaryDecoder,6,356,56,18
BinaryEncoder,6,356,57,19
Hex,12,356,594,103
StringUtils,12,356,618,197
CharEncoding,11,356,165,52
Charsets,15,356,410,242
DecoderException,8,356,109,23
Decoder,7,356,88,41
B64,8,302,18,13
Crypt,11,302,127,111
DigestUtils,25,356,2404,1262
Md5Crypt,16,302,174,131
MessageDigestAlgorithms,5,229,139,54
Sha2Crypt,16,302,196,164
UnixCrypt,17,302,367,400
EncoderException,6,356,109,20
Encoder,7,356,71,27
AbstractCaverphone,10,356,96,16
BeiderMorseEncoder,10,356,278,94
Lang,12,356,346,115
Languages,13,356,361,66
NameType,7,356,63,10
PhoneticEngine,26,356,775,246
ResourceConstants,8,356,78,41
Rule,25,356,948,220
RuleType,8,356,58,8
Caverphone1,8,356,137,10
Caverphone2,9,356,142,11
Caverphone,10,356,232,127
ColognePhonetic,11,356,528,83
DoubleMetaphone,16,356,1439,430
MatchRatingApproachEncoder,8,154,70,68
Metaphone,20,356,615,185
Nysiis,13,356,416,98
RefinedSoundex,10,356,236,31
Soundex,10,356,369,115
SoundexUtils,7,356,143,19
BCodec,14,356,329,78
QCodec,19,356,492,134
QuotedPrintableCodec,19,356,1017,416
RFC1522Codec,14,356,333,147
URLCodec,18,356,577,201
Utils,8,356,62,12
StringDecoder,6,356,54,16
StringEncoderComparator,13,356,112,21
StringEncoder,6,356,54,16
Base32InputStreamTest,6,356,740,183
Base32OutputStreamTest,4,356,379,41
Base32TestData,2,356,136,12
Base32Test,7,356,290,98
Base64Codec13Test,4,356,568,52
Base64InputStreamTest,7,356,731,160
Base64OutputStreamTest,4,356,397,47
Base64TestData,2,356,234,12
Base64Test,12,356,4052,2751
BaseNCodecTest,7,356,215,21
BinaryCodecTest,4,356,1307,89
Codec105ErrorInputStream,2,356,60,8
BinaryEncoderAbstractTest,2,356,50,6
HexTest,10,356,706,205
StringUtilsTest,7,356,294,54
CharEncodingTest,3,356,74,6
CharsetsTest,6,356,147,77
DecoderExceptionTest,2,356,72,8
Apr1CryptTest,5,302,48,21
B64Test,4,356,40,1
CryptTest,5,356,67,9
DigestUtilsTest,17,356,627,253
Md5CryptTest,4,302,30,17
Sha256CryptTest,5,302,39,20
Sha2CryptTest,3,227,31,0
Sha512CryptTest,5,302,52,21
UnixCryptTest,5,302,42,15
EncoderExceptionTest,2,356,72,8
BeiderMorseEncoderTest,4,356,257,34
CacheSubSequencePerformanceTest,1,52,0,0
LanguageGuessingTest,2,356,107,30
PhoneticEnginePerformanceTest,8,70,89,6
PhoneticEngineRegressionTest,3,265,53,34
PhoneticEngineTest,3,356,140,39
RuleTest,6,356,176,27
Caverphone1Test,5,356,124,19
Caverphone2Test,5,356,385,21
ColognePhoneticTest,4,356,181,21
DoubleMetaphone2Test,3,356,1307,16
DoubleMetaphoneTest,7,356,1352,101
MatchRatingApproachEncoderTest,10,154,233,138
MetaphoneTest,3,356,559,76
NysiisTest,5,356,484,368
RefinedSoundexTest,3,356,140,42
SoundexTest,6,356,523,117
BCodecTest,4,356,199,48
QCodecTest,4,356,289,80
QuotedPrintableCodecTest,6,356,589,252
RFC1522CodecTest,2,356,96,10
URLCodecTest,4,356,417,112
UtilsTest,1,356,46,4
StringEncoderAbstractTest,5,356,141,25
StringEncoderComparatorTest,2,356,93,17
