ClassName,Changes,TotalCommits,Insertions,Deletions
ArArchiveInputStream,2,38,654,382
ArchiveStreamFactory,1,38,962,539
SevenZFile,1,38,760,702
TarArchiveEntry,4,38,3780,3063
TarArchiveInputStream,1,38,1815,1174
TarUtils,1,38,838,461
ExtraFieldUtils,2,38,382,265
PKWareExtraHeader,5,23,174,32
X000A_NTFS,1,19,29,20
X0014_X509Certificates,3,38,183,134
X0015_CertificateIdForFile,2,38,208,133
X0016_CertificateIdForCentralDirectory,2,38,209,134
X0017_StrongEncryptionHeader,2,23,106,206
X0019_EncryptionRecipientCertificateList,2,38,190,133
X7875_NewUnix,1,38,74,48
ZipArchiveEntry,2,38,1384,858
ZipArchiveInputStream,1,38,2097,1003
ZipFile,3,38,4248,3582
ZipUtil,1,38,367,114
SnappyCompressorInputStream,1,38,663,377
ArArchiveInputStreamTest,1,38,47,18
TarArchiveInputStreamTest,1,38,451,94
TarUtilsTest,2,38,448,163
X000A_NTFSTest,1,38,46,3
X5455_ExtendedTimestampTest,1,38,261,164
X7875_NewUnixTest,1,38,62,38
ZipArchiveInputStreamTest,1,38,431,65
ZipFileTest,1,38,717,113
