ClassName,Changes,TotalCommits,Insertions,Deletions
Constants,12,241,133,51
CSVFormat,94,306,5575,3540
CSVLexer,36,306,802,802
CSVParser,32,306,2276,1647
CSVPrinter,39,306,1176,820
CSVRecord,17,306,465,276
ExtendedBufferedReader,17,306,492,301
Lexer,29,306,903,442
package-info,6,247,29,27
Quote,6,241,52,52
Token,14,306,39,28
CSVFileParserTest,14,301,169,107
CSVFormatBuilderTest,12,97,167,319
CSVFormatTest,24,306,2375,1276
CSVLexer130663,2,306,226,226
CSVLexer1306663,11,306,266,266
CSVLexer1306667,11,306,266,266
CSVLexer1,12,306,286,286
CSVLexer3,8,279,30,278
CSVLexerTest,39,306,653,820
CSVParserTest,41,306,3228,2085
CSVPrinterTest,22,306,2771,1386
ExtendedBufferedReaderTest,8,306,670,460
PerformanceTest,8,306,347,190
PerformanceTest,12,244,117,69
TokenMatchers,1,11,16,18
TokenMatchersTest,1,11,0,0
Utils,4,263,13,27
