ClassName,Changes,TotalCommits,Insertions,Deletions
GeneratorBase,2,54,478,483
ParserBase,2,54,543,431
ParserMinimalBase,2,54,698,495
NumberOutput,2,54,640,513
ByteSourceJsonBootstrapper,1,54,89,75
JsonFactory,5,54,1908,1009
JsonGenerator,1,54,1682,811
JsonGeneratorImpl,1,54,97,19
JsonWriteContext,1,54,167,138
JsonParser,3,54,1260,752
ReaderBasedJsonParser,1,54,2314,1233
UTF8JsonGenerator,1,54,1121,783
UTF8StreamJsonParser,8,54,2620,1792
WriterBasedJsonGenerator,1,54,769,612
ByteQuadsCanonicalizer,14,37,917,570
BytesToNameCanonicalizer,5,54,883,1851
Name1,1,54,13,28
Name2,1,54,9,17
Name3,1,54,13,16
Name,1,54,7,2
NameN,1,54,75,43
BufferRecycler,1,54,140,92
JsonParserDelegate,1,54,312,315
TextBuffer,1,54,317,159
BaseTest,1,54,698,97
GeneratorFailTest,1,53,27,2
TestJsonGenerator,1,54,403,403
TestNumericValues,2,54,649,649
TestParserSymbols,6,54,64,65
TestUtf8Parser,1,54,33,204
TestByteBasedSymbols,2,54,199,43
TestJsonParserSymbols,1,54,121,121
TestSymbolTables,8,54,640,348
