ClassName,Changes,TotalCommits,Insertions,Deletions
TypeSerializerWrapper,1,208,142,142
AbstractTypeResolver,5,927,28,25
JacksonInject,2,927,0,30
JacksonStdImpl,2,927,0,25
JsonCachable,3,927,0,32
JsonDeserialize,2,927,0,108
JsonFilter,2,927,0,29
JsonRootName,2,927,0,27
JsonSerialize,2,927,0,215
JsonTypeIdResolver,3,927,2,38
JsonTypeResolver,3,927,1,26
JsonValueInstantiator,2,927,0,25
JsonView,2,927,0,37
NoClass,2,927,0,19
package-info,3,927,4,9
AnnotationIntrospector,41,927,1899,2010
JacksonStdImpl,2,927,25,2
JsonCachable,2,927,30,30
JsonDeserialize,5,927,169,20
JsonNaming,1,462,29,1
JsonPOJOBuilder,1,688,80,58
JsonSerialize,5,927,309,39
JsonTypeIdResolver,2,927,41,5
JsonTypeResolver,2,927,30,2
JsonValueInstantiator,2,927,26,3
NoClass,2,927,29,11
package-info,1,927,9,2
BeanDescription,14,927,306,156
BeanPropertyDefinition,9,927,71,137
BeanProperty,10,927,451,143
BaseSettings,9,850,261,101
ConfigFeature,3,848,9,9
DatabindVersion,2,899,14,14
DeserializationConfig,2,927,497,497
DeserializerFactoryConfig,3,782,222,15
HandlerInstantiator,5,927,189,7
MapperConfigBase,20,850,1111,448
MapperConfig,14,927,1411,768
package-info,1,725,0,0
SerializationConfig,2,927,475,475
SerializerFactoryConfig,2,730,9,17
ClassIntrospector,3,927,0,117
ContextualDeserializer,2,927,0,38
ContextualKeyDeserializer,2,927,0,33
ContextualSerializer,2,927,0,38
DatabindContext,3,99,307,24
DatabindVersion,2,899,0,14
AbstractDeserializer,12,927,443,213
BasicDeserializerFactory,70,927,3936,2629
BeanDeserializerBase,32,688,1802,985
BeanDeserializerBuilder,21,927,475,226
BeanDeserializerFactory,60,927,1667,2157
BeanDeserializer,56,927,1648,2115
BeanDeserializerModifier,11,927,166,42
BuilderBasedDeserializer,17,688,561,819
ContextualDeserializer,4,927,58,15
ContextualKeyDeserializer,3,927,42,8
CreatorProperty,11,927,422,138
DataFormatReaders,1,391,1,1
DefaultDeserializationContext,10,706,421,161
DeserializationProblemHandler,5,927,449,49
DeserializerCache,27,927,1608,1009
DeserializerFactory,18,927,473,269
DeserializerProvider,3,927,144,144
Deserializers,18,927,567,233
DeserializationConfig,36,927,1777,1894
DeserializationContext,43,927,3120,1611
DeserializationFeature,10,725,423,129
DeserializationProblemHandler,2,927,0,56
DeserializerFactory,3,927,0,353
DeserializerProvider,8,927,4,190
Deserializers,3,927,0,336
BeanAsArrayBuilderDeserializer,5,503,525,172
BeanAsArrayDeserializer,6,503,379,133
BeanPropertyMap,12,927,2279,1742
CreatorCollector,13,927,817,442
CreatorProperty,6,927,5,158
DeserializerCache,3,927,515,515
DeserializerFactoryConfig,2,782,0,193
ExternalTypeHandler,11,927,492,170
FieldProperty,4,688,158,60
InnerClassProperty,4,696,120,93
ManagedReferenceProperty,5,696,88,121
MethodProperty,3,688,139,51
NullProvider,2,688,17,53
ObjectIdProperty,4,696,33,114
ObjectIdReader,5,705,188,64
ObjectIdValueProperty,5,696,189,63
package-info,1,927,0,0
PropertyBasedCreator,8,927,270,144
PropertyBasedObjectIdGenerator,2,688,5,0
PropertyValueBuffer,4,927,355,161
PropertyValue,2,927,2,1
ReadableObjectId,2,696,196,131
SetterlessProperty,2,688,87,70
TypeWrappedDeserializer,2,750,60,19
UnwrappedPropertyHandler,3,927,48,23
ValueInjector,4,927,33,28
KeyDeserializers,5,927,32,15
package-info,1,927,0,0
ResolvableDeserializer,7,927,59,14
SettableAnyProperty,3,927,251,183
SettableBeanProperty,27,927,884,930
ArrayBlockingQueueDeserializer,2,149,79,104
AtomicBooleanDeserializer,3,927,30,34
AtomicReferenceDeserializer,4,927,279,274
CalendarDeserializer,4,927,2,50
ClassDeserializer,6,927,13,63
CollectionDeserializer,23,927,572,357
ContainerDeserializerBase,4,927,204,56
DateDeserializer,3,927,1,32
DateDeserializers,12,907,438,257
DelegatingDeserializer,3,369,90,75
StdDeserializationContext,9,927,136,461
StdDeserializer,2,927,0,92
StdDeserializerProvider,12,927,8,514
StdDeserializers,4,927,15,134
EnumDeserializer,15,927,699,552
EnumMapDeserializer,17,927,565,234
EnumSetDeserializer,13,927,227,97
FromStringDeserializer,6,927,392,303
JacksonDeserializers,12,907,119,203
JavaTypeDeserializer,3,927,46,83
JdkDeserializers,19,907,432,649
JsonNodeDeserializer,11,927,657,336
StdKeyDeserializer,2,927,0,12
StdKeyDeserializers,2,927,0,11
MapDeserializer,26,927,1069,630
NullifyingDeserializer,1,147,28,14
NumberDeserializers,9,907,1240,721
ObjectArrayDeserializer,14,927,331,173
package-info,2,927,0,2
PrimitiveArrayDeserializers,11,927,932,575
StdScalarDeserializer,2,927,0,13
StdDelegatingDeserializer,9,325,161,56
StdDeserializer,27,927,1912,1801
StdKeyDeserializer,11,927,503,340
StdKeyDeserializers,12,927,116,122
StdScalarDeserializer,5,927,84,56
StdValueInstantiator,14,927,494,344
StringArrayDeserializer,2,92,307,152
StringCollectionDeserializer,22,927,304,238
StringDeserializer,8,927,121,101
ThrowableDeserializer,9,927,56,60
TimestampDeserializer,3,927,1,32
TokenBufferDeserializer,4,927,58,58
UntypedObjectDeserializer,10,927,1035,395
ValueInstantiator,11,927,349,207
ValueInstantiators,7,927,5,10
InvalidFormatException,1,502,31,30
UnrecognizedPropertyException,4,927,115,125
CoreXMLDeserializers,7,927,175,154
CoreXMLSerializers,16,927,105,72
DOMDeserializer,2,927,37,11
DOMSerializer,14,927,37,32
JodaDeserializers,4,927,1,255
JodaSerializers,8,927,12,216
OptionalHandlerFactory,13,927,151,185
package-info,1,927,0,0
HandlerInstantiator,6,927,7,122
InjectableValues,3,927,19,19
AnnotatedClass,15,927,1422,1956
AnnotatedConstructor,5,927,134,53
AnnotatedField,7,927,137,59
Annotated,3,927,73,60
AnnotatedMember,5,927,208,98
AnnotatedMethod,11,927,267,158
AnnotatedMethodMap,3,927,9,35
AnnotatedParameter,8,927,58,66
AnnotatedWithParams,6,927,42,102
AnnotationIntrospectorPair,8,380,665,549
AnnotationMap,4,927,81,24
BasicBeanDescription,21,927,769,624
BasicClassIntrospector,16,927,254,327
BeanPropertyDefinition,10,927,438,154
ClassIntrospector,6,927,128,19
JacksonAnnotationIntrospector,41,927,1935,1230
MemberKey,1,927,15,2
MethodFilter,2,927,0,12
NopAnnotationIntrospector,11,927,36,210
ObjectIdInfo,5,705,93,39
package-info,1,927,0,0
POJOPropertiesCollector,24,927,1090,671
POJOPropertyBuilder,21,927,1541,792
VisibilityChecker,8,927,427,417
WithMember,1,778,0,0
JavaType,7,922,326,170
JsonDeserializer,16,927,380,118
JsonAnyFormatVisitor,3,469,8,2
JsonArrayFormatVisitor,9,485,72,17
JsonBooleanFormatVisitor,2,485,14,2
JsonFormatTypes,1,486,48,13
JsonFormatVisitable,5,927,26,7
JsonFormatVisitorAware,0,927,0,0
JsonFormatVisitorWithSerializerProvider,2,473,18,4
JsonFormatVisitorWrapper,5,473,193,48
JsonIntegerFormatVisitor,4,485,29,4
JsonMapFormatVisitor,3,231,10,3
JsonNullFormatVisitor,2,469,6,1
JsonNumberFormatVisitor,5,485,30,5
JsonObjectFormatVisitor,8,485,109,44
JsonStringFormatVisitor,2,485,14,1
JsonValueFormat,1,485,270,171
JsonValueFormatVisitor,4,485,32,4
SchemaType,0,486,0,0
JsonMappingException,6,927,355,149
JsonNode,18,770,552,306
AnySchemaFactory,0,485,0,0
