ClassName,Changes,TotalCommits,Insertions,Deletions
Captor,1,115,65,55
AnnotationEngine,1,115,70,29
Reporter,13,115,1754,962
InjectMocks,2,115,254,92
DefaultAnnotationEngine,3,115,222,136
DefaultInjectionEngine,3,115,132,199
GlobalConfiguration,1,115,123,95
InjectingAnnotationEngine,3,115,182,201
FinalMockCandidateFilter,1,0,14,55
Injecter,1,0,0,14
MockCandidateFilter,1,0,1,15
NameBasedCandidateFilter,1,0,1,31
TypeBasedCandidateFilter,1,0,1,27
SpyAnnotationEngine,6,115,278,212
Location,1,115,63,80
ConditionalStackTraceFilter,1,115,28,28
StackTraceFilter,1,115,9,63
ScenarioPrinter,3,85,16,6
VerificationAwareInvocation,1,85,3,3
InOrderImpl,1,115,78,14
Invocation,2,115,738,738
InvocationMatcher,1,115,396,232
InvocationsFinder,1,115,403,217
UnusedStubsFinder,1,115,8,7
EqualsBuilder,1,115,30,67
MockHandler,4,115,1170,1170
MockitoCore,3,115,336,273
MockingProgressImpl,1,115,244,122
Answers,1,115,23,12
ReturnsEmptyValues,3,115,167,31
ReturnsMoreEmptyValues,1,115,80,5
InvocationContainerImpl,1,115,317,177
StubbedInvocationMatcher,1,115,132,80
IdentitySet,1,115,9,31
MockUtil,1,115,517,427
ObjectMethodsGuru,1,115,62,31
AccessibilityChanger,1,115,46,14
FieldInitializer,3,14,283,110
GenericMaster,4,93,141,132
RemoveFirstLine,1,115,11,7
InOrderContext,1,115,23,20
VerificationDataInOrderImpl,2,115,26,27
InOrderContextImpl,2,115,24,23
MockAwareVerificationMode,3,114,9,6
NoMoreInteractions,1,115,51,15
Only,2,115,32,38
OnlyTest,2,72,0,64
RegisteredInvocations,2,115,257,231
VerificationDataImpl,1,115,52,37
VerificationWithTimeoutImpl,4,107,110,110
Matchers,3,115,1905,1961
MockitoAnnotations,2,115,182,117
Mockito,7,115,6852,4627
MockitoJUnit44Runner,1,115,140,84
MockitoJUnitRunner,1,115,121,47
VerboseMockitoJUnitRunner,1,115,342,258
Spy,3,115,175,99
ReturnsElementsOf,2,115,32,45
FluentVerificationMode,2,107,0,27
Timeout,5,107,262,255
VerificationWithTimeout,4,104,168,99
ScenarioPrinterTest,3,85,37,23
InOrderImplTest,1,115,21,18
InvalidStateDetectionTest,1,115,286,7
InvocationTest,1,115,288,288
ReturnsEmptyValuesTest,1,115,115,35
InvocationContainerImplTest,3,58,167,110
IdentitySetTest,1,115,9,53
ObjectMethodsGuruTest,1,115,58,14
FieldInitializerTest,1,14,84,39
GenericMasterTest,3,93,102,79
NoMoreInteractionsTest,1,115,80,33
OnlyTest,2,72,94,26
MockInjectionTest,2,115,190,190
SpyAnnotationTest,3,115,357,169
MocksSerializationTest,2,115,732,346
CaptorAnnotationAutoboxingTest,2,94,9,0
InheritedGenericsPolimorphicCallTest,1,66,1,0
MultipleInOrdersTest,1,115,9,5
MultithreadedStubbingHalfManualTest,3,56,13,16
NPEOnAnyClassMatcherAutounboxTest,2,25,3,0
ParentClassNotPublicVeryWeirdBugTest,2,53,126,155
ShouldAllowInlineMockCreationTest,1,6,1,0
ShouldMocksCompareToBeConsistentWithEqualsTest,1,2,20,5
ShouldNotDeadlockAnswerExecution,2,75,0,111
ShouldNotDeadlockAnswerExecutionTest,2,75,123,6
ShouldOnlyModeAllowCapturingArgumentsTest,1,72,1,0
SpyShouldHaveNiceNameTest,1,28,1,0
VerifyingWithAnExtraCallToADifferentMockTest,2,114,6,0
LocationTest,1,115,52,65
PlaygroundTest,2,115,242,161
ModellingDescriptiveMessagesTest,1,115,190,26
ReturningMockValuesTest,1,115,5,20
FindingRedundantInvocationsInOrderTest,1,115,70,2
NoMoreInteractionsVerificationTest,2,115,184,52
OnlyVerificationTest,1,115,23,1
VerificationWithTimeoutTest,4,115,258,80
TimeoutTest,6,107,139,101
