ClassName,Changes,TotalCommits,Insertions,Deletions
MainTest,2,1712,444,444
TestAll,2,1712,49,49
TestGJChronology,2,1712,294,294
TestGJDateTimeField,2,1712,43,43
TestGJDayOfMonthField,2,1712,67,67
TestGJDayOfWeekField,2,1712,61,61
TestGJDayOfYearField,2,1712,63,63
TestGJMonthOfYearField,2,1712,93,93
TestGJWeekOfWeekyearField,2,1712,69,69
TestGJWeekyearField,2,1712,79,79
TestGJYearField,2,1712,75,75
TestGregorianChronology,2,1712,137,137
TestJulianChronology,2,1712,165,165
TestJulianDayOfMonthField,2,1712,30,30
TestJulianMonthOfYearField,2,1712,60,60
TestJulianWeekyearField,2,1712,58,58
TestJulianYearField,2,1712,58,58
TestAll,2,1712,59,59
TestBuddhistChronology,3,1285,375,375
TestCopticChronology,3,1285,558,558
TestEthiopicChronology,3,836,558,558
TestGJChronology,3,1285,503,503
TestGregorianChronology,3,1285,290,290
TestIslamicChronology,3,813,718,718
TestISOChronology,3,1320,433,433
TestJulianChronology,3,1285,280,280
TestLenientChronology,2,544,170,170
ClassLoadTest,2,1712,51,51
MockBadChronology,2,1712,47,47
MockUnknownCalendar,2,1712,66,66
MockUnknownTimeZone,2,1712,55,55
MockZeroNullIntegerConverter,2,1712,51,51
TestAll,2,1712,60,60
TestCalendarConverter,3,1463,187,187
TestConverterManager,3,1396,1016,1016
TestConverterSet,3,1396,191,191
TestDateConverter,3,1492,121,121
TestLongConverter,3,1492,123,123
TestNullConverter,3,1492,203,203
TestReadableDurationConverter,3,1492,123,123
TestReadableInstantConverter,3,1492,149,149
TestReadableIntervalConverter,3,1492,190,190
TestReadablePartialConverter,3,1492,149,149
TestReadablePeriodConverter,3,1492,116,116
TestStringConverter,3,1396,581,581
TestAll,2,1712,59,59
TestBaseDateTimeField,2,1200,616,616
TestFieldUtils,2,853,191,191
TestMillisDurationField,3,1209,218,218
TestOffsetDateTimeField,2,1200,551,551
TestPreciseDateTimeField,2,1200,660,660
TestPreciseDurationDateTimeField,2,1200,664,664
TestPreciseDurationField,3,1207,277,277
TestScaledDurationField,3,1207,294,294
TestUnsupportedDateTimeField,2,557,657,657
TestAll,2,1712,65,65
TestDateTimeFormat,3,1111,1145,1145
TestDateTimeFormatStyle,3,1055,390,390
TestDateTimeFormatterBuilder,2,947,208,208
TestDateTimeFormatter,3,1058,726,726
TestISODateTimeFormat_Fields,2,951,1151,1151
TestISODateTimeFormat,3,1205,608,608
TestISODateTimeFormatParsing,3,666,837,837
TestISOPeriodFormat,3,1388,201,201
TestISOPeriodFormatParsing,3,1145,215,215
TestPeriodFormat,3,1465,141,141
TestPeriodFormatParsing,3,1465,145,145
TestPeriodFormatterBuilder,3,1267,857,857
TestPeriodFormatter,3,1044,243,243
TestTextFields,3,1122,160,160
MockNullZoneChronology,2,1712,44,44
MockPartial,2,1712,62,62
MockZone,2,530,56,56
TestAbstractPartial,2,1465,231,231
TestAll,2,1712,133,133
TestAllPackages,2,1712,60,60
TestBasePartial,2,1465,145,145
TestBaseSingleFieldPeriod,2,623,333,333
TestChronology,3,1388,343,343
TestDateMidnight_Basics,3,1465,1033,1033
TestDateMidnight_Constructors,3,1465,567,567
TestDateMidnight_Properties,3,1440,555,555
TestDateTime_Basics,3,1465,1240,1240
TestDateTimeComparator,3,1712,954,954
TestDateTimeConstants,2,1472,117,117
TestDateTime_Constructors,3,1465,640,640
TestDateTimeFieldType,3,1239,334,334
TestDateTime_Properties,3,1465,1397,1397
TestDateTimeUtils,3,1401,434,434
TestDateTimeZoneCutover,2,529,1078,1078
TestDateTimeZone,3,1439,979,979
TestDays,3,623,403,403
TestDuration_Basics,3,1388,649,649
TestDuration_Constructors,3,1388,251,251
TestDurationField,2,937,62,62
TestDurationFieldType,3,1210,195,195
TestHours,3,623,398,398
TestIllegalFieldValueException,2,980,337,337
TestInstant_Basics,3,1465,607,607
TestInstant_Constructors,3,1465,170,170
TestInterval_Basics,3,1344,1274,1274
TestInterval_Constructors,3,1365,705,705
TestLocalDate_Basics,3,1220,1015,1015
TestLocalDate_Constructors,2,1220,530,530
TestLocalDate_Properties,2,1485,549,549
TestLocalDateTime_Basics,3,1220,906,906
TestLocalDateTime_Constructors,2,1220,711,711
TestLocalDateTime_Properties,2,700,1078,1078
TestLocalTime_Basics,3,1220,818,818
TestLocalTime_Constructors,3,1220,741,741
TestLocalTime_Properties,2,1220,785,785
TestMinutes,3,623,381,381
TestMonths,3,623,340,340
TestMutableDateTime_Adds,3,1414,267,267
TestMutableDateTime_Basics,3,1465,766,766
TestMutableDateTime_Constructors,3,1465,537,537
TestMutableDateTime_Properties,3,1465,790,790
TestMutableDateTime_Sets,3,1414,594,594
TestMutableInterval_Basics,3,1344,502,502
TestMutableInterval_Constructors,3,1365,682,682
TestMutableInterval_Updates,3,1324,409,409
TestMutablePeriod_Basics,3,1384,466,466
TestMutablePeriod_Constructors,3,1388,977,977
TestMutablePeriod_Updates,3,1382,1465,1465
TestParseISO,2,1618,403,403
TestPartial_Basics,3,950,911,911
TestPartial_Constructors,2,950,459,459
TestPartial_Match,2,938,169,169
TestPartial_Properties,2,950,416,416
TestPeriod_Basics,3,1384,1464,1464
TestPeriod_Constructors,3,1388,1363,1363
TestPeriodType,3,1376,912,912
TestSeconds,3,623,371,371
TestSerialization,3,986,452,452
TestTimeOfDay_Basics,3,1220,919,919
TestTimeOfDay_Constructors,3,1220,764,764
TestTimeOfDay_Properties,2,1220,736,736
TestWeeks,3,623,401,401
TestYearMonthDay_Basics,3,1220,850,850
TestYearMonthDay_Constructors,2,1220,467,467
TestYearMonthDay_Properties,2,1485,552,552
TestYears,3,623,322,322
TestAll,2,1712,51,51
TestBuilder,3,1077,320,320
TestCompiler,2,1049,147,147
TestFixedDateTimeZone,2,749,111,111
TestUTCProvider,3,1712,77,77
CharArrayWriter,2,330,0,5
DataInput,2,329,0,5
DataOutput,2,329,0,5
InputStream,2,330,0,5
ObjectInputStream,2,330,0,28
ObjectOutputStream,2,330,0,25
ObjectStreamException,2,329,0,5
Writer,2,330,0,16
ClassNotFoundException,2,330,0,5
InternalError,2,330,0,5
WeakReference,2,330,0,18
SecurityException,2,330,0,5
DateFormatSymbols,2,330,0,42
Calendar,2,330,0,52
GregorianCalendar,2,330,0,37
Locale,2,330,0,32
TimeZone,2,330,0,37
AbstractDateTime,3,1712,326,326
AbstractDuration,2,1706,203,203
AbstractInstant,2,1712,442,442
AbstractInterval,2,1670,492,492
AbstractPartial,2,1501,421,421
AbstractPeriod,2,1706,222,222
BaseDateTime,2,1318,332,332
BaseDuration,2,1706,272,272
BaseInterval,2,1712,254,254
BaseLocal,2,554,62,62
BasePartial,3,1501,306,306
BasePeriod,2,1706,606,606
BaseSingleFieldPeriod,2,623,344,344
AssembledChronology,2,1591,565,565
BaseChronology,2,1712,680,680
BasicChronology,2,1712,776,776
BasicDayOfMonthDateTimeField,2,1712,105,105
BasicDayOfYearDateTimeField,2,1712,102,102
BasicFixedMonthChronology,2,836,161,161
BasicGJChronology,2,967,201,201
BasicMonthOfYearDateTimeField,2,1712,360,360
BasicSingleEraDateTimeField,2,1712,134,134
BasicWeekOfWeekyearDateTimeField,2,1712,120,120
BasicWeekyearDateTimeField,2,1712,252,252
BasicYearDateTimeField,2,1712,146,146
BuddhistChronology,2,1712,238,238
CopticChronology,2,1591,261,261
EthiopicChronology,2,1591,259,259
GJChronology,2,1712,1091,1091
GJDayOfWeekDateTimeField,2,1712,141,141
GJEraDateTimeField,2,1712,152,152
GJLocaleSymbols,3,1712,279,279
GJMonthOfYearDateTimeField,2,1712,65,65
GJYearOfEraDateTimeField,2,1712,118,118
GregorianChronology,2,1591,244,244
IslamicChronology,2,813,543,543
ISOChronology,2,1712,235,235
