ClassName,Changes,TotalCommits,Insertions,Deletions
Mapping,3,375,522,196
FunctionInfo,3,375,41,43
FunctionInformationMap,3,375,3194,2285
FunctionInformationMapOrBuilder,1,375,39,31
Instrumentation,3,375,1233,950
InstrumentationOrBuilder,1,375,41,41
InstrumentationTemplate,3,375,29,31
ClassDefinitionException,1,375,53,53
NotAFunctionException,1,375,52,52
PropertyException,1,375,54,54
LogicalEquality,1,137,0,367
NamespaceHelper,1,137,0,350
Namespace,1,137,0,335
QName,1,137,0,321
XMLCtor,1,137,0,269
XML,1,137,0,3092
XMLLibImpl,1,137,0,754
XMLList,1,137,0,1617
XMLName,1,137,0,171
XMLObjectImpl,1,137,0,724
XMLWithScope,1,137,0,125
Control,1,137,0,100
Counter,1,375,62,62
CounterTest,1,375,82,82
DynamicScopes,1,137,0,205
File,1,137,0,351
Foo,1,137,0,169
Matrix,1,137,0,279
PrimitiveWrapFactory,1,375,72,72
RunScript2,1,375,67,67
RunScript3,1,137,0,86
RunScript4,1,375,76,76
RunScript,1,375,76,76
Shell,1,137,0,346
ByteCode,1,137,0,273
ClassFileWriter,1,137,0,3042
JSConstructor,1,137,0,14
JSFunction,1,137,0,15
JSGetter,1,137,0,15
JSSetter,1,137,0,15
JSStaticFunction,1,137,0,15
Arguments,1,137,0,321
ArrayComprehension,1,137,0,214
ArrayComprehensionLoop,1,137,0,100
ArrayLiteral,1,137,0,226
Assignment,1,375,70,70
AstNode,1,137,0,627
AstRoot,1,137,0,184
Block,1,375,98,98
BreakStatement,1,137,0,134
CatchClause,1,137,0,209
Comment,1,137,0,143
ConditionalExpression,1,137,0,200
ContinueStatement,1,137,0,147
DestructuringForm,1,375,61,61
DoLoop,1,137,0,121
ElementGet,1,137,0,171
EmptyExpression,1,375,77,77
ErrorCollector,1,137,0,124
ErrorNode,1,375,93,93
ExpressionStatement,1,137,0,155
ForInLoop,1,137,0,185
ForLoop,1,137,0,166
FunctionCall,1,137,0,196
FunctionNode,1,137,0,463
IdeErrorReporter,1,375,97,97
IfStatement,1,137,0,213
InfixExpression,1,137,6,220
Jump,1,137,0,168
KeywordLiteral,1,137,0,134
LabeledStatement,1,137,0,162
Label,1,375,109,109
LetNode,1,137,0,183
Loop,1,375,115,115
Name,1,137,0,182
NewExpression,1,137,0,131
NodeVisitor,1,375,59,59
NumberLiteral,1,137,0,130
ObjectLiteral,1,137,0,168
ObjectProperty,1,137,0,140
ParenthesizedExpression,1,137,0,110
ParseProblem,1,137,0,116
PropertyGet,1,137,0,132
RegExpLiteral,1,375,110,110
ReturnStatement,1,137,0,112
Scope,1,137,0,290
ScriptNode,1,137,0,351
StringLiteral,1,137,0,130
SwitchCase,1,137,0,186
SwitchStatement,1,137,0,211
Symbol,1,137,0,166
ThrowStatement,1,137,0,120
TryStatement,1,137,0,200
UnaryExpression,1,137,0,187
VariableDeclaration,1,137,0,170
VariableInitializer,1,137,0,158
WhileLoop,1,137,0,111
WithStatement,1,137,0,165
XmlDotQuery,1,137,0,102
XmlElemRef,1,137,0,171
XmlExpression,1,137,0,114
XmlFragment,1,375,63,63
XmlLiteral,1,137,0,122
XmlMemberGet,1,137,0,126
XmlPropRef,1,137,0,123
XmlRef,1,137,0,136
XmlString,1,375,94,94
Yield,1,375,107,107
BaseFunction,1,137,0,598
BoundFunction,1,137,0,111
Callable,1,375,59,59
ClassCache,1,137,0,228
ClassShutter,1,137,0,89
CodeGenerator,1,137,0,1503
CompilerEnvirons,1,375,350,350
ConstProperties,1,137,0,109
ContextAction,1,375,58,58
ContextFactory,1,137,0,618
Context,1,137,0,2672
ContextListener,1,375,60,60
ContinuationPending,1,137,0,98
DebugFrame,1,137,0,91
DebuggableObject,1,375,61,61
DebuggableScript,1,137,0,119
Debugger,1,375,69,69
Decompiler,1,375,920,920
DefaultErrorReporter,1,137,0,112
DefiningClassLoader,1,375,88,88
Delegator,1,137,0,265
DToA,1,375,1271,1271
EcmaError,1,375,161,161
ErrorReporter,1,375,105,105
EvaluatorException,1,375,123,123
Evaluator,1,137,0,120
FieldAndMethods,1,375,88,88
Function,1,375,83,83
FunctionObject,1,137,0,572
GeneratedClassLoader,1,375,66,66
Icode,1,137,0,279
IdFunctionCall,1,375,55,55
IdFunctionObject,1,137,0,196
IdScriptableObject,1,137,0,815
ImporterTopLevel,1,137,0,323
InterfaceAdapter,1,137,0,156
InterpretedFunction,1,137,0,235
InterpreterData,1,137,0,191
Interpreter,1,137,0,3111
IRFactory,1,137,0,2238
JavaAdapter,1,137,0,1148
JavaMembers,1,137,0,893
JavaScriptException,1,375,120,120
VMBridge_jdk13,1,137,0,165
VMBridge_jdk15,1,137,0,89
JsonLexer,1,137,0,282
JsonParser,1,137,0,361
Kit,1,375,470,470
LazilyLoadedCtor,1,137,0,169
MemberBox,1,137,0,370
NativeArray,1,137,0,1762
NativeBoolean,1,137,0,174
NativeCall,1,137,0,156
NativeContinuation,1,137,0,139
NativeDate,1,137,0,1681
NativeError,1,137,0,232
NativeFunction,1,137,0,170
NativeGenerator,1,137,0,287
NativeGlobal,1,137,0,795
NativeIterator,1,137,0,267
NativeJavaArray,1,137,0,179
NativeJavaClass,1,137,0,329
NativeJavaConstructor,1,375,86,86
NativeJavaMethod,1,137,0,554
NativeJavaObject,1,137,0,1001
NativeJavaPackage,1,137,0,217
NativeJavaTopPackage,1,137,0,186
NativeJSON,1,137,0,523
NativeMath,1,137,0,402
NativeNumber,1,137,0,280
NativeObject,1,137,0,520
NativeScript,1,137,0,228
NativeString,1,137,0,799
NativeWith,1,137,0,207
Node,1,137,0,1292
NodeTransformer,1,137,0,590
ObjArray,1,375,388,388
ObjToIntMap,1,375,696,696
Block,1,137,0,620
ClassCompiler,1,137,0,220
Codegen,1,137,0,5103
DataFlowBitSet,1,137,0,135
OptFunctionNode,1,137,0,151
Optimizer,1,137,0,510
OptRuntime,1,137,0,311
OptTransformer,1,137,0,135
Parser,1,137,50,3869
PolicySecurityController,1,137,0,222
RefCallable,1,375,59,59
Ref,1,375,64,64
NativeRegExpCtor,1,137,0,295
NativeRegExp,1,137,0,2794
RegExpProxy,1,375,72,72
RegExpImpl,1,137,0,761
SubString,1,375,76,76
RhinoException,1,375,308,308
Scriptable,1,137,0,338
ScriptableObject,1,137,0,3106
Script,1,375,72,72
ScriptRuntime,1,137,0,4022
SecureCaller,1,137,0,195
SecurityController,1,137,0,211
SecurityUtilities,1,375,79,79
ScriptableInputStream,1,137,0,113
ScriptableOutputStream,1,137,0,219
SpecialRef,1,137,0,155
Synchronizer,1,137,0,81
Token,1,375,464,464
TokenStream,1,375,1645,1645
UintMap,1,375,657,657
Undefined,1,375,60,60
UniqueTag,1,375,121,121
VMBridge,1,137,0,183
WrapFactory,1,137,0,183
WrappedException,1,375,92,92
Wrapper,1,375,58,58
XMLLib,1,137,0,173
XMLObject,1,137,0,138
JsDriver,1,137,0,842
JsTestsBase,1,137,0,55
ShellTest,1,137,0,391
StandardTests,1,137,0,211
TestUtils,1,137,0,79
TestErrorReporter,1,137,0,73
ApplyOnPrimitiveNumberTest,1,137,0,34
ArrayConcatTest,1,137,0,34
Bug409702Test,1,137,0,48
Bug412433Test,1,137,0,24
Bug419940Test,1,137,0,36
Bug421071Test,1,137,0,117
Bug448816Test,1,137,0,93
Bug467396Test,1,137,0,50
Bug482203,1,137,0,54
Bug492525Test,1,137,0,15
Bug496585,1,137,0,34
ClassShutterExceptionTest,1,137,0,78
ContextFactoryTest,1,137,0,48
ContinuationsApiTest,1,137,0,262
CustomSetterAcceptNullScriptableTest,1,137,0,67
DefineClassTest,1,137,0,175
DefineFunctionPropertiesTest,1,137,0,87
DeletePropertyTest,1,137,0,41
DoctestsTest,1,137,0,99
ObjectGetOwnPropertyDescriptorTest,1,137,0,32
ObjectGetOwnPropertyNamesTest,1,137,0,27
ObjectKeysTest,1,137,0,28
Evaluator,1,137,0,30
GeneratedClassNameTest,1,137,0,43
GeneratedMethodNameTest,1,137,0,79
GlobalParseXTest,1,137,0,54
JavaAcessibilityTest,1,137,0,127
JsonLexerTest,1,137,0,58
JsonParserTest,1,137,0,184
JsTestsTest,1,137,0,39
MozillaSuiteTest,1,137,0,233
NativeArrayTest,1,137,0,113
NativeStringTest,1,137,0,39
ObserveInstructionCountTest,1,137,0,117
ParserTest,1,137,53,1272
PrimitiveTypeScopeResolutionTest,1,137,0,161
PrivateAccessClass,1,137,0,101
StackTraceTest,1,137,0,47
StrictModeApiTest,1,137,0,58
TypeOfTest,1,137,0,132
Utils,1,137,0,38
Dim,1,137,0,1554
GuiCallback,1,375,71,71
Main,1,137,0,431
ScopeProvider,1,375,52,52
SwingGui,1,137,0,3598
AbstractCellEditor,1,137,0,89
JTreeTable,1,137,0,388
TreeTableModelAdapter,1,137,0,147
TreeTableModel,1,137,0,81
CodePrinter,1,137,0,213
FileBody,1,137,0,191
IdValuePair,1,375,58,58
Main,1,137,0,612
SwitchGenerator,1,137,0,491
Main,1,137,0,395
ConsoleTextArea,1,137,0,304
Environment,1,137,0,138
Global,1,137,0,1199
JavaPolicySecurity,1,137,0,249
JSConsole,1,137,0,228
Main,1,137,0,618
ParsedContentType,1,137,0,61
QuitAction,1,375,50,50
SecurityProxy,1,375,48,48
ShellContextFactory,1,137,0,127
ShellLine,1,137,0,178
SourceReader,1,137,0,124
ToolErrorReporter,1,137,0,225
Namespace,1,137,0,384
QName,1,137,0,396
XMLCtor,1,137,0,289
XML,1,137,0,773
XMLLibImpl,1,137,0,651
XMLList,1,137,0,820
XMLName,1,137,0,475
XmlNode,1,137,0,902
XMLObjectImpl,1,137,0,850
XmlProcessor,1,137,0,466
XMLWithScope,1,137,0,126
Base64,1,320,17,3
Base64VLQ,1,320,35,35
FilePosition,2,375,55,6
SourceMapConsumerFactory,4,375,50,42
SourceMapConsumer,2,375,32,0
SourceMapConsumerV1,3,375,5,5
SourceMapConsumerV2,5,375,21,3
SourceMapConsumerV3,9,320,321,48
SourceMapFormat,3,375,35,1
SourceMapGeneratorFactory,3,375,47,1
SourceMapGenerator,3,375,129,26
SourceMapGeneratorV1,4,375,648,2
SourceMapGeneratorV2,8,375,1103,215
SourceMapGeneratorV3,7,375,999,47
SourceMapLineDecoder,6,375,7,17
SourceMapParseException,2,375,26,0
SourceMapping,2,375,35,0
SourceMappingReversable,1,75,0,0
SourceMapSection,4,375,121,16
SourceMapSupplier,1,375,38,2
Util,2,375,158,9
AbstractCommandLineRunner,16,375,3207,1159
AbstractCompiler,6,375,282,74
AbstractMessageFormatter,2,375,8,9
AbstractPeepholeOptimization,6,375,145,67
AliasExternals,4,375,138,122
AliasKeywords,4,375,111,62
AliasStrings,3,375,40,62
AmbiguateProperties,5,375,240,189
AnalyzeNameReferences,3,375,17,17
AnalyzePrototypeProperties,6,375,972,780
AnonymousFunctionNamingCallback,4,375,19,27
AnonymousFunctionNamingPolicy,2,375,1,1
AntErrorManager,2,375,6,5
CompileTask,2,375,466,106
AstChangeProxy,2,375,9,12
AstParallelizer,3,375,23,27
AstValidator,9,357,60,38
BasicErrorManager,3,375,45,31
CallGraph,3,375,461,405
ChainableReverseAbstractInterpreter,3,375,103,695
ChainCalls,2,375,14,17
CheckAccessControls,14,375,261,115
CheckAccidentalSemicolon,3,375,86,165
CheckGlobalNames,9,375,228,105
CheckGlobalThis,4,375,96,53
CheckLevel,2,375,4,5
CheckLevelLegacy,2,375,4,5
CheckMissingGetCssName,2,375,34,37
CheckMissingReturn,6,375,52,34
CheckPathsBetweenNodes,2,375,112,31
CheckPropertyOrder,6,375,14,363
CheckProvides,5,375,39,23
CheckRegExp,3,375,51,12
CheckRequiresForConstructors,4,375,76,52
CheckSideEffects,4,375,224,135
CheckUnreachableCode,2,375,80,52
ClosureCodeRemoval,2,375,247,17
ClosureCodingConvention,11,375,371,210
ClosureOptimizePrimitives,3,311,135,136
ClosureReverseAbstractInterpreter,3,375,90,324
CoalesceVariableNames,6,375,363,338
CodeChangeHandler,3,375,43,66
CodeConsumer,2,375,98,57
CodeGenerator,9,375,951,531
CodePrinter,3,375,413,309
CodingConvention,8,375,206,82
CollapseAnonymousFunctions,2,375,19,14
CollapseProperties,15,375,561,280
CollapseVariableDeclarations,3,375,202,340
CombinedCompilerPass,4,375,48,27
CommandLineRunner,8,375,1525,527
CompilationLevel,3,375,105,71
CompilerInput,10,375,322,155
Compiler,27,375,1957,1347
CompilerOptions,20,375,1934,399
CompilerPass,2,375,5,6
ComposeWarningsGuard,5,375,136,69
ConcreteType,5,375,21,25
ConstCheck,2,375,19,24
ControlFlowAnalysis,2,375,147,84
ControlFlowGraph,3,375,100,55
ControlStructureCheck,5,375,36,148
ConvertToDottedProperties,4,375,24,15
CreateSyntheticBlocks,2,375,146,88
CrossModuleMethodMotion,4,375,107,62
CssRenamingMap,3,375,50,19
CustomPassExecutionTime,2,375,1,1
DataFlowAnalysis,3,375,23,82
DeadAssignmentsElimination,3,375,352,113
DefaultCodingConvention,8,375,97,279
DefaultPassConfig,37,375,2505,1260
DefinitionProvider,2,375,4,5
DefinitionSite,2,375,4,5
DefinitionsRemover,3,375,178,102
Denormalize,2,375,58,19
DependencyInfo,2,375,43,4
DepsFileParser,3,375,77,39
DepsGenerator,1,150,3,3
JsFileLineParser,2,375,138,77
JsFileParser,2,375,114,53
JsFunctionParser,2,375,21,17
PathUtil,1,150,0,0
SimpleDependencyInfo,2,375,16,12
SortedDependencies,2,375,181,16
DevirtualizePrototypeMethods,7,375,163,72
DiagnosticGroup,5,375,35,9
DiagnosticGroups,11,375,441,238
DiagnosticGroupWarningsGuard,5,375,13,10
DiagnosticType,3,375,20,8
DisambiguateProperties,13,375,395,219
DotFormatter,2,375,31,32
ErrorFormat,2,375,51,41
ErrorManager,2,375,6,8
ErrorPass,2,375,63,20
ExploitAssigns,2,375,19,17
ExportTestFunctions,4,375,118,40
ExpressionDecomposer,4,375,345,203
ExternExportsPass,6,375,452,340
ExtractPrototypeMemberDeclarations,2,375,146,76
FieldCleanupPass,4,375,149,23
FindExportableNodes,2,375,81,47
FlowScope,2,375,4,86
FlowSensitiveInlineVariables,4,375,313,127
FunctionArgumentInjector,7,375,143,132
FunctionInjector,13,375,390,334
FunctionNames,3,375,12,13
FunctionRewriter,3,375,42,58
FunctionToBlockMutator,9,375,229,139
FunctionTypeBuilder,9,375,969,550
GatherRawExports,2,375,16,14
GatherSideEffectSubexpressionsCallback,2,375,61,56
GenerateExports,2,375,176,110
GlobalNamespace,15,375,604,292
GlobalVarCleanupPass,2,375,41,41
GlobalVarReferenceMap,4,221,84,21
GoogleCodingConvention,2,375,31,19
AdjacencyGraph,2,375,8,9
Annotatable,2,375,4,5
Annotation,2,375,4,5
DiGraph,2,375,45,11
FixedPointGraphTraversal,2,375,3,3
GraphColoring,2,375,6,10
Graph,3,375,63,43
GraphNode,2,375,4,5
GraphPruner,1,253,3,0
GraphReachability,2,375,39,9
GraphvizGraph,2,375,4,5
LinkedDirectedGraph,3,375,172,123
LinkedUndirectedGraph,3,375,153,77
StandardUnionFind,3,375,28,24
SubGraph,2,375,4,5
UndiGraph,2,375,10,4
UnionFind,2,375,13,15
GroupVariableDeclarations,4,375,23,15
HotSwapCompilerPass,4,318,21,20
IgnoreCajaProperties,2,375,51,65
InferJSDocInfo,9,375,147,52
InlineCostEstimator,2,375,17,24
InlineFunctions,10,375,352,191
InlineObjectLiterals,6,284,153,131
InlineSimpleMethods,2,375,318,14
InlineVariables,5,375,459,257
InstrumentFunctions,3,375,43,33
InvocationsCallback,3,375,12,13
JoinOp,2,375,18,5
JsAst,4,375,50,48
JSError,3,375,76,59
JsMessageDefinition,2,375,3,3
JsMessageExtractor,2,375,37,38
JsMessage,2,375,329,62
JsMessageVisitor,2,375,198,70
JSModuleGraph,4,375,419,177
JSModule,3,375,184,168
ErrorLevel,2,375,29,1
JsonMLAst,6,375,18,3
JsonMLError,3,375,2,7
JsonMLException,2,375,34,1
JsonML,3,375,2,4
JsonMLUtil,2,375,1,1
NodeUtil,3,375,2,2
Reader,5,375,111,72
SecureCompiler,2,375,11,9
TagAttr,2,375,1,1
TagType,2,375,3,3
Validator,2,375,12,4
Writer,3,375,47,45
JSSourceFile,3,375,25,10
LatticeElement,2,375,31,31
LightweightMessageFormatter,6,375,35,16
LineNumberCheck,3,375,18,7
LinkedFlowScope,5,375,33,31
LiveVariablesAnalysis,3,375,32,22
LocaleUtil,3,375,5,71
LoggerErrorManager,2,375,18,10
MakeDeclaredNamesUnique,3,375,382,199
MarkNoSideEffectCalls,2,375,23,21
MaybeReachingVariableUse,2,375,35,18
MemoizedScopeCreator,4,375,54,4
MessageBundle,3,375,9,19
MessageFormatter,2,375,4,5
MethodCompilerPass,4,375,64,85
MinimizeExitPoints,2,375,37,49
MoveFunctionDeclarations,2,375,9,13
MustBeReachingVariableDef,3,375,162,82
NameAnalyzer,7,375,745,475
NameAnonymousFunctions,3,375,9,9
NameAnonymousFunctionsMapped,2,375,39,20
NameGenerator,2,375,125,27
NameReferenceGraphConstruction,6,375,102,99
NameReferenceGraph,2,375,34,40
NameReferenceGraphReport,4,375,14,6
NodeIterators,2,375,74,46
NodeNameExtractor,2,375,5,5
NodeTraversal,5,375,236,115
NodeUtil,26,375,2643,1214
Normalize,3,375,800,442
ObjectPropertyStringPostprocess,3,375,10,8
ObjectPropertyStringPreprocess,4,375,36,24
OperaCompoundAssignFix,2,375,9,161
OptimizeArgumentsArray,2,375,38,23
OptimizeCalls,2,375,10,10
OptimizeParameters,5,375,891,697
OptimizeReturns,3,375,72,159
ParallelCompilerPass,2,375,23,250
Annotation,3,375,41,8
Config,2,375,85,35
IRFactory,10,375,1268,837
JsDocInfoParser,11,375,1877,1368
JsDocToken,2,375,4,5
JsDocTokenStream,2,375,24,27
NullErrorReporter,3,375,24,18
ParserRunner,5,375,156,115
TypeSafeDispatcher,2,375,53,50
PassConfig,6,375,180,160
PassFactory,3,375,22,41
PeepholeCollectPropertyAssignments,3,375,325,291
PeepholeFoldConstants,10,375,3191,1672
PeepholeFoldWithTypes,2,375,25,24
PeepholeOptimizationsPass,2,375,219,198
PeepholeRemoveDeadCode,5,375,1095,518
PeepholeReplaceKnownMethods,1,170,573,354
PeepholeSimplifyRegExp,1,256,2,2
PeepholeSubstituteAlternateSyntax,11,375,1822,1909
PerformanceTracker,2,375,523,361
PhaseOptimizer,3,375,570,342
PrepareAst,3,375,236,245
PreprocessorSymbolTable,1,32,0,0
PrintStreamErrorManager,2,375,14,11
ProcessClosurePrimitives,16,375,1361,766
ProcessDefines,7,375,85,46
ProcessTweaks,2,375,243,90
PropertyRenamingPolicy,2,375,1,1
PureFunctionIdentifier,6,375,1265,832
RecordFunctionInformation,3,375,25,22
ReferenceCollectingCallback,12,375,443,161
CaseCanonicalize,2,255,6,4
CharRanges,1,255,2,1
RegExpTree,2,255,126,21
Region,2,375,4,5
RemoveTryCatch,3,375,15,13
RemoveUnusedNames,3,375,13,8
RemoveUnusedPrototypeProperties,3,375,99,46
RemoveUnusedVars,6,375,1583,877
RenameLabels,4,375,48,18
RenameProperties,5,375,351,229
RenamePrototypes,4,375,42,38
RenameVars,3,375,305,137
ReorderConstantExpression,1,30,30,37
ReplaceCssNames,3,375,217,158
ReplaceIdGenerators,5,375,525,157
ReplaceMessages,2,375,66,52
ReplaceStrings,3,375,98,57
Result,2,375,10,5
ReverseAbstractInterpreter,2,375,4,48
RhinoErrorReporter,3,375,178,79
RuntimeTypeCheck,9,375,125,128
SanityCheck,4,375,91,63
ScopeCreator,2,375,4,5
ScopedAliases,9,375,640,250
Scope,10,375,386,207
