ClassName,Changes,TotalCommits,Insertions,Deletions
Base32InputStream,2,202,84,84
Base32,2,202,473,473
Base32OutputStream,2,202,84,84
Base64InputStream,2,202,88,88
Base64,2,202,744,744
Base64OutputStream,2,202,88,88
BaseNCodecInputStream,2,202,134,134
BaseNCodec,2,202,444,444
BaseNCodecOutputStream,2,202,145,145
BinaryCodec,2,202,296,296
BinaryDecoder,2,202,42,42
BinaryEncoder,2,202,42,42
Hex,2,202,302,302
StringUtils,2,202,286,286
CharEncoding,2,202,126,126
DecoderException,2,202,89,89
Decoder,2,202,55,55
DigestUtils,2,202,582,582
EncoderException,2,202,90,90
Encoder,2,202,46,46
AbstractCaverphone,2,198,77,77
BeiderMorseEncoder,2,130,114,114
Lang,2,130,237,237
Languages,2,130,266,266
NameType,2,202,51,51
PhoneticEngine,2,130,428,428
ResourceConstants,2,202,33,33
Rule,2,130,613,613
RuleType,2,202,40,40
Caverphone1,2,198,125,125
Caverphone2,2,198,128,128
ColognePhonetic,2,202,419,419
DoubleMetaphone,2,202,1105,1105
Metaphone,2,202,407,407
RefinedSoundex,2,202,202,202
Soundex,2,202,250,250
SoundexUtils,2,202,123,123
BCodec,2,202,211,211
QCodec,2,202,314,314
QuotedPrintableCodec,2,202,387,387
RFC1522Codec,2,202,178,178
URLCodec,2,202,349,349
Utils,2,202,49,49
StringDecoder,2,202,40,40
StringEncoderComparator,2,202,74,74
StringEncoder,2,202,40,40
Base32InputStream,3,202,85,169
Base32,6,202,1982,1982
Base32OutputStream,3,202,93,182
Base64InputStream,3,202,378,526
Base64,7,202,3227,3725
Base64OutputStream,3,202,373,544
BaseNCodecInputStream,5,202,280,280
BaseNCodec,5,202,957,957
BaseNCodecOutputStream,5,202,304,304
BinaryCodec,4,202,629,629
BinaryDecoder,3,202,184,266
BinaryEncoder,3,202,181,260
Hex,5,202,948,1073
StringUtils,5,202,622,622
CharEncoding,5,202,261,261
DecoderException,4,202,291,366
Decoder,3,202,209,296
DigestUtils,3,202,1349,1535
EncoderException,4,202,302,377
Encoder,5,202,120,203
AbstractCaverphone,5,198,154,231
BeiderMorseEncoder,5,130,116,230
Lang,13,130,266,505
Languages,11,130,520,676
NameType,7,202,107,107
PhoneticEngine,25,130,870,1367
ResourceConstants,5,202,68,68
Rule,28,130,1533,1918
RuleType,5,202,82,82
Caverphone1,5,198,250,375
Caverphone2,5,198,256,384
Caverphone,5,202,64,247
ColognePhonetic,15,202,663,1155
DoubleMetaphone,5,202,1512,2618
Metaphone,4,202,900,1225
RefinedSoundex,4,202,584,737
Soundex,5,202,1098,1265
SoundexUtils,3,202,206,368
BCodec,6,202,289,496
QCodec,8,202,398,707
QuotedPrintableCodec,7,202,644,1047
RFC1522Codec,5,202,242,403
URLCodec,9,202,675,1042
Utils,4,202,150,150
StringDecoder,4,202,179,179
