ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractBagDecorator,2,43,102,4
AbstractMapBag,2,43,661,37
AbstractSortedBagDecorator,2,43,86,4
CollectionBag,2,43,265,22
CollectionSortedBag,1,43,173,5
HashBag,2,43,88,10
PredicatedBag,2,43,133,8
PredicatedSortedBag,2,43,116,8
SynchronizedBag,2,43,163,12
SynchronizedSortedBag,2,43,119,11
TransformedBag,2,43,162,14
TransformedSortedBag,2,43,143,12
TreeBag,1,43,154,14
UnmodifiableBag,1,43,177,19
UnmodifiableSortedBag,1,43,168,13
BagUtils,1,43,291,29
AbstractBidiMapDecorator,2,43,92,3
AbstractDualBidiMap,1,43,818,13
AbstractOrderedBidiMapDecorator,2,43,95,3
AbstractSortedBidiMapDecorator,2,43,96,3
DualTreeBidiMap,1,43,430,14
TreeBidiMap,1,43,2254,26
UnmodifiableBidiMap,2,43,149,13
UnmodifiableOrderedBidiMap,2,43,160,13
UnmodifiableSortedBidiMap,2,43,171,13
ClosureUtils,1,43,459,83
AbstractCollectionDecorator,2,43,207,29
CompositeCollection,1,43,488,7
PredicatedCollection,1,43,465,21
SynchronizedCollection,2,43,244,12
TransformedCollection,1,43,166,11
UnmodifiableBoundedCollection,2,43,178,12
UnmodifiableCollection,1,43,120,9
CollectionUtils,6,43,2528,632
BooleanComparator,1,43,223,31
ComparableComparator,1,43,140,10
ComparatorChain,1,43,360,11
FixedOrderComparator,2,43,316,17
NullComparator,1,43,188,7
ReverseComparator,1,43,136,12
TransformingComparator,1,43,145,14
FactoryUtils,1,43,162,12
FluentIterable,8,43,407,83
AllPredicate,1,43,130,14
AndPredicate,1,43,96,4
AnyPredicate,1,43,122,9
ChainedClosure,1,43,145,18
ChainedTransformer,1,43,147,18
CloneTransformer,1,43,89,16
ClosureTransformer,1,43,93,6
ComparatorPredicate,1,43,202,10
FactoryTransformer,1,43,94,7
ForClosure,1,43,118,12
FunctorUtils,1,43,226,19
IdentityPredicate,1,43,87,2
IfClosure,1,43,172,15
IfTransformer,1,43,10,7
InstanceofPredicate,1,43,87,3
InstantiateFactory,2,43,153,13
InstantiateTransformer,2,43,149,18
InvokerTransformer,2,43,170,23
NonePredicate,1,43,112,9
NotPredicate,1,43,96,10
NullIsExceptionPredicate,1,43,102,10
NullIsFalsePredicate,1,43,94,4
