ClassName,Changes,TotalCommits,Insertions,Deletions
ArjArchiveInputStream,1,33,236,204
CpioArchiveInputStream,2,33,462,348
CpioArchiveOutputStream,1,33,560,430
DumpArchiveEntry,1,33,157,95
DumpArchiveInputStream,1,33,238,157
Lister,3,33,36,30
CLI,1,33,43,44
Folder,1,33,51,8
SevenZArchiveEntry,1,33,355,77
SevenZFile,3,33,760,702
SevenZOutputFile,1,33,581,298
TarArchiveInputStream,1,33,1815,1174
TarArchiveOutputStream,1,33,1760,1134
ExtraFieldUtils,2,33,382,265
ParallelScatterZipCreator,1,33,229,116
PKWareExtraHeader,1,33,174,32
ScatterZipOutputStream,3,33,100,118
Simple8BitZipEncoding,1,33,326,326
UnshrinkingInputStream,1,33,302,175
ZipArchiveEntry,1,33,1384,858
ZipArchiveOutputStream,1,33,3413,1796
ZipEncodingHelper,1,33,310,385
ZipFile,1,33,4248,3582
ZipMethod,1,33,90,72
ChangeSet,1,33,365,250
ChangeSetPerformer,1,33,373,89
ChangeSetResults,1,33,75,28
BZip2CompressorOutputStream,6,33,1889,2186
BZip2Utils,1,33,25,44
FileNameUtil,1,33,17,17
GzipUtils,1,33,28,68
LZMAUtils,1,33,173,10
Pack200CompressorInputStream,1,33,86,58
Pack200Utils,1,33,105,38
FramedSnappyCompressorInputStream,1,33,186,81
FramedSnappyDialect,1,33,2,2
XZUtils,1,33,259,79
ArchiveUtils,4,33,354,105
AbstractTestCase,2,33,893,510
ArchiveReadTest,1,33,178,59
ArArchiveOutputStreamTest,1,33,23,36
ArchiveStreamFactoryTest,1,33,587,154
CpioTestCase,1,33,411,114
DumpArchiveInputStreamTest,1,33,40,22
DumpTestCase,2,33,30,27
LongPathTest,1,33,278,111
LongSymLinkTest,1,33,194,28
SevenZFileTest,3,33,459,180
SevenZOutputFileTest,2,33,519,120
SevenZTestCase,1,33,49,21
TarArchiveInputStreamTest,1,33,451,94
TarArchiveOutputStreamTest,1,33,1032,292
Lister,1,33,74,37
ParallelScatterZipCreatorTest,1,33,136,46
ZipTestCase,2,33,936,405
Zip64SupportIT,1,33,3138,476
ZipArchiveInputStreamTest,2,33,431,65
ZipFileTest,1,33,717,113
ArchiveUtilsTest,3,33,115,36
ChangeSetTestCase,2,33,2340,1097
BZip2CompressorInputStreamTest,1,33,82,12
BZip2TestCase,1,33,152,89
CompressorStreamFactoryRoundtripTest,1,13,95,77
DeflateCompressorInputStreamTest,1,33,12,25
DeflateTestCase,1,33,159,38
FramedSnappyTestCase,1,33,226,154
GZipTestCase,1,33,362,129
LZMATestCase,1,33,112,20
Pack200UtilsTest,1,33,56,10
Pack200TestCase,2,33,108,66
FramedSnappyCompressorInputStreamTest,2,33,261,57
XZTestCase,1,33,132,37
ZTestCase,1,33,109,10
