ClassName,Changes,TotalCommits,Insertions,Deletions
BaseSettings,1,23,261,101
BasicDeserializerFactory,1,23,3936,2629
BeanDeserializer,1,23,1648,2115
DeserializationContext,1,23,3120,1611
ExternalTypeHandler,1,23,492,170
JsonNodeDeserializer,1,23,657,336
BaseJsonNode,1,23,142,41
BooleanNode,2,23,141,40
IntNode,1,23,146,13
MissingNode,2,23,151,40
NullNode,2,23,93,30
ValueNode,2,23,192,72
ObjectMapper,1,23,3713,2350
BasicSerializerFactory,2,23,1806,1334
BeanPropertyWriter,1,23,1394,934
SerializerProvider,2,23,2172,1276
PropertySerializerMap,1,23,227,81
SerializerFactory,1,23,258,173
MapSerializer,1,23,1534,807
StdKeySerializer,1,23,78,97
StdKeySerializers,4,23,326,148
ISO8601Utils,1,23,377,287
StdDateFormat,1,23,991,536
TestCollectionDeserialization,1,23,231,403
TestMapDeserialization,2,23,289,714
TestExternalId,1,23,494,663
TestJSONP,1,23,74,13
Bean,2,20,39,39
KeyEnum,2,20,10,10
ModuleVersion,2,20,28,28
TestEnumDeserializer,2,20,29,29
TestEnum,2,20,42,42
TestEnumKeyDeserializer,2,20,21,21
TestEnumKeySerializer,2,20,23,23
TestEnumMixin,2,20,11,11
TestEnumModule,2,20,27,27
TestEnumSerializer,2,20,36,36
TestCustomEnumKeyDeserializer,2,15,118,37
TestCustomKeyDeserializer,2,20,56,56
TestObjectNode,1,23,328,496
TestEnumSerialization,3,23,389,231
TestKeySerializers,4,23,288,34
EnumCreatorTest929,1,23,35,64
EnumMap749Test,1,23,0,51
ImplicitParamsForCreator806Test,1,23,65,11
PolymorphicListTest936,1,21,0,108
