ClassName,Changes,TotalCommits,Insertions,Deletions
Connection,1,40,969,293
DataUtil,2,40,537,261
HttpConnection,4,40,1601,670
StringUtil,2,40,254,350
Validate,1,40,30,3
Attribute,1,40,255,83
Attributes,1,40,760,286
Document,2,40,812,218
DocumentType,1,2,105,35
Element,7,40,2149,711
Entities,2,40,2942,2592
Node,3,40,1117,429
TextNode,1,40,292,166
CharacterReader,1,2,613,272
ParseError,1,2,31,36
Parser,2,40,842,694
Tag,4,40,705,638
Tokeniser,1,2,192,127
TokeniserState,1,2,370,405
Token,1,40,630,244
TokenQueue,3,40,471,210
TreeBuilder,1,2,148,738
TreeBuilderState,1,2,8,1490
Whitelist,1,40,678,152
Collector,1,40,83,21
CombiningEvaluator,2,27,45,13
Elements,1,40,820,177
Evaluator,2,40,848,70
ElementSelector,1,40,18,57
HasSelector,1,40,40,40
ImmediateParentSelector,1,40,11,36
ImmediatePreviousSiblingSelector,1,40,39,39
NotSelector,1,40,21,44
ParentSelector,1,40,19,47
Parser,1,40,109,398
PrevioustSiblingSelector,1,40,46,46
SelectMatch,1,40,55,113
QueryParser,2,33,170,61
Selector,2,40,703,647
AndSelector,3,40,57,57
BasicSelector,2,40,20,20
HasSelector,2,33,0,31
ImmediateParentSelector,2,33,0,25
ImmediatePreviousSiblingSelector,2,33,0,30
NotSelector,2,33,0,28
OrSelector,2,40,41,41
ParentSelector,2,33,0,37
PreviousSiblingSelector,2,33,0,40
RootSelector,2,40,18,18
StructuralEvaluator,1,27,16,4
ParseTest,2,40,266,114
UrlConnectTest,4,40,1039,443
DocumentTest,1,40,631,180
ElementTest,7,40,1580,142
EntitiesTest,1,40,188,62
NodeTest,2,40,316,28
TextNodeTest,2,40,71,11
AttributeParseTest,2,40,123,20
ParserTest,5,40,784,778
TagTest,1,40,28,36
CleanerTest,1,40,339,24
ElementsTest,3,40,1082,692
ParserSelectorNG,1,40,606,606
SelectorNGTest,1,40,658,658
SelectorTest,3,40,915,153
