ClassName,Changes,TotalCommits,Insertions,Deletions
ReleaseNotesBuilderFactory,2,872,0,0
ReleaseNotesBuilder,1,872,0,0
CallbackFilter,1,872,0,0
CallbackHelper,1,872,0,0
Enhancer,1,872,0,0
Proxy,1,872,0,0
AdditionalAnswers,12,872,0,0
AdditionalMatchers,3,872,1337,346
Answers,5,872,0,0
ArgumentCaptor,13,872,135,44
ArgumentMatcher,4,872,79,60
BDDMockito,20,872,247,13
Captor,9,872,0,0
AnnotationEngine,4,872,34,0
DefaultMockitoConfiguration,4,872,52,4
IMockitoConfiguration,4,872,83,5
MockitoAssertionError,3,872,43,15
MockitoException,3,872,41,5
MockitoSerializationIssue,1,872,0,0
Discrepancy,5,872,4,0
CannotStubVoidMethodWithReturnValue,1,872,0,0
CannotVerifyStubOnlyMock,1,872,0,0
FriendlyReminderException,2,872,0,0
InvalidUseOfMatchersException,1,872,36,20
MissingMethodInvocationException,1,872,18,2
MockitoConfigurationException,2,872,4,0
NotAMockException,1,872,20,4
NullInsteadOfMockException,1,872,16,0
UnfinishedStubbingException,1,872,18,2
UnfinishedVerificationException,1,872,18,2
WrongTypeOfReturnValue,2,872,4,0
Pluralizer,5,872,4,0
PrintableInvocation,5,872,20,5
Reporter,59,872,1072,608
StackTraceCleaner,1,872,0,0
ArgumentsAreDifferent,1,872,20,4
ArgumentsAreDifferent,3,872,50,15
JUnitTool,5,872,15,12
NeverWantedButInvoked,1,872,6,2
NoInteractionsWanted,1,872,21,2
SmartNullPointerException,2,872,5,5
TooLittleActualInvocations,1,872,20,4
TooManyActualInvocations,1,872,20,4
VerificationInOrderFailure,1,872,20,4
WantedButNotInvoked,1,872,4,0
Incubating,1,872,0,0
InjectMocks,18,872,0,0
InOrder,2,872,23,24
CaptorAnnotationProcessor,3,872,0,0
ClassPathLoader,16,872,43,7
DefaultAnnotationEngine,10,872,34,1
DefaultInjectionEngine,10,872,0,0
FieldAnnotationProcessor,2,872,0,0
GlobalConfiguration,4,872,89,67
InjectingAnnotationEngine,17,872,0,0
ConstructorInjection,5,872,0,0
FinalMockCandidateFilter,4,872,0,0
MockCandidateFilter,3,872,0,0
NameBasedCandidateFilter,3,872,0,0
OngoingInjecter,3,872,0,0
TypeBasedCandidateFilter,3,872,0,0
FinalMockCandidateFilter,4,872,0,0
Injecter,2,872,0,0
MockCandidateFilter,3,872,0,0
MockInjection,6,872,0,0
MockInjectionStrategy,3,872,0,0
NameBasedCandidateFilter,3,872,0,0
OngoingInjecter,3,872,0,0
PropertyAndSetterInjection,11,872,0,0
InjectMocksScanner,2,872,0,0
MockScanner,5,872,0,0
SpyOnInjectedFieldsHandler,2,872,0,0
TypeBasedCandidateFilter,3,872,0,0
MockAnnotationProcessor,3,872,0,0
MockitoAnnotationsMockAnnotationProcessor,3,872,0,0
SpyAnnotationEngine,11,872,0,0
AbstractMockitoMethodProxy,2,872,0,0
AcrossJVMSerializationFeature,17,872,0,0
CGLIBHacker,2,872,17,2
MockitoNamingPolicy,2,872,5,1
CglibMockMaker,12,872,0,0
ClassNameFinder,2,872,16,0
DelegatingMethod,7,872,0,0
DelegatingMockitoMethodProxy,2,872,0,0
ClassImposterizer,16,872,56,37
SearchingClassLoader,2,872,77,1
SerializableNoOp,3,872,0,0
MethodInterceptorFilter,13,872,85,29
MockitoMethodProxy,2,872,0,0
MockSettingsImpl,32,872,32,15
SerializableMockitoMethodProxy,2,872,0,0
CreationSettings,9,872,0,0
FindingsListener,6,872,0,0
Localized,6,872,7,10
LocationImpl,4,872,0,0
Location,4,872,30,24
LoggingListener,7,872,0,0
LogInvocationsToStdOutListener,0,872,0,0
MockitoDebuggerImpl,10,872,0,0
VerboseMockInvocationLogger,4,872,0,0
WarningsCollector,7,872,0,0
WarningsFinder,7,872,0,0
WarningsPrinterImpl,7,872,0,0
ConditionalStackTraceFilter,2,872,23,1
StackTraceFilter,2,872,5,4
ExceptionIncludingMockitoWarnings,2,872,0,0
MockitoLimitations,1,872,0,0
ConditionalStackTraceFilter,2,872,0,0
DefaultStackTraceCleaner,1,872,0,0
DefaultStackTraceCleanerProvider,1,872,0,0
StackTraceFilter,3,872,0,0
ScenarioPrinter,5,872,0,0
VerificationAwareInvocation,3,872,0,0
InvocationNotifierHandler,4,872,0,0
MockHandlerFactory,3,872,0,0
MockHandlerImpl,5,872,0,0
NullResultGuardian,2,872,0,0
IMockMaker,4,872,0,0
Incubating,5,872,0,0
InOrderImpl,4,872,44,1
InternalMockHandler,4,872,0,0
AbstractAwareMethod,1,872,0,0
ArgumentsComparator,7,872,0,0
ArgumentsProcessor,3,872,0,0
CapturesArgumensFromInvocation,6,872,0,0
AllInvocationsFinder,8,872,0,0
VerifiableInvocationsFinder,6,872,0,0
InvocationImpl,9,872,0,0
Invocation,13,872,616,390
InvocationMarker,7,872,0,0
InvocationMatcher,12,872,260,150
InvocationsFinder,10,872,276,134
MatchersBinder,7,872,88,55
MockitoMethod,3,872,0,0
InvocationNotifierHandler,15,872,0,0
CGLIBProxyRealMethod,2,872,9,1
FilteredCGLIBProxyRealMethod,3,872,9,1
HasCGLIBMethodProxy,2,872,4,0
RealMethod,2,872,4,0
SerializableMethod,4,872,0,0
StubInfoImpl,4,872,0,0
StubInfo,3,872,0,0
UnusedStubsFinder,5,872,0,0
JUnitTool,2,872,0,0
CollectCreatedMocks,6,872,0,0
MockingProgressListener,2,872,0,0
MockingStartedListener,5,872,0,0
NotifiedMethodInvocationReport,11,872,0,0
And,1,872,61,19
Any,1,872,35,11
AnyVararg,2,872,0,0
EqualsBuilder,4,872,1,1
ReflectionEquals,1,872,21,19
ArrayEquals,1,872,140,67
CapturesArguments,2,872,0,0
CapturingMatcher,4,872,4,0
CompareEqual,1,872,24,2
CompareTo,1,872,49,14
ContainsExtraTypeInformation,2,872,13,0
Contains,1,872,39,13
EndsWith,1,872,39,13
Equality,3,872,0,0
Equals,3,872,129,50
EqualsWithDelta,4,872,53,22
Find,1,872,42,15
GreaterOrEqual,1,872,24,2
GreaterThan,1,872,24,2
InstanceOf,1,872,35,9
LessOrEqual,1,872,24,2
LessThan,1,872,24,2
LocalizedMatcher,7,872,43,17
MatcherDecorator,2,872,0,0
MatchersPrinter,2,872,23,22
Matches,1,872,35,8
Not,1,872,44,15
NotNull,1,872,34,8
Null,1,872,33,8
Or,1,872,61,19
Same,3,872,61,23
StartsWith,1,872,39,13
VarargCapturingMatcher,2,872,0,0
VarargMatcher,2,872,0,0
MockHandlerFactory,0,872,0,0
MockHandlerImpl,4,872,0,0
MockHandlerInterface,6,872,0,0
MockHandler,19,872,878,754
MockitoCore,18,872,186,168
MockitoInvocationHandler,3,872,0,0
ArgumentMatcherStorageImpl,4,872,131,18
ArgumentMatcherStorage,6,872,9,4
HandyReturnValues,4,872,89,41
IOngoingStubbing,2,872,11,0
MockingProgressImpl,8,872,196,87
MockingProgress,4,872,66,28
SequenceNumber,2,872,4,0
ThreadSafeMockingProgress,5,872,109,40
Discrepancy,2,872,0,0
Pluralizer,2,872,0,0
PrintingFriendlyInvocation,3,872,11,0
PrintSettings,9,872,61,23
SmartPrinter,8,872,41,6
JunitRuleImpl,1,872,0,0
JUnitRule,1,872,0,0
JUnit44RunnerImpl,1,872,41,0
JUnit45AndHigherRunnerImpl,3,872,4,1
RunnerFactory,2,872,40,36
RunnerImpl,2,872,4,0
FrameworkUsageValidator,2,872,32,2
RunnerProvider,2,872,36,3
TestMethodsFinder,2,872,0,0
AnswerReturnValuesAdapter,2,872,4,0
AnswersValidator,11,872,63,0
CallsRealMethods,2,872,36,2
ClonesArguments,2,872,0,0
DoesNothing,2,872,15,0
MethodInfo,6,872,0,0
ReturnsArgumentAt,2,872,0,0
ReturnsElementsOf,3,872,0,0
Returns,2,872,38,0
ThrowsExceptionClass,4,872,0,0
ThrowsException,3,872,35,2
BaseStubbing,4,872,75,66
ConsecutiveStubbing,4,872,33,33
Answers,4,872,0,0
ForwardsInvocations,2,872,0,0
GloballyConfiguredAnswer,2,872,22,0
ReturnsDeepStubs,23,872,0,0
ReturnsDelegate,2,872,0,0
ReturnsEmptyValues,13,872,119,0
ReturnsGenericDeepStubs,0,872,0,0
ReturnsMocks,5,872,35,0
ReturnsMoreEmptyValues,3,872,69,0
ReturnsSmartNulls,17,872,70,0
InvocationContainerImpl,16,872,0,0
InvocationContainer,6,872,0,0
OngoingStubbingImpl,9,872,44,38
StubbedInvocationMatcher,6,872,91,52
StubberImpl,5,872,23,11
VoidMethodStubbableImpl,3,872,41,38
ArrayUtils,5,872,0,0
Checks,2,872,0,0
ArrayUtils,3,872,0,0
HashCodeAndEqualsMockWrapper,3,872,0,0
HashCodeAndEqualsSafeSet,3,872,0,0
IdentitySet,2,872,0,0
ListUtil,2,872,0,0
Sets,3,872,0,0
ConsoleMockitoLogger,4,872,0,0
Decamelizer,1,872,41,0
DefaultMockingDetails,6,872,0,0
