ClassName,Changes,TotalCommits,Insertions,Deletions
ClassDefinitionException,1,388,3,34
NotAFunctionException,1,388,3,35
PropertyException,1,388,3,35
LogicalEquality,1,388,3,35
NamespaceHelper,1,388,3,35
Namespace,1,388,3,37
QName,1,388,3,37
XMLCtor,1,388,3,35
XML,1,388,3,37
XMLLibImpl,1,388,3,35
XMLList,1,388,3,37
XMLName,1,388,3,36
XMLObjectImpl,1,388,3,38
XMLWithScope,1,388,3,38
Control,1,388,3,34
Counter,1,388,3,35
CounterTest,1,388,3,35
DynamicScopes,1,388,3,35
File,1,388,3,35
Foo,1,388,3,34
Matrix,1,388,3,34
PrimitiveWrapFactory,1,388,3,35
RunScript2,1,388,3,34
RunScript3,1,388,3,34
RunScript4,1,388,3,34
RunScript,1,388,3,34
Shell,1,388,3,34
ByteCode,1,388,3,35
ClassFileWriter,1,388,4,37
JSConstructor,1,388,4,0
JSFunction,1,388,4,0
JSGetter,1,388,4,0
JSSetter,1,388,4,0
JSStaticFunction,1,388,4,0
Arguments,1,388,3,36
ArrayComprehension,1,388,3,35
ArrayComprehensionLoop,1,388,3,35
ArrayLiteral,1,388,3,35
Assignment,1,388,3,35
AstNode,1,388,3,35
AstRoot,1,388,3,35
Block,1,388,3,36
BreakStatement,1,388,3,35
CatchClause,1,388,3,35
Comment,1,388,3,35
ConditionalExpression,1,388,3,35
ContinueStatement,1,388,3,35
DestructuringForm,1,388,3,35
DoLoop,1,388,4,35
ElementGet,1,388,3,35
EmptyExpression,1,388,3,35
EmptyStatement,1,388,3,35
ErrorCollector,1,388,3,35
ErrorNode,1,388,3,35
ExpressionStatement,1,388,3,35
ForInLoop,1,388,4,36
ForLoop,1,388,4,36
FunctionCall,1,388,3,35
FunctionNode,1,388,3,38
GeneratorExpression,1,388,3,35
GeneratorExpressionLoop,1,388,3,35
IdeErrorReporter,1,388,3,35
IfStatement,1,388,15,42
InfixExpression,2,388,5,38
Jump,1,388,3,39
KeywordLiteral,1,388,3,35
LabeledStatement,1,388,9,35
Label,1,388,3,35
LetNode,1,388,3,35
Loop,1,388,3,35
Name,1,388,3,35
NewExpression,1,388,3,35
NodeVisitor,1,388,3,35
NumberLiteral,1,388,3,35
ObjectLiteral,1,388,3,35
ObjectProperty,1,388,3,35
ParenthesizedExpression,1,388,3,35
ParseProblem,1,388,3,35
PropertyGet,1,388,3,35
RegExpLiteral,1,388,3,35
ReturnStatement,1,388,3,35
Scope,1,388,3,38
ScriptNode,1,388,3,38
StringLiteral,1,388,3,35
SwitchCase,1,388,3,35
SwitchStatement,1,388,3,35
Symbol,1,388,3,38
ThrowStatement,1,388,3,35
TryStatement,1,388,3,35
UnaryExpression,1,388,3,35
VariableDeclaration,1,388,3,35
VariableInitializer,1,388,3,35
WhileLoop,1,388,4,36
WithStatement,1,388,8,38
XmlDotQuery,1,388,3,35
XmlElemRef,1,388,3,35
XmlExpression,1,388,3,35
XmlFragment,1,388,3,35
XmlLiteral,1,388,3,35
XmlMemberGet,1,388,3,35
XmlPropRef,1,388,3,35
XmlRef,1,388,3,35
XmlString,1,388,3,35
Yield,1,388,3,35
BaseFunction,2,388,10,39
BoundFunction,1,388,3,36
Callable,1,388,3,35
ClassCache,1,388,3,36
ClassShutter,1,388,3,36
CodeGenerator,1,388,4,45
ModuleScope,1,388,4,0
ModuleScript,1,388,4,0
ModuleScriptProvider,1,388,7,1
CachingModuleScriptProviderBase,1,388,6,2
DefaultUrlConnectionExpiryCalculator,1,388,4,0
ModuleSource,1,388,4,0
ModuleSourceProviderBase,1,388,6,2
ModuleSourceProvider,1,388,8,2
MultiModuleScriptProvider,1,388,6,2
ParsedContentType,1,388,4,0
SoftCachingModuleScriptProvider,1,388,6,2
StrongCachingModuleScriptProvider,1,388,4,0
UrlConnectionExpiryCalculator,1,388,4,0
UrlConnectionSecurityDomainProvider,1,388,4,0
UrlModuleSourceProvider,1,388,4,0
RequireBuilder,1,388,4,0
Require,1,388,14,9
CompilerEnvirons,1,388,3,37
ConsString,1,388,3,35
ConstProperties,1,388,3,35
ContextAction,1,388,3,35
ContextFactory,1,388,3,35
Context,1,388,4,36
ContextListener,1,388,3,35
ContinuationPending,1,388,3,35
DebugFrame,1,388,3,35
DebuggableObject,1,388,3,35
DebuggableScript,1,388,3,36
Debugger,1,388,3,35
Decompiler,1,388,4,39
DefaultErrorReporter,1,388,3,35
DefiningClassLoader,1,388,3,38
Delegator,1,388,3,34
DToA,1,388,3,37
EcmaError,1,388,3,35
ErrorReporter,1,388,3,35
EvaluatorException,1,388,3,35
Evaluator,1,388,3,27
Function,1,388,3,35
FunctionObject,1,388,3,38
GeneratedClassLoader,1,388,3,35
Icode,1,388,3,44
IdFunctionCall,1,388,3,35
IdFunctionObject,1,388,3,35
IdScriptableObject,1,388,3,35
ImporterTopLevel,1,388,3,37
InterfaceAdapter,1,388,3,35
InterpretedFunction,1,388,5,60
InterpreterData,1,388,3,37
Interpreter,1,388,432,373
IRFactory,1,388,21,45
JavaAdapter,1,388,18,53
JavaMembers,1,388,47,89
JavaScriptException,1,388,3,37
VMBridge_jdk13,1,388,3,34
VMBridge_jdk15,1,388,3,34
JsonParser,1,388,160,120
Kit,1,388,3,35
LazilyLoadedCtor,1,388,3,36
MemberBox,1,388,3,38
NativeArray,2,388,31,54
NativeBoolean,1,388,3,37
NativeCall,1,388,3,36
