ClassName,Changes,TotalCommits,Insertions,Deletions
ArArchiveEntry,1,32,0,6
ArArchiveOutputStream,1,32,0,4
ArjArchiveInputStream,3,32,14,12
CpioArchiveEntry,1,32,0,1
CpioArchiveInputStream,3,32,2,3
CpioArchiveOutputStream,1,32,1,1
DumpArchiveEntry,1,32,0,1
DumpArchiveException,1,32,0,1
SevenZFile,2,32,4,4
SevenZOutputFile,1,32,525,0
TarArchiveEntry,2,32,10,1
TarArchiveInputStream,4,32,211,133
TarArchiveOutputStream,2,32,68,17
TarBuffer,2,32,0,435
TarConstants,2,32,11,0
TarUtils,1,32,1,1
AbstractUnicodeExtraField,1,32,0,5
UnicodeCommentExtraField,2,32,4,10
UnicodePathExtraField,2,32,3,10
Zip64ExtendedInformationExtraField,2,32,3,43
ZipArchiveEntry,1,32,0,1
ZipArchiveInputStream,2,32,37,38
ZipFile,4,32,19,23
BZip2CompressorInputStream,2,32,1,8
BZip2CompressorOutputStream,2,32,3,12
GzipCompressorInputStream,1,32,0,1
GzipCompressorOutputStream,1,32,0,1
InMemoryCachingStreamBridge,1,32,0,3
Pack200CompressorInputStream,1,32,0,8
Pack200CompressorOutputStream,1,32,0,7
TempFileCachingStreamBridge,1,32,0,3
XZCompressorInputStream,1,32,0,5
XZCompressorOutputStream,1,32,0,3
ArchiveUtils,2,32,19,2
IOUtils,1,32,23,0
AbstractTestCase,1,32,0,1
ArjArchiveInputStreamTest,1,32,49,0
CpioArchiveInputStreamTest,1,32,9,10
LongPathTest,1,32,31,5
MemoryArchiveEntry,1,32,0,1
SevenZTestCase,1,32,85,0
BigFilesIT,1,32,38,5
TarArchiveInputStreamTest,1,32,7,4
TarArchiveOutputStreamTest,3,32,58,0
ZipFileTest,2,32,4,6
DetectArchiverTestCase,1,32,5,0
DetectCompressorTestCase,1,32,19,4
