ClassName,Changes,TotalCommits,Insertions,Deletions
Assertions,1,115,1,1
Constants,4,115,27,18
CSVFormat,34,115,730,206
CSVParser,14,115,103,15
CSVPrinter,5,115,4,185
CSVRecord,2,115,9,3
ExtendedBufferedReader,1,115,1,1
Lexer,1,115,1,1
JiraCsv164Test,3,115,57,0
JiraCsv167Test,3,115,88,0
CSVFileParserTest,2,115,21,21
CSVFormatTest,7,115,41,30
CSVParserTest,7,115,383,333
CSVPrinterTest,15,115,567,424
CSVRecordTest,2,115,22,20
ExtendedBufferedReaderTest,1,115,142,147
FercGovTest,1,115,0,89
JiraCsv167Test,4,115,0,64
LexerTest,1,115,204,208
PerformanceTest,1,115,121,109
PerformanceTest,1,115,13,14
