ClassName,Changes,TotalCommits,Insertions,Deletions
Base64Variant,2,64,57,13
GeneratorBase,1,64,4,0
ParserBase,9,64,38,6
ParserMinimalBase,4,64,52,33
InputCoercionException,3,64,73,0
JsonReadException,2,64,0,0
package-info,1,64,5,0
StreamReadException,1,64,102,0
NumberInput,1,64,19,24
NumberOutput,1,64,32,0
NonBlockingJsonParserBase,1,64,1,0
NonBlockingJsonParser,4,64,25,14
JsonFactoryBuilder,7,64,189,0
JsonFactory,10,64,309,206
JsonGenerator,11,64,47,52
JsonGeneratorImpl,1,64,4,0
JsonReadFeature,9,64,213,0
JsonWriteFeature,5,64,125,0
JsonParseException,2,64,20,50
JsonParser,13,64,39,10
JsonProcessingException,1,64,0,3
ReaderBasedJsonParser,10,64,31,17
UTF8DataInputJsonParser,7,64,25,12
UTF8JsonGenerator,7,64,24,16
UTF8StreamJsonParser,12,64,24,13
WriterBasedJsonGenerator,6,64,48,25
ObjectCodec,1,64,2,2
StreamReadFeature,5,64,133,0
StreamWriteFeature,4,64,172,0
TokenStreamFactory,3,64,187,0
TSFBuilder,4,64,291,0
DefaultPrettyPrinter,1,64,5,1
module-info,3,64,20,0
Base64CodecTest,1,64,29,1
BaseTest,2,64,6,1
AsyncCommentParsingTest,1,64,13,9
AsyncFieldNamesTest,1,64,4,4
AsyncMissingValuesInArrayTest,1,64,24,24
AsyncMissingValuesInObjectTest,1,64,16,19
AsyncNonStdNumbersTest,1,64,18,10
AsyncNonStdParsingTest,2,64,19,18
AsyncNumberCoercionTest,1,64,25,9
AsyncNumberLeadingZeroesTest,1,64,14,6
AsyncTokenFilterTest,3,64,1,0
GeneratorFeaturesTest,2,64,16,6
JsonFactoryTest,5,64,23,17
TestCharEscaping,1,64,45,4
TestCustomEscaping,1,64,1,1
TestDecorators,1,64,24,22
TestGeneratorWithSerializedString,2,64,144,55
TestRootValues,2,64,99,1
TestArrayParsing,1,64,10,9
TestGeneratorClosing,3,64,8,5
TestParserClosing,2,64,14,11
TestParserFeatures,4,64,15,7
TestPrettyPrinter,1,64,8,4
CommentParsingTest,2,64,22,14
JsonParserTest,3,64,3,2
NonStandardParserFeaturesTest,4,64,36,22
NumberCoercionTest,1,64,25,8
NumberOverflowTest,3,64,5,4
NumberParsingTest,3,64,9,4
TrailingCommasTest,2,64,30,32
TestHashCollisionChars,1,64,12,10
TestLocation,1,64,3,2
RequestPayloadTest,2,64,4,4
TestDefaultPrettyPrinter,1,64,15,0
TestDelegates,1,64,2,2
