ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractTypeResolver,1,65,1,1
AnnotationIntrospector,1,65,19,22
MapperBuilder,2,65,556,0
BasicDeserializerFactory,2,65,7,2
BeanDeserializer,1,65,0,0
DeserializationConfig,1,65,72,2
DeserializationContext,4,65,15,16
DeserializationFeature,1,65,2,2
EnumDeserializer,1,65,1,1
EnumMapDeserializer,1,65,1,1
StdDeserializer,2,65,4,1
StdKeyDeserializer,4,65,8,3
StdKeyDeserializers,1,65,1,3
StdValueInstantiator,2,65,13,2
ValueInstantiationException,1,65,57,0
NioPathDeserializer,1,65,0,0
JsonMapper,3,65,159,0
JsonNode,3,65,25,4
SubTypeValidator,3,65,1,1
MapperFeature,1,65,3,3
Module,1,65,1,1
ArrayNode,3,65,5,17
BaseJsonNode,2,65,16,0
BinaryNode,1,65,0,10
ContainerNode,1,65,17,8
InternalNodeMapper,1,65,37,0
JsonNodeCreator,1,65,3,0
JsonNodeFactory,1,65,5,0
MissingNode,1,65,0,6
ObjectNode,2,65,3,19
POJONode,1,65,0,14
TextNode,2,65,2,14
TreeTraversingParser,2,65,19,11
ValueNode,2,65,6,6
ObjectMapper,13,65,123,149
ObjectReader,6,65,63,22
SerializationConfig,2,65,71,1
PropertySerializerMap,1,65,26,5
NumberSerializers,1,65,23,12
TypeFactory,4,65,17,9
BaseMapTest,4,65,13,1
DeserializationConfigTest,1,65,7,7
SerConfigTest,1,65,5,11
CreatorPropertiesTest,2,65,3,2
TestCreators2,1,65,11,7
TestCreators3,2,65,7,7
HugeIntegerCoerceTest,2,65,2,3
NullConversionsForContentTest,1,65,5,5
ProblemHandlerTest,1,65,5,5
DateDeserializationTZTest,1,65,1,2
EnumAltIdTest,2,65,9,8
EnumDeserializationTest,2,65,5,4
JDKCollectionsDeserTest,1,65,1,1
JDKNumberDeserTest,2,65,3,2
MapDeserializationTest,1,65,2,2
MapKeyDeserializationTest,1,65,14,14
MapRelatedTypesDeserTest,1,65,1,1
UntypedDeserializationTest,1,65,27,0
ArrayMergeTest,1,65,2,2
CollectionMergeTest,1,65,2,2
MapMergeTest,1,65,2,2
MergeWithNullTest,1,65,2,2
NodeMergeTest,1,65,2,2
PropertyMergeTest,1,65,5,5
TestBasicAnnotations,2,65,9,6
TestSetterlessProperties,2,65,10,6
FullStreamReadTest,2,65,10,5
AutoDetect1947Test,2,65,3,2
BeanNamingTest,1,65,3,2
POJOPropertiesCollectorTest,1,65,6,4
TestInferredMutators,1,65,6,3
TestNamingStrategyStd,2,65,9,7
TestPropertyConflicts,2,65,6,5
TransientTest,1,65,3,2
VisibilityForSerializationTest,1,65,24,17
TestDefaultForArrays,1,65,6,1
ExternalTypeId999Test,1,65,1,1
TestBaseTypeAsDefault,1,65,6,4
TestGenericListSerialization,2,65,3,3
TestTypedArraySerialization,2,65,3,2
TestTypedContainerSerialization,1,65,1,1
MapperViaParserTest,1,65,24,24
AccessFixTest,1,65,3,2
CaseInsensitive1854Test,1,65,3,2
CaseInsensitiveDeserTest,1,65,4,6
MapperMixinsCopy1998Test,2,65,4,2
TestMixinMerging,1,65,10,10
TestMixinSerWithViews,2,65,10,8
TestAbstractTypes,1,65,2,2
TestDuplicateRegistration,1,65,9,6
ArrayNodeTest,1,65,3,0
EmptyContentAsTreeTest,4,65,140,0
JsonNodeFactoryTest,1,65,2,0
NodeTestBase,1,65,2,1
ObjectNodeTest,2,65,3,2
TestEndOfInputHandling,1,65,0,31
TestJsonNode,1,65,2,2
TestMissingNode,1,65,2,1
TestNullNode,1,65,1,0
TestTreeMapperSerializer,1,65,0,213
TestTreeTraversingParser,1,65,101,24
TextNodeTest,1,65,3,0
ToStringForNodesTest,1,65,37,0
TreeFromIncompleteJsonTest,1,65,36,0
TreeReadViaMapperTest,2,65,18,28
ObjectIdReordering1388Test,1,65,1,1
ObjectWithCreator1261Test,1,65,4,3
ObjectMapperTest,8,65,32,20
ObjectReaderTest,2,65,6,5
ObjectWriterTest,1,65,5,5
JsonValueTest,1,65,3,2
TestAnnotations,1,65,8,7
TestConfig,1,65,6,4
TestIterable,1,65,3,4
TestJsonSerialize,1,65,12,8
TestRootType,1,65,3,2
TestSerializationOrder,1,65,9,6
ScalarCoercionTest,1,65,6,6
TestUnwrapped,2,65,3,2
UnwrappedWithView1559Test,1,65,4,2
TestTokenBuffer,2,65,9,8
TestViewDeserialization,1,65,3,2
TestViewSerialization,1,65,3,2
TestViewsSerialization2,1,65,5,4
EnumAsIndexMapKey1877Test,2,65,0,2
NodeContext2049Test,1,65,0,0
RequireSetterForGetter736Test,1,65,6,5
StaticTyping1515Test,1,65,3,4
TestObjectIdWithUnwrapping1298,2,65,6,4
ManualReadPerfUntyped,2,65,6,5
ManualReadPerfUntypedReader,2,65,6,4
ManualReadPerfUntypedStream,2,65,7,5
ManualReadPerfWithMedia,1,65,3,3
ManualReadPerfWithRecord,1,65,2,2
ManualReadPerfWithUUID,1,65,2,2
ManualReadWithTypeResolution,1,65,2,1
ManualWritePerfUntyped,1,65,2,2
ManualWritePerfWithAllTypes,1,65,2,2
ManualWritePerfWithRecord,1,65,2,2
ManulWritePerfWithUUID,1,65,3,3
