ClassName,Changes,TotalCommits,Insertions,Deletions
FromXmlParser,4,53,93,70
XmlTokenStream,1,53,1,1
ToXmlGenerator,5,53,21,27
UnwrappingXmlBeanSerializer,1,53,5,6
XmlBeanSerializerBase,1,53,2,1
XmlBeanSerializer,1,53,3,4
XmlSerializerProvider,1,53,2,2
XmlFactory,1,53,2,0
XmlMapper,1,53,3,5
XmlTypeResolverBuilder,2,53,3,14
TestStringValues,1,53,1,13
ListDeser191Test,2,17,0,0
PolymorphicList97Test,1,15,64,0
TestDeserialization,1,53,1,1
TestStringValues162,1,53,44,0
TestUntypedListSerialization,1,53,1,1
DeserializePolyList178Test,1,16,86,0
EmptyListDeserTest,1,53,4,0
ListAnnotationSharingTest,1,53,1,1
ListAsObjectTest,1,53,0,7
ListDeser191Test,1,16,40,0
ListSerializationTest,1,53,0,2
UnwrappedListWithEmptyCData129Test,1,53,2,2
XmlTextTest,1,53,20,1
XmlParserTest,1,53,76,63
