ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractFactory,1,16,2,2
FunctionLibrary,1,16,1,1
JXPathBasicBeanInfo,1,16,8,20
JXPathContextFactoryConfigurationError,1,16,1,3
JXPathContext,1,16,15,27
JXPathException,1,16,9,20
MapDynamicPropertyHandler,1,16,0,2
ChildContext,1,16,4,17
InitialContext,2,16,1,4
PrecedingOrFollowingContext,1,16,0,2
PredicateContext,1,16,2,4
SimplePathInterpreter,1,16,40,61
UnionContext,1,16,2,5
Constant,1,16,3,11
CoreFunction,1,16,18,20
CoreOperationCompare,1,16,5,9
CoreOperation,1,16,16,31
Expression,1,16,1,4
ExpressionPath,4,16,4,9
ExtensionFunction,1,16,2,5
Compiler,1,16,1,1
LocationPath,1,16,1,5
Path,2,16,3,7
TreeCompiler,1,16,7,17
EvalContext,2,16,14,31
InfoSetUtil,1,16,27,50
JXPathContextReferenceImpl,1,16,1,6
BeanAttributeIterator,1,16,3,16
BeanPointer,1,16,4,4
CollectionPointerFactory,1,16,2,8
CollectionPointer,1,16,10,31
LangAttributePointer,1,16,1,9
NullPointer,1,16,6,15
NullPropertyPointer,1,16,36,42
PropertyIterator,2,16,1,7
PropertyOwnerPointer,1,16,10,32
PropertyPointer,1,16,6,13
ContainerPointerFactory,1,16,2,8
ContainerPointer,1,16,6,20
DOMAttributeIterator,1,16,2,10
DOMAttributePointer,1,16,6,21
DOMNodeIterator,1,16,1,4
DOMNodePointer,2,16,36,79
DOMPointerFactory,1,16,2,8
DynaBeanPointerFactory,1,16,2,8
DynaBeanPointer,1,16,7,17
DynaBeanPropertyPointer,1,16,1,6
DynamicPointer,2,16,2,7
DynamicPropertyPointer,1,16,1,6
JDOMAttributeIterator,2,16,0,76
JDOMAttributePointer,1,16,2,10
JDOMNamespacePointer,1,16,1,10
JDOMNodePointer,1,16,28,42
JDOMPointerFactory,1,16,2,2
NodePointer,1,16,17,59
VariablePointer,1,16,4,12
NamespaceResolver,1,16,0,1
Parser,1,16,3,5
QName,1,16,8,24
KeywordVariables,1,16,1,4
ServletRequestAndContext,1,16,3,6
BasicTypeConverter,1,16,63,79
JXPath11CompatibleTypeConverter,1,13,42,0
ReverseComparator,1,16,1,1
ValueUtils,2,16,22,32
XMLDocumentContainer,1,16,0,1
JXPathTestSuite,1,16,0,1
ExtensionFunctionTest,1,16,36,1
TestFunctions,1,16,5,0
BadlyImplementedFactoryTest,1,16,1,1
ContainerModelTest,1,16,0,1
DynamicPropertiesModelTest,1,16,0,1
TestBean,1,16,1,1
