ClassName,Changes,TotalCommits,Insertions,Deletions
BinaryComparator,4,331,0,0
FileHasher,2,332,0,0
PomComparator,4,0,31,0
PublicationsComparator,4,0,26,0
PublicationsComparatorTask,9,0,42,0
SourceJarComparator,4,338,0,0
ZipComparator,6,0,46,0
ZipCompare,7,0,132,0
DefaultProcessRunner,1,0,42,0
Exec,1,0,16,0
ProcessRunner,1,0,15,0
DefaultGitAuthor,2,173,30,0
DefaultGitTool,3,174,21,0
GitAuthor,2,174,12,0
Git,3,174,16,0
GitTool,2,174,13,0
Contribution,3,298,0,0
DefaultProcessRunner,2,273,0,0
Exec,6,273,0,0
ProcessRunner,4,273,0,0
GitCommit,2,298,0,0
GitNotesBuilder,6,273,43,0
DefaultImprovements,5,273,29,0
GitHubAuthToken,5,273,20,0
GitHubImprovementsProvider,7,273,22,0
GitHubTicketFetcher,10,273,211,0
Improvement,5,273,24,0
ImprovementSet,4,273,14,0
ImprovementSetProvider,2,285,0,0
Improvements,6,273,16,0
ImprovementsProvider,3,273,8,0
Contribution,2,296,0,0
GitCommit,2,296,0,0
Improvement,2,296,0,0
PreviousVersionProvider,2,341,0,0
NotesBuilder,6,273,16,0
Notes,6,273,30,0
NotesPrinter,3,273,20,0
PreviousVersionProvider,2,295,0,0
ReleaseNotesBuilderFactory,7,469,0,0
ReleaseNotesBuilder,7,469,0,0
ReleaseNotesServices,3,341,0,0
HumanReadable,3,273,12,0
IOUtil,4,272,67,0
Predicate,3,273,12,0
ReleaseNotesException,4,273,8,0
Commit,5,273,26,0
Contribution,5,273,37,0
ContributionSet,6,273,26,0
ContributionsProvider,4,273,12,0
DefaultContribution,5,294,0,0
DefaultContributionSet,10,273,62,0
GitCommit,5,273,35,0
GitContributionsProvider,5,273,41,0
GitLogProvider,4,273,17,0
IgnoreCiSkip,3,273,16,0
TicketParser,3,273,23,0
Vcs,8,273,16,0
FromNotesContent,4,273,28,0
PreviousVersion,3,273,12,0
Versions,4,273,14,0
ConfigurableReleaseStep,2,175,18,0
DefaultReleaseStep,6,200,53,0
DefaultReleaseSteps,10,200,57,0
ReleaseStep,6,200,12,0
ReleaseSteps,5,200,12,0
Steps,1,200,8,0
ArgumentValidation,3,273,31,0
InputOutput,4,273,0,0
Operation,1,200,5,0
Operations,1,200,14,0
DefaultVersionFile,1,135,48,0
DefaultVersionTool,3,139,0,0
VersionBumper,2,136,25,0
VersionFile,1,135,18,0
Version,4,139,16,0
VersionTool,3,139,0,0
PomComparator,2,274,0,0
PublicationsComparator,2,274,0,0
PublicationsComparatorTask,2,274,0,0
ZipComparator,2,274,0,0
ZipCompare,2,0,0,0
DefaultProcessRunner,2,274,0,0
Exec,2,274,0,0
ProcessRunner,2,274,0,0
GitNotesBuilder,2,274,0,0
DefaultImprovements,2,274,0,0
GitHubAuthToken,2,274,0,0
GitHubImprovementsProvider,2,274,0,0
GitHubTicketFetcher,2,274,0,0
Improvement,2,274,0,0
ImprovementSet,2,274,0,0
Improvements,2,274,0,0
ImprovementsProvider,2,274,0,0
NotesBuilder,2,274,0,0
Notes,2,274,0,0
NotesPrinter,2,274,0,0
HumanReadable,2,274,0,0
Predicate,2,274,0,0
ReleaseNotesException,2,274,0,0
Commit,2,274,0,0
Contribution,2,274,0,0
ContributionSet,2,274,0,0
ContributionsProvider,2,274,0,0
DefaultContributionSet,2,274,0,0
GitCommit,2,274,0,0
GitContributionsProvider,2,274,0,0
GitLogProvider,2,274,0,0
IgnoreCiSkip,2,274,0,0
TicketParser,2,274,0,0
Vcs,2,274,0,0
FromNotesContent,2,274,0,0
PreviousVersion,2,274,0,0
Versions,2,274,0,0
ArgumentValidation,2,274,0,0
InputOutput,2,274,0,0
AnnotationVisitor,1,1366,97,97
AnnotationWriter,1,1366,316,316
Attribute,1,1366,254,254
ByteVector,1,1366,293,293
ClassAdapter,1,1366,121,121
ClassReader,1,1366,2009,2009
ClassVisitor,1,1366,196,196
ClassWriter,1,1366,1344,1344
Edge,1,1366,75,75
FieldVisitor,1,1366,64,64
FieldWriter,1,1366,269,269
Frame,1,1366,1402,1402
Handler,1,1366,70,70
Item,1,1366,256,256
Label,1,1366,526,526
MethodAdapter,1,1366,195,195
MethodVisitor,1,1366,395,395
MethodWriter,1,1366,2601,2601
Opcodes,1,1366,341,341
SignatureReader,1,1366,229,229
SignatureVisitor,1,1366,185,185
SignatureWriter,1,1366,206,206
AbstractInsnNode,1,1366,233,233
AnalyzerException,1,1366,56,56
Analyzer,1,1366,507,507
BasicInterpreter,1,1366,321,321
BasicValue,1,1366,104,104
BasicVerifier,1,1366,423,423
Frame,1,1366,667,667
Interpreter,1,1366,178,178
SimpleVerifier,1,1366,284,284
SmallSet,1,1366,126,126
SourceInterpreter,1,1366,174,174
SourceValue,1,1366,95,95
Subroutine,1,1366,92,92
Value,1,1366,45,45
AnnotationNode,1,1366,191,191
ClassNode,1,1366,280,280
FieldInsnNode,1,1366,103,103
FieldNode,1,1366,127,127
FrameNode,1,1366,208,208
IincInsnNode,1,1366,76,76
InnerClassNode,1,1366,101,101
InsnList,1,1366,640,640
InsnNode,1,1366,81,81
IntInsnNode,1,1366,81,81
JumpInsnNode,1,1366,89,89
LabelNode,1,1366,74,74
LdcInsnNode,1,1366,73,73
LineNumberNode,1,1366,79,79
LocalVariableNode,1,1366,115,115
LookupSwitchInsnNode,1,1366,113,113
MemberNode,1,1366,120,120
MethodInsnNode,1,1366,103,103
MethodNode,1,1366,490,490
MultiANewArrayInsnNode,1,1366,77,77
TableSwitchInsnNode,1,1366,111,111
TryCatchBlockNode,1,1366,94,94
TypeInsnNode,1,1366,83,83
VarInsnNode,1,1366,86,86
Type,1,1366,794,794
AbstractVisitor,1,1366,202,202
ASMifiable,1,1366,53,53
ASMifierAbstractVisitor,1,1366,222,222
ASMifierAnnotationVisitor,1,1366,127,127
ASMifierClassVisitor,1,1366,575,575
ASMifierFieldVisitor,1,1366,50,50
ASMifierMethodVisitor,1,1366,443,443
CheckAnnotationAdapter,1,1366,132,132
CheckClassAdapter,1,1366,480,480
CheckFieldAdapter,1,1366,77,77
CheckMethodAdapter,1,1366,1328,1328
CheckSignatureAdapter,1,1366,290,290
Traceable,1,1366,52,52
TraceAbstractVisitor,1,1366,179,179
TraceAnnotationVisitor,1,1366,266,266
TraceClassVisitor,1,1366,523,523
TraceFieldVisitor,1,1366,78,78
TraceMethodVisitor,1,1366,567,567
TraceSignatureVisitor,1,1366,300,300
CallbackFilter,1,1366,5,2
CallbackHelper,1,1366,1,1
Enhancer,1,1366,2,4
Proxy,1,1366,2,2
ByteBuddyCrossClassLoaderSerializationSupport,1,55,388,0
ByteBuddyMockMaker,1,55,100,0
CachingMockBytecodeGenerator,1,55,132,0
InterceptedInvocation,2,55,202,0
MockBytecodeGenerator,3,55,68,0
MockFeatures,1,55,20,0
MockMethodInterceptor,2,55,129,0
ByteBuddyMockMakerTest,3,55,164,0
CachingMockBytecodeGeneratorTest,1,55,99,0
AcrossJVMSerializationFeature,1,55,423,0
CGLIBHacker,1,55,42,0
CglibMockMaker,1,55,51,0
ClassImposterizer,2,55,164,0
DelegatingMockitoMethodProxy,1,55,21,0
MethodInterceptorFilter,1,55,83,0
MockitoNamingPolicy,1,55,17,0
SerializableMockitoMethodProxy,1,55,44,0
SerializableNoOp,1,55,20,0
DeserializeMockFromFile,1,54,62,0
MockUtilTest,1,54,22,0
SerializeMockToFile,1,54,75,0
ThreadsRunAllTestsHalfManualTest,1,54,188,0
CGLIBHackerTest,1,55,46,0
ClassImposterizerTest,1,55,96,0
MethodInterceptorFilterTest,1,55,109,0
SerializableMockitoMethodProxyTest,1,55,51,0
AdditionalAnswers,13,941,198,0
AdditionalMatchers,3,1366,32,31
Answers,11,1270,94,0
ArgumentCaptor,16,1366,172,122
ArgumentMatcher,4,0,10,7
BDDMockito,25,1366,416,245
Captor,14,1314,40,0
AnnotationEngine,7,1366,40,33
DefaultMockitoConfiguration,6,1366,56,47
IMockitoConfiguration,5,1366,83,77
MockitoAssertionError,3,1366,3,2
MockitoException,3,1366,14,2
MockitoSerializationIssue,2,767,49,0
Discrepancy,6,1366,16,31
CannotStubVoidMethodWithReturnValue,1,412,9,0
CannotVerifyStubOnlyMock,1,829,15,0
FriendlyReminderException,2,1123,17,0
InvalidUseOfMatchersException,1,1366,1,0
MissingMethodInvocationException,1,1366,1,0
MockitoConfigurationException,3,1366,19,19
NotAMockException,1,1366,1,0
NullInsteadOfMockException,1,1366,1,0
UnfinishedStubbingException,1,1366,1,0
UnfinishedVerificationException,1,1366,1,0
WrongTypeOfReturnValue,3,1366,16,16
Pluralizer,6,1366,13,12
PrintableInvocation,5,1366,11,4
Reporter,75,1366,498,151
StackTraceCleaner,2,875,26,0
ArgumentsAreDifferent,1,1366,1,0
ArgumentsAreDifferent,3,1366,3,3
JUnitTool,6,1366,21,35
NeverWantedButInvoked,1,1366,1,0
NoInteractionsWanted,1,1366,1,0
SmartNullPointerException,3,1366,15,15
TooLittleActualInvocations,1,1366,1,0
TooManyActualInvocations,1,1366,1,0
VerificationInOrderFailure,1,1366,1,0
WantedButNotInvoked,1,1366,1,0
Incubating,2,943,30,0
InjectMock,4,1311,0,0
InjectMocks,21,1289,163,0
InOrder,5,1366,36,7
CaptorAnnotationProcessor,3,996,28,0
ClassPathLoader,19,1366,82,36
DefaultAnnotationEngine,17,1366,86,32
DefaultInjectionEngine,15,1311,28,0
FieldAnnotationProcessor,2,996,15,0
GlobalConfiguration,7,1366,68,61
InjectingAnnotationEngine,24,1311,103,0
ConstructorInjection,5,1099,92,0
FinalMockCandidateFilter,5,1099,48,0
MockCandidateFilter,4,1099,18,0
NameBasedCandidateFilter,4,1099,34,0
OngoingInjecter,4,1099,23,0
TypeBasedCandidateFilter,4,1099,30,0
FinalMockCandidateFilter,4,1151,0,0
Injecter,2,1151,0,0
MockCandidateFilter,3,1151,0,0
MockInjection,6,1099,97,0
MockInjectionStrategy,3,1099,91,0
NameBasedCandidateFilter,3,1151,0,0
