ClassName,Changes,TotalCommits,Insertions,Deletions
ContainerBuilder,1,54,247,0
AnnotationIntrospector,5,270,40,13
JsonDeserialize,1,270,8,4
JsonSerialize,1,270,13,6
ConfigFeature,1,270,7,0
MapperConfigBase,1,270,30,18
BasicDeserializerFactory,10,270,171,95
BeanDeserializerBase,4,270,39,10
BeanDeserializerBuilder,4,270,2,2
BeanDeserializerFactory,4,270,16,7
BeanDeserializer,8,270,91,97
BuilderBasedDeserializer,1,270,19,21
CreatorProperty,3,270,16,39
DeserializerCache,3,270,1,7
DeserializationConfig,4,270,25,18
DeserializationContext,7,270,47,46
DeserializationFeature,5,270,62,7
BeanAsArrayBuilderDeserializer,1,270,1,2
BeanAsArrayDeserializer,1,270,1,2
BeanPropertyMap,13,270,321,349
CreatorCollector,1,270,17,9
ExternalTypeHandler,1,270,1,1
InnerClassProperty,1,270,1,1
ManagedReferenceProperty,1,270,8,8
NoClassDefFoundDeserializer,1,270,3,3
NullProvider,2,270,2,3
ObjectIdReferenceProperty,1,270,5,6
ObjectIdValueProperty,2,270,4,11
PropertyBasedCreator,5,270,31,59
PropertyValueBuffer,6,270,135,32
SettableBeanProperty,3,270,2,17
ArrayBlockingQueueDeserializer,1,270,1,1
AtomicReferenceDeserializer,1,270,8,3
CollectionDeserializer,2,270,2,2
DateDeserializers,1,270,10,11
DelegatingDeserializer,2,270,14,0
EnumDeserializer,7,270,62,44
EnumMapDeserializer,2,270,1,1
JsonLocationInstantiator,1,270,1,1
JsonNodeDeserializer,5,270,91,71
MapDeserializer,8,270,94,81
MapEntryDeserializer,1,270,1,1
NumberDeserializers,6,270,191,173
ObjectArrayDeserializer,2,270,2,2
StdDeserializer,4,270,201,129
StdKeyDeserializer,2,270,2,2
StdKeyDeserializers,1,270,2,2
StringArrayDeserializer,1,270,1,1
StringCollectionDeserializer,2,270,2,2
StringDeserializer,1,270,4,1
UntypedObjectDeserializer,6,270,180,128
CoreXMLSerializers,1,270,2,8
AnnotatedClass,4,270,4,3
AnnotatedField,1,270,6,0
AnnotationIntrospectorPair,2,270,25,2
BasicBeanDescription,4,270,116,71
BasicClassIntrospector,1,270,2,2
BeanPropertyDefinition,3,270,7,3
ClassIntrospector,1,270,10,0
JacksonAnnotationIntrospector,9,270,152,115
POJOPropertiesCollector,8,270,248,169
POJOPropertyBuilder,4,270,118,106
SimpleMixInResolver,2,181,101,0
JavaType,4,270,15,0
JsonDeserializer,2,270,87,50
JsonFormatTypes,1,270,13,5
JsonValueFormat,1,270,35,63
JsonNode,2,270,30,2
JsonSerializable,2,270,22,3
JsonSerializer,4,270,21,4
AsExternalTypeSerializer,2,270,84,85
StdSubtypeResolver,3,270,159,18
StdTypeResolverBuilder,1,270,2,4
TypeDeserializerBase,1,270,1,1
SubtypeResolver,2,270,95,4
TypeSerializer,1,270,1,1
MapperFeature,3,270,14,5
MappingIterator,4,270,156,42
ArrayNode,3,270,63,10
ContainerNode,1,270,5,9
FloatNode,2,270,3,3
JsonNodeCreator,1,270,19,1
JsonNodeFactory,2,270,8,12
ObjectNode,5,270,46,13
POJONode,2,270,14,5
ObjectMapper,17,270,349,206
ObjectReader,6,270,33,12
ObjectWriter,5,270,42,13
package-info,2,270,54,24
PropertyMetadata,2,270,8,3
PropertyName,1,270,13,3
BasicSerializerFactory,6,270,24,10
BeanPropertyWriter,4,270,81,36
BeanSerializerFactory,7,270,54,12
DefaultSerializerProvider,1,270,4,2
SerializationConfig,2,270,87,13
SerializationFeature,4,270,42,30
SerializerProvider,5,270,30,8
JsonSerializerMap,4,270,0,95
ReadOnlyClassToSerializerMap,5,270,139,46
SimpleBeanPropertyFilter,1,270,21,3
UnknownSerializer,1,270,20,10
PropertyBuilder,2,270,8,1
SerializerCache,3,270,31,115
AsArraySerializerBase,1,270,1,1
AtomicReferenceSerializer,1,128,53,0
BeanSerializerBase,5,270,42,31
DateTimeSerializerBase,1,270,23,15
EnumMapSerializer,4,270,3,3
EnumSerializer,4,270,7,6
JsonValueSerializer,1,270,57,2
MapProperty,1,270,1,13
MapSerializer,5,270,16,8
NumberSerializers,1,270,26,23
ObjectArraySerializer,1,270,3,4
SerializableSerializer,2,270,14,6
StdDelegatingSerializer,2,270,2,7
StdJdkSerializers,1,270,7,32
StdSerializer,3,270,2,2
ArrayType,1,270,3,3
CollectionLikeType,1,270,1,1
CollectionType,1,270,1,1
MapLikeType,1,270,1,1
MapType,1,270,1,1
ReferenceType,2,130,193,0
SimpleType,3,270,18,4
TypeBindings,2,270,1,1
TypeFactory,6,270,90,13
ClassUtil,1,270,17,14
CompactStringObjectMap,5,245,135,0
EmptyIterator,1,270,1,1
EnumResolver,2,270,44,36
EnumValues,4,270,38,24
ISO8601Utils,2,270,12,1
RawValue,3,199,125,0
RootNameLookup,1,270,1,1
SimpleBeanPropertyDefinition,2,270,23,18
StdDateFormat,1,270,1,1
TokenBuffer,4,270,105,88
TypeKey,3,264,130,0
BaseMapTest,3,270,10,1
TestContextAttributeWithDeser,1,270,5,5
ConvertingAbstractSerializer795Test,1,55,81,0
NumericConversionTest,1,120,69,0
TestMapConversions,1,270,15,0
TestStringConversions,1,270,33,1
TestUpdateValue,2,270,1,0
BigCreatorTest,1,101,70,0
ImplicitParamsForCreatorTest,1,270,4,5
MultiArgConstructorTest,1,251,104,0
RequiredCreatorTest,2,101,67,0
TestBuilderSimple,2,270,0,0
TestCreatorNullValue,2,270,2,2
TestPolymorphicCreators,1,270,1,1
TestValueUpdate,1,270,1,1
MiscDeprecatedTest,1,53,28,0
TestAnnotationIgnore,1,270,1,1
TestBeanDeserializer,2,270,44,3
TestCustomDeserializers,4,270,21,2
TestDateDeserialization,2,270,2,2
TestEnumDeserialization,3,270,1,1
TestExceptionHandlingWithDefaultDeserialization,1,48,0,0
TestExceptionHandlingWithJsonCreatorDeserialization,2,48,2,5
TestInjectables,1,270,32,16
TestJdkTypes,1,270,0,1
TestMapDeserialization,4,270,28,8
TestNullHandling,2,270,4,4
TestPolymorphicDeserialization676,2,91,116,0
TestSimpleAtomicTypes,2,270,41,1
TestSimpleTypes,1,270,1,1
UntypedNumbersTest,2,47,137,0
IgnorePropsTest,1,69,125,0
ReadOnlyProperties95Test,1,69,29,0
TestJsonFilter,2,270,11,4
TestUnknownPropertyDeserialization,1,270,1,1
TestCglibUsage,1,270,0,50
TestGroovyBeans,1,270,0,76
TestHibernate,1,270,0,61
ImplicitNameMatchTest,2,72,0,0
NoClassDefFoundWorkaroundTest,1,11,55,0
TestAnnotionBundles,1,270,1,1
TestAutoDetect,1,270,1,1
TestNameConflicts,1,270,1,1
TestPOJOPropertiesCollector,1,270,21,21
TestScalaLikeImplicitProperties,3,270,181,0
TransientFieldTest,1,67,32,0
NewSchemaTest,3,160,117,0
