ClassName,Changes,TotalCommits,Insertions,Deletions
Connection,1,6,8,1
DataUtil,1,6,1,1
HttpConnection,1,6,5,0
Attribute,1,6,4,4
Attributes,1,6,74,19
Document,1,6,3,2
Element,1,6,6,5
Entities,1,6,125,76
Node,1,6,8,7
HtmlTreeBuilder,1,6,13,9
HtmlTreeBuilderState,1,6,51,49
Parser,1,6,15,4
ParseSettings,1,6,59,0
Tag,1,6,17,3
Tokeniser,2,6,32,18
TokeniserState,2,6,14,14
Token,2,6,17,1
TreeBuilder,1,6,7,7
XmlTreeBuilder,1,6,16,8
Evaluator,2,6,4,3
QueryParser,2,6,2,2
Selector,2,6,1,1
UrlConnectTest,3,6,58,7
AttributesTest,1,6,9,3
BuildEntities,1,0,136,0
ElementTest,1,6,3,2
EntitiesTest,1,6,53,2
HtmlParserTest,3,6,42,0
ParserSettingsTest,1,6,27,0
TagTest,1,6,8,2
XmlTreeBuilderTest,1,6,23,2
CleanerTest,1,6,1,1
SelectorTest,2,6,5,4
