ClassName,Changes,TotalCommits,Insertions,Deletions
AngularPass,1,56,5,5
CheckEventfulObjectDisposal,1,56,233,182
CommandLineRunner,1,56,2,0
CompilationLevel,1,56,1,4
Compiler,1,56,1,1
CompilerOptions,2,56,17,0
CoverageUtil,1,56,1,0
DefaultPassConfig,2,56,17,2
DiagnosticGroups,2,56,19,6
FileInstrumentationData,1,56,1,0
FindExportableNodes,1,56,65,26
GenerateExports,1,56,114,65
GlobalNamespace,2,56,17,3
AdjacencyGraph,1,56,1,1
Graph,2,56,3,3
LinkedDirectedGraph,2,56,6,6
InlineVariables,2,56,0,0
IRFactory,3,56,16,8
PeepholeFoldConstants,1,56,27,14
ReferenceCollectingCallback,3,56,3,0
RemoveUnusedClassProperties,5,56,22,4
RescopeGlobalSymbols,1,56,30,23
TypeCheck,1,56,3,34
TypedScopeCreator,1,56,9,3
TypeInference,2,56,27,7
VarCheck,1,56,2,13
WhitelistWarningsGuard,1,56,2,2
JSTypeExpression,1,56,4,0
JSType,1,56,0,15
JSTypeRegistry,2,56,8,57
NamedType,1,56,6,4
NamespaceType,1,5,88,0
UnresolvedTypeExpression,1,56,0,83
Node,1,56,1,1
AngularPassTest,1,56,5,0
CheckEventfulObjectDisposalTest,1,56,61,32
CollapsePropertiesTest,2,56,69,0
CommandLineRunnerTest,1,56,12,4
CompilerTestCase,1,56,32,0
GenerateExportsTest,2,56,43,1
InlineVariablesConstantsTest,1,56,0,6
InlineVariablesTest,4,56,6,1
IntegrationTest,5,56,98,24
JsDocInfoParserTest,1,56,7,0
ParserTest,2,56,17,0
PeepholeFoldConstantsTest,1,56,3,0
RemoveUnusedClassPropertiesTest,5,56,42,11
RescopeGlobalSymbolsTest,1,56,107,61
TypeCheckTest,3,56,69,0
VarCheckTest,1,56,14,46
JSTypeRegistryTest,2,56,0,68
