ClassName,Changes,TotalCommits,Insertions,Deletions
ArArchiveEntry,5,229,9,5
ArArchiveInputStream,6,229,148,24
ArArchiveOutputStream,2,229,43,5
ArchiveInputStream,2,229,2,0
ArchiveOutputStream,2,229,2,0
ArchiveStreamFactory,3,229,32,2
CpioArchiveEntry,2,229,2,0
CpioArchiveInputStream,2,229,10,5
CpioArchiveOutputStream,3,229,11,5
Dirent,3,49,84,0
DumpArchiveConstants,1,49,91,0
DumpArchiveEntry,7,49,807,0
DumpArchiveException,2,49,46,0
DumpArchiveInputStream,17,49,523,0
DumpArchiveSummary,4,49,333,0
DumpArchiveUtil,4,49,157,0
InvalidFormatException,1,49,43,0
ShortFileException,1,49,32,0
TapeInputStream,5,49,357,0
UnrecognizedFormatException,1,49,32,0
UnsupportedCompressionAlgorithmException,1,49,38,0
JarArchiveEntry,2,229,4,8
JarArchiveInputStream,1,229,1,0
JarArchiveOutputStream,1,229,1,0
Lister,2,229,9,4
TarArchiveEntry,4,229,164,8
TarArchiveInputStream,7,229,140,50
TarArchiveOutputStream,2,229,8,1
TarArchiveSparseEntry,1,181,63,0
TarBuffer,2,229,6,11
TarConstants,1,229,78,0
TarUtils,3,229,71,22
AbstractUnicodeExtraField,1,229,19,3
AsiExtraField,1,229,1,0
ExtraFieldUtils,3,229,8,6
GeneralPurposeBit,1,229,2,0
Simple8BitZipEncoding,4,229,23,9
UnsupportedZipFeatureException,2,229,2,0
Zip64ExtendedInformationExtraField,8,189,356,0
Zip64Mode,1,69,47,0
Zip64RequiredException,2,69,49,0
ZipArchiveEntry,9,229,83,9
ZipArchiveInputStream,18,229,420,161
ZipArchiveOutputStream,36,229,701,175
ZipConstants,5,165,61,0
ZipEightByteInteger,6,193,232,0
ZipEncodingHelper,1,229,3,4
ZipFile,19,229,392,130
ZipLong,5,229,20,4
ZipShort,5,229,12,3
ZipUtil,1,229,4,0
ChangeSet,2,229,7,7
ChangeSetPerformer,3,229,18,18
ChangeSetResults,2,229,6,6
BZip2CompressorInputStream,4,229,10,6
BZip2CompressorOutputStream,2,229,7,2
BZip2Utils,1,229,2,1
CompressorInputStream,1,229,1,0
CompressorStreamFactory,1,229,30,11
GzipCompressorInputStream,2,229,14,0
GzipCompressorOutputStream,1,229,4,0
GzipUtils,1,229,4,2
InMemoryCachingStreamBridge,1,14,45,0
InMemoryStreamSwitcher,2,17,0,0
Pack200CompressorInputStream,2,17,253,0
Pack200CompressorOutputStream,3,17,140,0
Pack200Strategy,1,14,44,0
Pack200Utils,4,12,158,0
StreamBridge,1,14,75,0
StreamMode,2,17,0,0
StreamSwitcher,2,17,0,0
TempFileCachingStreamBridge,1,14,56,0
TempFileStreamSwitcher,2,17,0,0
CountingInputStream,2,1,77,0
CountingOutputStream,2,1,72,0
AbstractTestCase,7,229,51,22
ArchiveReadTests,3,229,4,2
ArArchiveInputStreamTest,3,186,56,0
ArArchiveOutputStreamTest,1,70,77,0
ArchiveOutputStreamTest,1,229,2,0
ArTestCase,1,229,12,20
CpioTestCase,2,229,15,23
DumpTestCase,5,34,119,0
ExceptionMessageTest,1,229,18,0
JarArchiveOutputStreamTest,1,229,3,3
LongPathTest,6,229,11,7
MemoryArchiveInputStream,1,229,2,0
SparseFilesTest,1,176,46,0
TarArchiveEntryTest,1,229,3,0
TarUtilsTest,2,229,50,4
TarTestCase,2,229,14,22
DeflaterInflaterTest,2,100,0,0
ExtraFieldUtilsTest,2,229,12,2
Lister,1,229,2,2
ZipTestCase,2,229,16,24
UTF8ZipFilesTest,3,229,46,10
Zip64ExtendedInformationExtraFieldTest,3,189,239,0
Zip64SupportIT,8,58,2566,0
Zip64SupportTest,39,144,0,0
ZipArchiveEntryTest,1,229,11,9
ZipEightByteIntegerTest,1,193,117,0
ZipFileTest,5,229,16,4
ZipUtilTest,1,229,2,0
ChainingTestCase,1,199,49,0
ChangeSetTestCase,4,229,14,14
Pack200UtilsTest,2,12,119,0
Pack200TestCase,2,17,159,0
DetectArchiverTestCase,1,229,15,0
