ClassName,Changes,TotalCommits,Insertions,Deletions
Assertions,1,126,3,1
Constants,1,126,1,1
CSVFormat,17,126,408,128
CSVParser,11,126,57,10
CSVPrinter,11,126,56,30
CSVRecord,8,126,39,13
ExtendedBufferedReader,3,126,17,2
Lexer,7,126,15,5
QuoteMode,2,126,3,4
CSVBenchmark,5,57,210,0
CSVFileParserTest,2,126,23,19
CSVFormatPredefinedTest,2,37,57,0
CSVFormatTest,4,126,43,15
CSVParserTest,8,126,238,179
CSVPrinterTest,9,126,134,5
CSVRecordTest,1,126,2,2
JiraCsv167Test,2,6,64,0
LexerTest,1,126,4,4
TokenMatchers,1,126,3,0
Utils,1,126,2,2
