ClassName,Changes,TotalCommits,Insertions,Deletions
GeneratorBase,2,51,49,20
ParserBase,2,51,38,7
ParserMinimalBase,2,51,6,18
DupDetector,1,51,9,2
JsonFactory,1,51,0,10
JsonGenerationException,1,51,47,7
JsonGenerator,3,51,34,8
JsonReadContext,2,51,4,12
JsonWriteContext,1,51,5,1
JsonParseException,1,51,58,2
JsonParser,3,51,10,5
JsonPointer,1,51,1,1
JsonProcessingException,1,51,18,2
ReaderBasedJsonParser,8,51,328,57
UTF8JsonGenerator,1,51,30,37
UTF8StreamJsonParser,11,51,93,46
WriterBasedJsonGenerator,2,51,1,1
ByteQuadsCanonicalizer,1,51,4,1
BytesToNameCanonicalizer,1,51,0,1322
DefaultPrettyPrinter,1,51,8,56
JsonGeneratorDelegate,1,51,13,0
JsonParserDelegate,1,51,13,0
Version,2,51,17,8
LocationInArrayTest,1,2,66,0
TestLocation,1,51,6,6
TestNextXxx,4,51,82,25
TestNumericValues,1,51,1,1
TestRootValues,1,51,23,0
TestUtf8Generator,1,51,1,1
SymbolsViaParserTest,1,51,0,1
TestSymbolTables,2,51,0,115
TestExceptions,1,51,32,2
TestNumberPrinting,1,51,1,1
LocationInArrayTest,3,6,0,0
LocationInObjectTest,1,6,99,0
Surrogate223Test,1,2,90,0
