ClassName,Changes,TotalCommits,Insertions,Deletions
FromXmlParser,4,49,20,5
XmlTokenStream,1,49,42,6
JacksonXmlModule,1,49,1,1
ToXmlGenerator,5,49,7,21
UnwrappingXmlBeanSerializer,1,49,5,6
XmlBeanSerializerBase,1,49,2,1
XmlBeanSerializer,1,49,3,4
XmlFactory,1,49,2,0
XmlMapper,1,49,3,5
XmlTypeResolverBuilder,2,49,3,14
EmptyListDeser124Test,1,46,30,0
SupportDTDDefaultsTest,1,42,23,0
TestUnwrappedDeserIssue86,1,49,4,0
UnwrappingWithXMLTest,1,49,1,1
XmlTextTest,2,49,53,1
XmlParserNextXxxTest,1,48,55,0
XmlParserTest,2,49,76,62
