ClassName,Changes,TotalCommits,Insertions,Deletions
ArArchiveEntry,3,79,225,107
ArArchiveInputStream,5,79,654,382
ArArchiveOutputStream,3,79,268,208
ArchiveInputStream,1,79,175,52
ArchiveStreamFactory,1,79,962,539
CpioArchiveEntry,8,79,615,340
CpioArchiveInputStream,9,79,462,348
CpioArchiveOutputStream,9,79,560,430
CpioConstants,3,79,107,89
CpioUtil,2,79,53,19
JarArchiveEntry,1,79,111,80
JarArchiveInputStream,1,79,108,98
JarArchiveOutputStream,1,79,56,29
TarArchiveEntry,1,79,3780,3063
TarArchiveInputStream,3,79,1815,1174
TarArchiveOutputStream,1,79,1760,1134
TarBuffer,2,79,360,869
TarUtils,1,79,838,461
AbstractUnicodeExtraField,1,79,104,59
AsiExtraField,1,79,241,313
ExtraFieldUtils,1,79,382,265
FallbackZipEncoding,1,79,30,124
JarMarker,1,79,21,6
NioZipEncoding,1,79,228,134
Simple8BitZipEncoding,1,79,326,326
UnicodeCommentExtraField,1,79,43,33
UnicodePathExtraField,1,79,39,30
UnrecognizedExtraField,1,79,118,122
ZipArchiveEntry,2,79,1384,858
ZipArchiveInputStream,4,79,2097,1003
ZipArchiveOutputStream,2,79,3413,1796
ZipEncodingHelper,2,79,310,385
ZipFile,1,79,4248,3582
ZipLong,3,79,231,137
ZipShort,1,79,154,111
ZipUtil,2,79,367,114
Change,2,79,187,106
ChangeSet,2,79,365,250
BZip2CompressorInputStream,2,79,1308,1173
BZip2CompressorOutputStream,3,79,1889,2186
CRC,1,79,207,181
CompressorStreamFactory,1,79,1303,603
IOUtils,2,79,231,45
AbstractTestCase,9,79,893,510
ArTestCase,6,79,492,204
CpioTestCase,2,79,411,114
JarTestCase,1,79,84,55
TarTestCase,1,79,376,111
ZipTestCase,2,79,936,405
UTF8ZipFilesTest,2,79,402,181
ZipUtilTest,1,79,312,82
ChangeSetTestCase,6,79,2340,1097
BZip2TestCase,1,79,152,89
GZipTestCase,1,79,362,129
DetectArchiverTestCase,2,79,219,134
