ClassName,Changes,TotalCommits,Insertions,Deletions
Base64Variants,1,201,35,16
GeneratorBase,3,201,478,483
ParserBase,4,201,543,431
ParserMinimalBase,8,201,698,495
DataFormatDetector,1,201,44,18
BaseReader,2,201,2,118
CharacterEscapes,1,201,7,8
CharTypes,2,201,90,67
InputDecorator,1,201,31,7
IOContext,7,201,184,129
JsonStringEncoder,2,201,195,183
MergedStream,1,201,37,61
NumberInput,3,201,188,189
NumberOutput,1,201,640,513
OutputDecorator,2,201,6,8
SegmentedStringWriter,1,201,16,33
SerializedString,2,201,236,78
UTF32Reader,3,201,168,108
ByteSourceJsonBootstrapper,3,201,89,75
JsonFactory,11,201,1908,1009
JsonGenerationException,1,201,58,12
JsonGenerator,5,201,1682,811
JsonReadContext,1,201,181,161
JsonWriteContext,2,201,167,138
JsonParseException,1,201,232,145
JsonParser,4,201,1260,752
JsonPointer,2,201,395,164
JsonProcessingException,1,201,101,47
ReaderBasedJsonParser,29,201,2314,1233
JsonStreamContext,1,201,188,23
JsonToken,1,201,134,91
UTF8JsonGenerator,6,201,1121,783
UTF8StreamJsonParser,28,201,2620,1792
WriterBasedJsonGenerator,5,201,769,612
ObjectCodec,2,201,107,83
package-info,1,201,5,7
BytesToNameCanonicalizer,11,201,883,1851
CharsToNameCanonicalizer,11,201,751,515
Name1,2,201,13,28
Name2,1,201,9,17
Name3,1,201,13,16
NameN,2,201,75,43
TreeCodec,1,201,2,7
TreeNode,1,201,246,17
TypeReference,1,201,18,20
BufferRecycler,6,201,140,92
ByteArrayBuilder,1,201,65,81
FilterJsonGenerator,0,201,0,0
InternCache,2,201,49,33
JsonGeneratorDelegate,7,201,950,765
JsonParserDelegate,2,201,312,315
JsonParserSequence,1,201,141,50
TextBuffer,4,201,317,159
VersionUtil,1,201,360,274
Version,2,201,93,39
TestBase64Codec,1,201,60,60
TestBase64Generation,1,201,128,128
TestBase64Parsing,1,201,153,153
TestJsonParserBinary,1,201,156,156
BaseTest,1,201,698,97
TestJsonParserSymbols,2,9,0,43
TestJsonFormatDetection,1,201,1,1
TestCharTypes,1,201,1,3
TestIOContext,1,201,6,6
TestJDKSerializable,1,201,2,32
TestJsonStringEncoder,1,201,102,36
TestMergedStream,1,201,1,1
TestUTF8Writer,1,201,1,61
TestCharEscaping,3,201,213,8
TestComments,3,201,290,290
TestCustomEscaping,2,201,79,44
TestDecorators,1,201,31,28
TestGeneratorDupHandling,1,201,53,23
TestGeneratorWithSerializedString,1,201,241,57
TestJsonFactory,1,201,87,87
TestJsonGeneratorFeatures,1,201,271,271
TestJsonGenerator,3,201,403,403
TestJsonParser,5,201,267,812
TestLocation,1,201,35,88
TestNextXxx,3,201,625,728
TestNumericValues,6,201,649,649
TestParserDupHandling,1,201,53,108
TestParserErrorHandling,1,201,36,113
TestParserNonStandard,1,201,66,515
TestParserOverrides,1,201,12,13
TestParserSymbols,2,9,64,65
TestRootValues,1,201,210,7
TestUnicode,1,201,40,1
TestUtf8Generator,2,201,112,23
TestUtf8Parser,1,201,33,204
TestValueConversions,1,201,194,194
TestWithTonsaSymbols,2,201,93,15
TestArrayParsing,1,201,133,21
TestGeneratorArray,1,201,8,7
TestGeneratorClosing,1,201,52,108
TestGeneratorCopy,1,201,10,11
TestGeneratorMisc,1,201,140,175
TestGeneratorObject,1,201,10,9
TestNumberParsing,3,201,42,4
TestParserClosing,1,201,27,22
TestParserFeatures,1,201,73,47
TestParserLinefeeds,2,201,2,3
TestParserWithObjects,1,201,5,6
TestPrettyPrinter,1,201,231,43
TestRawStringWriting,1,201,49,8
TestScopeMatching,1,201,9,144
TestStringGeneration,2,201,14,239
TestByteBasedSymbols,3,201,199,43
TestHashCollisionChars,2,41,188,11
TestJsonParserSymbols,4,201,121,121
TestSymbolTables,5,201,640,348
TestExceptions,1,201,125,3
TestJDKSerializability,1,201,263,107
TestJsonPointer,2,201,115,7
TestVersions,2,201,89,93
TestCharTypes,1,201,1,1
TestDelegates,3,201,299,46
TestFilterJsonGenerator,0,201,0,0
TestNumberPrinting,1,201,15,10
TestSerializedString,1,201,1,1
TestTextBuffer,1,201,213,44
TestVersionUtil,1,201,23,5
TestHashCollision,5,41,61,202
CollisionGenerator,2,41,0,66
ManualCharAccessTest,1,146,2,2
ManualReadPerfWithMedia,4,124,8,10
MediaItem,1,124,0,0
ParserTestBase,2,124,6,1
