ClassName,Changes,TotalCommits,Insertions,Deletions
FromXmlParser,2,111,1379,349
WrapperHandlingDeserializer,1,111,147,79
XmlBeanDeserializerModifier,1,111,149,65
XmlReadContext,3,111,73,32
XmlStringDeserializer,1,17,0,0
XmlTextDeserializer,1,111,167,34
XmlTokenStream,6,111,721,141
JacksonXmlModule,1,111,147,19
XmlJaxbAnnotationIntrospector,1,111,281,217
ToXmlGenerator,4,111,1536,226
XmlBeanSerializerBase,1,111,447,52
XmlBeanSerializer,1,111,496,364
XmlSerializerProvider,8,111,461,207
DefaultXmlPrettyPrinter,1,111,716,179
StaxUtil,3,111,128,16
TypeUtil,1,111,11,5
XmlFactory,4,111,1104,281
XmlMapper,5,111,352,92
CaseInsensitiveDeserTest,3,23,4,19
DeserErrorHandling236Test,1,41,32,0
EmptyStringValueTest,3,111,74,3
ExceptionDeserializationTest,1,43,0,0
Issue274PropertyNameTest,2,2,6,5
NullConversionsGenericTest,1,6,0,0
NullConversionsSkipTest,1,6,0,0
SimpleStringValuesTest,1,111,130,0
TestStringValues162,2,111,81,81
XmlTokenStreamTest,1,111,128,0
CaseInsensitiveDeser273Test,3,19,20,5
DeserErrorHandling236Test,3,41,1,34
EnumIssue9Test,1,111,59,0
FailingDelegatingCreator254Test,1,31,0,0
MapperCopyTest,1,0,0,36
MixedContentTreeRead226Test,1,73,0,0
PolymorphicIssue4Test,2,111,114,20
TestPolymorphic,2,111,142,142
TestTypeAttributeOrder,2,59,0,56
TestUnwrappedDeserIssue86,1,111,154,70
TypeAttributeOrder242Test,2,59,54,1
MapperCopyTest,1,111,94,2
DTDSupportTest,1,111,23,0
XmlGeneratorTest,1,111,224,1
XmlParserTest,1,111,359,82
XmlTokenStreamTest,2,111,99,99
VersionInfoTest,3,111,106,77
XmlTestBase,3,111,358,17
