ClassName,Changes,TotalCommits,Insertions,Deletions
Connection,1,36,969,293
HttpConnection,1,36,1601,670
Document,2,36,812,218
Element,5,36,2149,711
Entities,4,36,2942,2592
FormElement,1,3,33,12
TextNode,4,36,292,166
HtmlTreeBuilder,2,36,995,254
HtmlTreeBuilderState,2,36,2005,478
Parser,1,36,842,694
Tag,3,36,705,638
Tokeniser,2,36,192,127
TokeniserState,5,36,370,405
Token,1,36,630,244
XmlTreeBuilder,1,36,115,73
Elements,1,36,820,177
Evaluator,2,36,848,70
QueryParser,2,36,170,61
ParseTest,2,36,266,114
UrlConnectTest,1,36,1039,443
AttributeTest,1,36,39,2
DocumentTest,2,36,631,180
ElementTest,3,36,1580,142
EntitiesTest,3,36,188,62
FormElementTest,1,3,73,6
NodeTest,1,36,316,28
TextNodeTest,1,36,71,11
HtmlParserTest,2,36,1385,132
XmlTreeBuilderTest,1,36,252,17
CleanerTest,2,36,339,24
CssTest,1,36,12,5
ElementsTest,1,36,1082,692
SelectorTest,2,36,915,153
