ClassName,Changes,TotalCommits,Insertions,Deletions
MainTest,1,175,444,0
TestAll,1,175,49,0
TestGJChronology,1,175,294,0
TestGJDateTimeField,1,175,43,0
TestGJDayOfMonthField,1,175,67,0
TestGJDayOfWeekField,1,175,61,0
TestGJDayOfYearField,1,175,63,0
TestGJMonthOfYearField,1,175,93,0
TestGJWeekOfWeekyearField,1,175,69,0
TestGJWeekyearField,1,175,79,0
TestGJYearField,1,175,75,0
TestGregorianChronology,1,175,137,0
TestJulianChronology,1,175,165,0
TestJulianDayOfMonthField,1,175,30,0
TestJulianMonthOfYearField,1,175,60,0
TestJulianWeekyearField,1,175,58,0
TestJulianYearField,1,175,58,0
TestAll,1,175,59,0
TestBuddhistChronology,1,175,375,2
TestCopticChronology,1,175,558,2
TestEthiopicChronology,1,175,558,2
TestGJChronology,1,175,503,2
TestGregorianChronology,1,175,290,2
TestIslamicChronology,1,175,718,2
TestISOChronology,1,175,433,2
TestJulianChronology,1,175,280,3
TestLenientChronology,1,175,170,0
ClassLoadTest,1,175,51,0
MockBadChronology,1,175,47,0
MockUnknownCalendar,1,175,66,0
MockUnknownTimeZone,1,175,55,0
MockZeroNullIntegerConverter,1,175,51,0
TestAll,1,175,60,0
TestCalendarConverter,1,175,187,0
TestConverterManager,1,175,1016,0
TestConverterSet,1,175,191,0
TestDateConverter,1,175,121,0
TestLongConverter,1,175,123,0
TestNullConverter,1,175,203,2
TestReadableDurationConverter,1,175,123,0
TestReadableInstantConverter,1,175,149,0
TestReadableIntervalConverter,1,175,190,0
TestReadablePartialConverter,1,175,149,0
TestReadablePeriodConverter,1,175,116,0
TestStringConverter,1,175,581,1
TestAll,1,175,59,0
TestBaseDateTimeField,1,175,616,0
TestFieldUtils,1,175,191,0
TestMillisDurationField,1,175,218,0
TestOffsetDateTimeField,1,175,551,0
TestPreciseDateTimeField,1,175,660,0
TestPreciseDurationDateTimeField,1,175,664,0
TestPreciseDurationField,1,175,277,0
TestScaledDurationField,1,175,294,0
TestUnsupportedDateTimeField,1,175,657,0
TestAll,1,175,65,0
TestDateTimeFormat,1,175,1145,2
TestDateTimeFormatStyle,1,175,390,2
TestDateTimeFormatterBuilder,1,175,208,0
TestDateTimeFormatter,1,175,726,2
TestISODateTimeFormat_Fields,1,175,1151,0
TestISODateTimeFormat,1,175,608,3
TestISODateTimeFormatParsing,1,175,837,3
TestISOPeriodFormat,1,175,201,3
TestISOPeriodFormatParsing,1,175,215,3
TestPeriodFormat,1,175,141,3
TestPeriodFormatParsing,1,175,145,3
TestPeriodFormatterBuilder,1,175,857,3
TestPeriodFormatter,1,175,243,3
TestTextFields,1,175,160,1
MockNullZoneChronology,1,175,44,0
MockPartial,1,175,62,0
MockZone,1,175,56,0
TestAbstractPartial,1,175,231,0
TestAll,1,175,133,0
TestAllPackages,1,175,60,0
TestBasePartial,1,175,145,0
TestBaseSingleFieldPeriod,1,175,333,0
TestChronology,1,175,343,2
TestDateMidnight_Basics,1,175,1033,2
TestDateMidnight_Constructors,1,175,567,1
TestDateMidnight_Properties,1,175,555,1
TestDateTime_Basics,1,175,1240,2
TestDateTimeComparator,1,175,954,0
TestDateTimeConstants,1,175,117,0
TestDateTime_Constructors,1,175,640,2
TestDateTimeFieldType,1,175,334,1
TestDateTime_Properties,1,175,1397,1
TestDateTimeUtils,1,175,434,0
TestDateTimeZoneCutover,1,175,1078,0
TestDateTimeZone,1,175,979,1
TestDays,1,175,403,0
TestDuration_Basics,1,175,649,2
TestDuration_Constructors,1,175,251,2
TestDurationField,1,175,62,0
TestDurationFieldType,1,175,195,0
TestHours,1,175,398,0
TestIllegalFieldValueException,1,175,337,0
TestInstant_Basics,1,175,607,2
TestInstant_Constructors,1,175,170,2
TestInterval_Basics,1,175,1274,2
TestInterval_Constructors,1,175,705,2
TestLocalDate_Basics,1,175,1015,0
TestLocalDate_Constructors,1,175,530,0
TestLocalDate_Properties,1,175,549,0
TestLocalDateTime_Basics,1,175,906,0
TestLocalDateTime_Constructors,1,175,711,0
TestLocalDateTime_Properties,1,175,1078,0
TestLocalTime_Basics,1,175,818,0
TestLocalTime_Constructors,1,175,741,1
TestLocalTime_Properties,1,175,785,0
TestMinutes,1,175,381,0
TestMonths,1,175,340,0
TestMutableDateTime_Adds,1,175,267,2
TestMutableDateTime_Basics,1,175,766,2
TestMutableDateTime_Constructors,1,175,537,2
TestMutableDateTime_Properties,1,175,790,1
TestMutableDateTime_Sets,1,175,594,2
TestMutableInterval_Basics,1,175,502,2
TestMutableInterval_Constructors,1,175,682,2
TestMutableInterval_Updates,1,175,409,2
TestMutablePeriod_Basics,1,175,466,2
TestMutablePeriod_Constructors,1,175,977,2
TestMutablePeriod_Updates,1,175,1465,2
TestParseISO,1,175,403,0
TestPartial_Basics,1,175,911,0
TestPartial_Constructors,1,175,459,0
TestPartial_Match,1,175,169,0
TestPartial_Properties,1,175,416,0
TestPeriod_Basics,1,175,1464,2
TestPeriod_Constructors,1,175,1363,2
TestPeriodType,1,175,912,2
TestSeconds,1,175,371,0
TestSerialization,1,175,452,2
TestTimeOfDay_Basics,1,175,919,0
TestTimeOfDay_Constructors,1,175,764,1
TestTimeOfDay_Properties,1,175,736,0
TestWeeks,1,175,401,0
TestYearMonthDay_Basics,1,175,850,0
TestYearMonthDay_Constructors,1,175,467,0
TestYearMonthDay_Properties,1,175,552,0
TestYears,1,175,322,0
TestAll,1,175,51,0
TestBuilder,1,175,320,0
TestCompiler,1,175,147,0
TestFixedDateTimeZone,1,175,111,0
TestUTCProvider,1,175,77,0
CharArrayWriter,1,175,0,0
DataInput,1,175,0,0
DataOutput,1,175,0,0
InputStream,1,175,0,0
ObjectInputStream,1,175,0,0
ObjectOutputStream,1,175,0,0
ObjectStreamException,1,175,0,0
Writer,1,175,0,0
ClassNotFoundException,1,175,0,0
InternalError,1,175,0,0
WeakReference,1,175,0,0
SecurityException,1,175,0,0
DateFormatSymbols,1,175,0,0
Calendar,1,175,0,0
GregorianCalendar,1,175,0,0
Locale,1,175,0,0
TimeZone,1,175,0,0
AbstractDateTime,1,175,326,7
BasePartial,1,175,306,1
GJLocaleSymbols,1,175,279,22
ConverterManager,1,175,618,21
ConverterSet,1,175,349,14
DateTimeUtils,1,175,406,4
DateTimeZone,1,175,1268,68
Days,1,175,495,6
DateTimeFormat,1,175,870,16
DateTimeFormatterBuilder,1,175,2667,4
DateTimeParserBucket,1,175,472,1
PeriodFormatterBuilder,1,175,1878,6
Hours,1,175,494,6
Minutes,1,175,475,6
Months,1,175,401,6
MutableDateTime,1,175,1393,5
MutableInterval,1,175,406,5
MutablePeriod,1,175,992,5
Partial,1,175,1008,4
Seconds,1,175,475,6
TimeOfDay,1,175,1231,1
CachedDateTimeZone,1,175,248,24
DateTimeZoneBuilder,1,175,1957,234
FixedDateTimeZone,1,175,115,8
Weeks,1,175,481,6
YearMonthDay,1,175,1124,1
Years,1,175,365,6
GwtTimeZone,1,175,0,0
GwtZoneInfoProvider,1,175,0,0
Arrays,1,175,0,0
ExceptionUtils,1,175,0,0
TestGJChronology,1,175,294,0
TestGJDateTimeField,1,175,43,0
TestGJDayOfMonthField,1,175,67,0
TestGJDayOfWeekField,1,175,61,0
TestGJDayOfYearField,1,175,63,0
TestGJMonthOfYearField,1,175,93,0
TestGJWeekOfWeekyearField,1,175,69,0
TestGJWeekyearField,1,175,79,0
TestGJYearField,1,175,75,0
TestGregorianChronology,1,175,137,0
TestJulianChronology,1,175,165,0
TestJulianDayOfMonthField,1,175,30,0
TestJulianMonthOfYearField,1,175,60,0
TestJulianWeekyearField,1,175,58,0
TestJulianYearField,1,175,58,0
GwtTestAll,1,175,61,0
TestBuddhistChronology,1,175,399,23
TestCopticChronology,1,175,580,21
TestEthiopicChronology,1,175,580,21
TestGJChronology,1,175,522,18
TestGregorianChronology,1,175,309,18
TestIslamicChronology,1,175,740,21
TestISOChronology,1,175,452,18
TestJulianChronology,1,175,299,19
TestLenientChronology,1,175,187,14
ClassLoadTest,1,175,51,0
GwtTestAll,1,175,0,0
MockBadChronology,1,175,47,0
MockUnknownCalendar,1,175,66,0
MockUnknownTimeZone,1,175,55,0
MockZeroNullIntegerConverter,1,175,51,0
TestCalendarConverter,1,175,210,21
TestConverterManager,1,175,1172,155
TestConverterSet,1,175,209,17
TestDateConverter,1,175,144,21
TestLongConverter,1,175,147,22
TestNullConverter,1,175,229,25
TestReadableDurationConverter,1,175,147,22
TestReadableInstantConverter,1,175,173,22
TestReadableIntervalConverter,1,175,214,22
TestReadablePartialConverter,1,175,173,22
TestReadablePeriodConverter,1,175,140,22
TestStringConverter,1,175,615,32
GwtTestAll,1,175,58,0
TestBaseDateTimeField,1,175,632,13
TestFieldUtils,1,175,202,10
TestMillisDurationField,1,175,240,19
TestOffsetDateTimeField,1,175,567,13
TestPreciseDateTimeField,1,175,676,13
TestPreciseDurationDateTimeField,1,175,680,13
TestPreciseDurationField,1,175,299,19
TestScaledDurationField,1,175,316,19
TestUnsupportedDateTimeField,1,175,667,8
GwtTestAll,1,175,0,0
TestDateTimeFormat,1,175,1166,20
TestDateTimeFormatterBuilder,1,175,224,13
TestDateTimeFormatter,1,175,750,23
TestISODateTimeFormat_Fields,1,175,1167,13
TestISODateTimeFormat,1,175,628,20
TestISODateTimeFormatParsing,1,175,853,16
TestISOPeriodFormat,1,175,220,19
