ClassName,Changes,TotalCommits,Insertions,Deletions
BaseNCodecInputStream,2,37,293,82
BaseNCodec,2,37,959,414
BaseNCodecOutputStream,1,37,227,51
BeiderMorseEncoder,1,37,278,94
PhoneticEngine,2,37,775,246
DoubleMetaphone,1,37,1439,430
Nysiis,8,33,416,98
Base32InputStreamTest,1,37,740,183
Base32TestData,1,37,136,12
Base64Codec13Test,1,37,568,52
Base64InputStreamTest,5,37,731,160
Base64OutputStreamTest,1,37,397,47
Base64TestData,1,37,234,12
Base64Test,1,37,4052,2751
BinaryCodecTest,1,37,1307,89
Codec105ErrorInputStream,1,37,60,8
BinaryEncoderAbstractTest,1,37,50,6
HexTest,1,37,706,205
StringUtilsTest,1,37,294,54
CharEncodingTest,1,37,74,6
DecoderExceptionTest,1,37,72,8
DigestUtilsTest,1,37,627,253
EncoderExceptionTest,1,37,72,8
BeiderMorseEncoderTest,2,37,257,34
LanguageGuessingTest,1,37,107,30
PhoneticEngineTest,2,37,140,39
RuleTest,1,37,176,27
Caverphone1Test,1,37,124,19
Caverphone2Test,1,37,385,21
ColognePhoneticTest,1,37,181,21
DoubleMetaphoneTest,1,37,1352,101
MetaphoneTest,1,37,559,76
Nysiis,2,33,0,255
NysiisTest,12,33,484,368
RefinedSoundexTest,1,37,140,42
SoundexTest,1,37,523,117
BCodecTest,1,37,199,48
QCodecTest,1,37,289,80
QuotedPrintableCodecTest,1,37,589,252
RFC1522CodecTest,1,37,96,10
URLCodecTest,1,37,417,112
UtilsTest,1,37,46,4
StringEncoderAbstractTest,1,37,141,25
StringEncoderComparatorTest,1,37,93,17
