ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractBagDecorator,2,33,102,4
AbstractMapBag,2,33,661,37
AbstractSortedBagDecorator,2,33,86,4
CollectionBag,2,33,265,22
CollectionSortedBag,1,33,173,5
HashBag,2,33,88,10
PredicatedBag,2,33,133,8
PredicatedSortedBag,2,33,116,8
SynchronizedBag,2,33,163,12
SynchronizedSortedBag,2,33,119,11
TransformedBag,2,33,162,14
TransformedSortedBag,2,33,143,12
TreeBag,1,33,154,14
UnmodifiableBag,1,33,177,19
UnmodifiableSortedBag,1,33,168,13
BagUtils,1,33,291,29
AbstractBidiMapDecorator,2,33,92,3
AbstractDualBidiMap,1,33,818,13
AbstractOrderedBidiMapDecorator,2,33,95,3
AbstractSortedBidiMapDecorator,2,33,96,3
DualTreeBidiMap,1,33,430,14
TreeBidiMap,1,33,2254,26
UnmodifiableBidiMap,2,33,149,13
UnmodifiableOrderedBidiMap,2,33,160,13
UnmodifiableSortedBidiMap,2,33,171,13
ClosureUtils,1,33,459,83
AbstractCollectionDecorator,2,33,207,29
CompositeCollection,1,33,488,7
PredicatedCollection,1,33,465,21
SynchronizedCollection,2,33,244,12
TransformedCollection,1,33,166,11
UnmodifiableBoundedCollection,2,33,178,12
UnmodifiableCollection,1,33,120,9
CollectionUtils,6,33,2528,632
BooleanComparator,1,33,223,31
ComparableComparator,1,33,140,10
ComparatorChain,1,33,360,11
FixedOrderComparator,2,33,316,17
NullComparator,1,33,188,7
ReverseComparator,1,33,136,12
TransformingComparator,1,33,145,14
FactoryUtils,1,33,162,12
FluentIterable,8,33,407,83
AllPredicate,1,33,130,14
AndPredicate,1,33,96,4
AnyPredicate,1,33,122,9
ChainedClosure,1,33,145,18
ChainedTransformer,1,33,147,18
ClosureTransformer,1,33,93,6
ComparatorPredicate,1,33,202,10
FactoryTransformer,1,33,94,7
FunctorUtils,1,33,226,19
IdentityPredicate,1,33,87,2
IfClosure,1,33,172,15
IfTransformer,1,33,10,7
InstanceofPredicate,1,33,87,3
InstantiateFactory,1,33,153,13
InstantiateTransformer,1,33,149,18
InvokerTransformer,1,33,170,23
NonePredicate,1,33,112,9
NotPredicate,1,33,96,10
NullIsExceptionPredicate,1,33,102,10
NullIsFalsePredicate,1,33,94,4
NullIsTruePredicate,1,33,100,10
OnePredicate,1,33,120,12
OrPredicate,1,33,96,4
SwitchClosure,1,33,202,15
SwitchTransformer,1,33,231,31
TransformedPredicate,1,33,114,5
TransformerPredicate,1,33,95,3
WhileClosure,1,33,140,16
IterableUtils,12,33,1212,254
AbstractIteratorDecorator,1,33,49,1
AbstractListIteratorDecorator,1,33,120,6
AbstractMapIteratorDecorator,1,33,101,5
AbstractOrderedMapIteratorDecorator,1,33,114,6
AbstractUntypedIteratorDecorator,1,33,72,4
BoundedIterator,1,33,7,40
CollatingIterator,1,33,439,39
IteratorIterable,1,33,146,13
NodeListIterator,1,33,101,10
PeekingIterator,1,33,7,5
PushbackIterator,1,33,10,8
ReverseListIterator,1,33,187,0
SkippingIterator,1,33,99,3
UnmodifiableIterator,1,33,94,8
UnmodifiableListIterator,1,33,123,9
UnmodifiableMapIterator,1,33,108,8
UnmodifiableOrderedMapIterator,1,33,119,7
IteratorUtils,6,33,1737,211
AbstractMapEntryDecorator,1,33,99,7
AbstractListDecorator,1,33,134,4
AbstractSerializableListDecorator,1,33,80,8
FixedSizeList,1,33,188,4
GrowthList,1,33,191,2
LazyList,1,33,151,10
PredicatedList,1,33,212,18
SetUniqueList,1,33,506,82
TransformedList,1,33,228,16
UnmodifiableList,1,33,158,10
ListUtils,1,33,809,107
ListValuedMap,2,33,23,25
AbstractInputCheckedMapDecorator,1,33,219,13
AbstractMapDecorator,1,33,162,7
AbstractOrderedMapDecorator,1,33,97,3
AbstractSortedMapDecorator,1,33,176,3
DefaultedMap,1,33,223,13
FixedSizeMap,1,33,184,12
FixedSizeSortedMap,1,33,195,11
LazyMap,1,33,188,14
LazySortedMap,1,33,173,10
ListOrderedMap,1,33,847,45
MultiKeyMap,1,33,953,45
PassiveExpiringMap,1,33,582,43
PredicatedMap,1,33,204,12
PredicatedSortedMap,1,33,142,8
SingletonMap,1,33,641,35
TransformedMap,1,33,253,7
TransformedSortedMap,1,33,175,10
UnmodifiableEntrySet,1,33,196,13
UnmodifiableMap,1,33,172,13
UnmodifiableOrderedMap,1,33,166,13
UnmodifiableSortedMap,1,33,188,13
MapUtils,2,33,1881,75
AbstractListValuedMap,1,33,185,142
