ClassName,Changes,TotalCommits,Insertions,Deletions
DefaultDateTypeAdapter,1,60,64,44
FieldNamingPolicy,1,60,139,37
GsonBuilder,1,60,1210,940
Gson,7,60,1810,1190
$Gson$Types,1,60,0,0
DateTypeAdapter,1,60,29,22
JsonAdapterAnnotationTypeAdapterFactory,1,60,241,209
MapTypeAdapterFactory,1,60,298,135
ObjectTypeAdapter,1,60,47,42
ReflectiveTypeAdapterFactory,2,60,236,203
TypeAdapters,5,60,1521,614
ISO8601Utils,2,44,5,39
Excluder,1,60,14,13
LinkedHashTreeMap,1,60,1753,889
LinkedTreeMap,1,60,1420,1394
Streams,1,60,218,98
JsonArray,1,60,183,90
JsonReader,2,60,2453,1961
TreeTypeAdapter,1,60,69,197
DefaultDateTypeAdapterTest,1,60,168,38
CollectionTest,1,60,327,117
JavaUtilConcurrentAtomicTest,1,59,110,0
JavaUtilConcurrentLocksTest,4,59,41,111
JavaUtilTest,2,60,62,0
JsonAdapterAnnotationOnClassesTest,1,60,457,194
JsonAdapterAnnotationOnFieldsTest,1,60,394,210
LeniencyTest,1,60,46,0
