ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractCompiler,2,15,282,74
AbstractPeepholeOptimization,1,15,145,67
AmbiguateProperties,1,15,240,189
AnalyzePrototypeProperties,1,15,972,780
CoalesceVariableNames,1,15,363,338
CodeGenerator,1,15,951,531
CollapseAnonymousFunctions,1,15,19,14
CollapseVariableDeclarations,1,15,202,340
Compiler,1,15,1957,1347
ConstCheck,1,15,19,24
CrossModuleMethodMotion,1,15,107,62
DefaultPassConfig,2,15,2505,1260
DefinitionsRemover,1,15,178,102
FunctionInjector,1,15,390,334
GatherRawExports,1,15,16,14
InlineFunctions,1,15,352,191
InlineSimpleMethods,1,15,318,14
Reader,1,15,111,72
TagType,1,15,3,3
Validator,1,15,12,4
Writer,1,15,47,45
NodeUtil,1,15,2643,1214
Normalize,2,15,800,442
PeepholeSubstituteAlternateSyntax,1,15,1822,1909
RemoveUnusedVars,1,15,1583,877
RenameProperties,1,15,351,229
RenamePrototypes,1,15,42,38
SanityCheck,2,15,91,63
StrictModeCheck,1,15,95,67
SuspiciousPropertiesCheck,1,15,12,354
TypeInference,1,15,1405,908
UnfoldCompoundAssignments,1,15,15,187
CodePrinterTest,1,15,1633,658
CrossModuleMethodMotionTest,1,15,401,64
DevirtualizePrototypeMethodsTest,1,15,169,34
FunctionInjectorTest,1,15,555,311
FunctionToBlockMutatorTest,1,15,65,42
InlineSimpleMethodsTest,1,15,311,7
JsonMLConversionTest,1,5,38,43
JsonMLValidationTest,2,9,5,3
SecureCompilerTest,1,9,0,0
PeepholeSubstituteAlternateSyntaxTest,1,15,1121,1017
RemoveUnusedPrototypePropertiesTest,1,15,505,334
RemoveUnusedVarsTest,1,15,864,312
RenamePropertiesTest,1,15,124,52
RenamePrototypesTest,1,15,58,23
SanityCheckTest,1,15,75,57
SimpleDefinitionFinderTest,1,15,109,38
StrictModeCheckTest,1,15,108,55
SuspiciousPropertiesCheckTest,1,15,14,193
TypeCheckTest,1,15,7910,1742
