ClassName,Changes,TotalCommits,Insertions,Deletions
Assertions,2,86,25,6
Constants,1,86,133,51
CSVFormat,16,86,5575,3540
CSVParser,14,86,2276,1647
CSVPrinter,4,86,1176,820
CSVRecord,1,86,465,276
ExtendedBufferedReader,1,86,492,301
Lexer,4,86,903,442
QuoteMode,2,86,61,11
Token,1,86,39,28
AssertionsTest,1,86,17,1
JiraCsv198Test,3,58,7,52
CSVFileParserTest,1,86,169,107
CSVFormatPredefinedTest,1,86,129,57
CSVFormatTest,4,86,2375,1276
CSVParserTest,4,86,3228,2085
CSVPrinterTest,8,86,2771,1386
ExtendedBufferedReaderTest,1,86,670,460
JiraCsv164Test,1,86,57,0
JiraCsv167Test,1,86,88,0
JiraCsv198Test,2,58,50,3
JiraCsv203Test,3,52,37,21
JiraCsv213Test,4,36,20,4
LexerTest,1,86,613,223
PerformanceTest,1,86,347,190
PerformanceTest,1,86,117,69
Utils,1,86,13,27
