ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractTypeResolver,1,56,28,25
AnnotationIntrospector,1,56,1899,2010
MapperBuilder,2,56,0,0
BasicDeserializerFactory,2,56,3936,2629
BeanDeserializer,1,56,1648,2115
DeserializationConfig,1,56,1777,1894
DeserializationContext,3,56,3120,1611
DeserializationFeature,1,56,423,129
EnumMapDeserializer,1,56,565,234
StdDeserializer,2,56,1912,1801
StdKeyDeserializer,3,56,503,340
StdKeyDeserializers,1,56,116,122
StdValueInstantiator,2,56,494,344
ValueInstantiationException,1,56,0,0
NioPathDeserializer,1,56,92,37
JsonMapper,3,56,0,0
JsonNode,3,56,552,306
SubTypeValidator,3,56,63,13
MapperFeature,1,56,625,354
Module,1,56,147,51
ArrayNode,3,56,1432,553
BaseJsonNode,2,56,142,41
BinaryNode,1,56,131,8
ContainerNode,1,56,257,108
InternalNodeMapper,1,56,0,0
JsonNodeCreator,1,56,31,5
JsonNodeFactory,1,56,426,64
MissingNode,1,56,151,40
ObjectNode,2,56,1568,683
POJONode,1,56,195,23
TextNode,2,56,352,166
ValueNode,2,56,192,72
ObjectMapper,9,56,3713,2350
ObjectReader,3,56,2409,1405
SerializationConfig,2,56,1828,2067
PropertySerializerMap,1,56,227,81
NumberSerializers,1,56,737,511
TypeFactory,4,56,1895,1555
BaseMapTest,4,56,224,80
DeserializationConfigTest,1,56,127,0
SerConfigTest,1,56,0,0
CreatorPropertiesTest,2,56,107,1
TestCreators2,1,56,309,0
TestCreators3,2,56,8,8
HugeIntegerCoerceTest,2,56,0,0
NullConversionsForContentTest,1,56,466,32
ProblemHandlerTest,1,56,366,17
DateDeserializationTZTest,1,56,582,103
EnumAltIdTest,1,56,11,7
EnumDeserializationTest,1,56,568,58
JDKCollectionsDeserTest,1,56,8,4
JDKNumberDeserTest,2,56,316,15
MapDeserializationTest,1,56,555,8
MapKeyDeserializationTest,1,56,145,4
MapRelatedTypesDeserTest,1,56,0,0
UntypedDeserializationTest,1,56,372,3
ArrayMergeTest,1,56,4,3
CollectionMergeTest,1,56,10,14
MapMergeTest,1,56,195,20
MergeWithNullTest,1,56,147,14
NodeMergeTest,1,56,51,14
PropertyMergeTest,1,56,403,174
TestBasicAnnotations,2,56,135,73
TestSetterlessProperties,2,56,69,75
FullStreamReadTest,1,56,83,15
AutoDetect1947Test,2,56,0,0
BeanNamingTest,1,56,0,0
POJOPropertiesCollectorTest,1,56,580,33
TestInferredMutators,1,56,70,5
TestNamingStrategyStd,2,56,535,124
TestPropertyConflicts,2,56,127,47
TransientTest,1,56,27,3
VisibilityForSerializationTest,1,56,160,0
TestDefaultForArrays,1,56,157,0
ExternalTypeId999Test,1,56,55,0
TestBaseTypeAsDefault,1,56,45,47
TestGenericListSerialization,2,56,7,21
TestTypedArraySerialization,2,56,16,19
TestTypedContainerSerialization,1,56,14,19
MapperViaParserTest,1,56,153,0
AccessFixTest,1,56,6,6
CaseInsensitive1854Test,1,56,67,0
CaseInsensitiveDeserTest,1,56,155,28
MapperMixinsCopy1998Test,2,56,0,1
TestMixinMerging,1,56,52,0
TestMixinSerWithViews,2,56,24,25
TestAbstractTypes,1,56,123,25
TestDuplicateRegistration,1,56,1,1
ArrayNodeTest,1,56,355,14
JsonNodeFactoryTest,1,56,0,0
NodeTestBase,1,56,30,0
ObjectNodeTest,2,56,455,2
TestJsonNode,1,56,149,221
TestMissingNode,1,56,78,6
TestNullNode,1,56,58,1
TextNodeTest,1,56,0,0
ToStringForNodesTest,1,56,0,0
ObjectIdReordering1388Test,1,56,92,0
ObjectWithCreator1261Test,1,56,0,0
ObjectMapperTest,8,56,591,185
ObjectReaderTest,2,56,396,69
ObjectWriterTest,1,56,328,28
JsonValueTest,1,56,297,0
TestAnnotations,1,56,34,27
TestConfig,1,56,144,49
TestIterable,1,56,40,15
TestJsonSerialize,1,56,268,19
TestRootType,1,56,63,40
TestSerializationOrder,1,56,44,15
ScalarCoercionTest,1,56,157,23
TestUnwrapped,2,56,331,75
UnwrappedWithView1559Test,1,56,36,0
TestTokenBuffer,2,56,668,165
TestViewDeserialization,1,56,100,13
TestViewSerialization,1,56,226,38
TestViewsSerialization2,1,56,216,57
EnumAsIndexMapKey1877Test,2,56,0,0
NodeContext2049Test,1,56,3,1
RequireSetterForGetter736Test,1,56,0,0
StaticTyping1515Test,1,56,0,0
TestObjectIdWithUnwrapping1298,2,56,11,14
ManualReadPerfUntyped,2,56,98,80
ManualReadPerfUntypedReader,2,56,71,1
ManualReadPerfUntypedStream,2,56,72,2
ManualReadPerfWithMedia,1,56,10,6
ManualReadPerfWithRecord,1,56,5,3
ManualReadPerfWithUUID,1,56,7,3
ManualReadWithTypeResolution,1,56,33,20
ManualWritePerfUntyped,1,56,27,9
ManualWritePerfWithAllTypes,1,56,3,3
ManualWritePerfWithRecord,1,56,4,3
ManulWritePerfWithUUID,1,56,4,1
