ClassName,Changes,TotalCommits,Insertions,Deletions
ExceptionHandler,1,30,30,0
FunctionLibrary,2,30,139,166
JXPathContext,1,30,991,532
JXPathContextReferenceImpl,1,30,1423,902
PropertyIterator,1,30,560,234
DOMNodePointer,1,30,1677,885
StrictLazyDynaBeanPointerFactory,2,3,19,1
DynamicPointer,1,30,298,154
JDOMNodePointer,1,30,1130,959
NodePointer,2,30,1660,718
NamespaceResolver,1,30,183,99
MethodLookupUtils,1,30,191,175
ExceptionHandlerTest,1,25,0,0
AliasedNamespaceIterationTest,2,29,1,1
LazyDynaBeanTest,2,3,20,0
XMLUpperCaseElementsTest,2,29,66,1
